average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.70805,-0.00047878449549898505,0.043598786,0.22765676428874335,81.6547619047619,-2.0357144,78.42391304347827,-2.1847825,-0.0008437750273275757,842,24,1.0,256,8192
2.707603,-0.00016410766208233932,-0.10263424,0.20027437495688596,85.34,-2.36,72.8,-2.04,0.01116985115845559,841,48,2.0,512,16384
2.7072613,-0.0005624716997974449,-0.2370938,0.19222228229045868,78.44,-2.48,88.25,-2.75,0.013221265108835478,846,72,3.0,768,24576
2.7010124,-0.00044738401387197274,-0.42318457,0.18091293331235647,77.25,-2.21,84.9,-2.91,0.0425441979826896,847,96,4.0,1024,32768
2.696275,-0.0006974583491683006,-0.48759252,0.16651392310857774,83.36,-2.39,81.11,-2.24,0.07357919136612823,843,120,5.0,1280,40960
2.6914444,-0.0009872435498982667,-0.5166662,0.15756305634975434,88.61,-2.55,80.71,-2.01,0.16758402003819872,846,144,6.0,1536,49152
2.6905997,-0.0002426863508298993,-0.6113999,0.14931126743555068,80.61,-2.09,83.88,-1.94,0.2906337771516836,845,168,7.0,1792,57344
2.6836827,-0.001917120972648263,-0.65158683,0.1406717963516712,81.16,-2.2,86.8,-2.69,0.3541525200354655,846,192,8.0,2048,65536
2.6814091,-0.0018851338047534227,-0.58243227,0.13267346687614917,81.3,-1.77,85.24,-3.38,0.4012683626429725,845,216,9.0,2304,73728
2.6834426,-0.0026591182500123977,-0.48790437,0.12225008837878704,82.83,-2.34,82.39,-2.97,0.4350238809239019,837,240,10.0,2560,81920
2.6644204,-0.0028627887042239307,-0.6568514,0.12251028008759021,79.99,-2.07,85.74,-2.83,0.4999470583396559,844,264,11.0,2816,90112
2.6712618,-0.0033948592375963927,-0.52144384,0.11959154948592186,82.41,-2.3,81.88,-2.25,0.479880975774164,844,288,12.0,3072,98304
2.6622183,-0.005198601600714028,-0.5085243,0.11196829676628113,78.71,-1.58,75.99,-1.75,0.4666270865875921,845,312,13.0,3328,106496
2.6656165,-0.004684140281751752,-0.35941932,0.10761326916515827,77.38,-1.6,81.84,-1.56,0.4737687246648804,845,336,14.0,3584,114688
2.6632416,-0.0075536207575351,-0.29143518,0.10023257076740265,84.67,-1.47,83.39,-2.4,0.47142492918140533,845,360,15.0,3840,122880
2.661101,-0.00808126075193286,-0.3473416,0.08940782692283392,79.13,-1.6,78.22,-1.64,0.5995239565360113,845,384,16.0,4096,131072
2.6352656,-0.009948570127598942,-0.38331878,0.08704903054982424,76.82,-0.82,79.31,-1.79,0.5472493932511407,837,408,17.0,4352,139264
2.6277304,-0.01179808293003589,-0.16691196,0.08658434864133596,80.19,-1.29,78.2,-1.13,0.5291650224624871,844,432,18.0,4608,147456
2.5952814,-0.012791497418656945,-0.28849107,0.07849525343626737,80.3,-1.1,80.46,-1.62,0.5465470327433835,844,456,19.0,4864,155648
2.581775,-0.014758905740454792,-0.24644968,0.0783188696578145,77.18,-0.9,79.98,-0.88,0.5467742336389045,844,480,20.0,5120,163840
2.530183,-0.01547241565771401,-0.34537384,0.07224161818623542,78.83,-0.56,75.65,-1.36,0.6127053330816674,843,504,21.0,5376,172032
2.5590985,-0.017229332383722068,-0.1588883,0.0670937767624855,82.73,-0.92,79.68,-0.74,0.586184487837923,842,528,22.0,5632,180224
2.5785766,-0.01750770882703364,-0.26961926,0.06640493270009756,81.51,-0.96,76.67,-0.36,0.6744711444816269,845,552,23.0,5888,188416
2.532131,-0.017465508193708956,-0.32812744,0.06344690527766943,77.83,-0.88,84.16,-0.75,0.6484587795954726,837,576,24.0,6144,196608
2.5363195,-0.01739323904272169,-0.2506118,0.06601725302636624,80.09,-0.81,76.72,-0.41,0.5852421960990126,846,600,25.0,6400,204800
2.5302122,-0.01742855997290462,-0.24666953,0.06263924282044173,80.83,-0.36,78.26,-0.56,0.5667231135488742,847,624,26.0,6656,212992
2.5092616,-0.0180579358804971,-0.17408203,0.0578989278152585,76.92,-0.29,74.32,-0.45,0.6174213705508109,845,648,27.0,6912,221184
2.507512,-0.01848639840260148,-0.15903004,0.05656151425093412,77.21,-0.52,81.53,-0.61,0.5782635658318926,845,672,28.0,7168,229376
2.4550116,-0.01861633008811623,-0.13814215,0.04939789224416018,73.65,-0.07,77.49,-0.16,0.6935029210956716,846,696,29.0,7424,237568
2.4564323,-0.018670807867310943,-0.094734915,0.04790071379393339,73.7,0.4,81.31,-0.2,0.303411677931272,844,720,30.0,7680,245760
2.477147,-0.019264954938553274,0.10196103,0.045031506791710856,74.8,0.06,81.14,-0.44,0.4876197766897309,846,744,31.0,7936,253952
2.4750264,-0.01942378969397396,0.08265459,0.040365965869277716,81.59,0.42,78.58,-0.05,0.5416855793930987,838,768,32.0,8192,262144
2.4180346,-0.020974010084755718,0.012716892,0.040167356748133896,79.16,0.41,76.08,0.23,0.5316110580295266,846,792,33.0,8448,270336
2.421817,-0.020357286115176974,0.05185711,0.044548828061670064,79.39,0.01,82.1,0.41,0.4539838456545344,845,816,34.0,8704,278528
2.4371748,-0.020585276866331697,-0.0005123739,0.04857945123687386,83.16,0.07,79.12,0.02,0.45629061779854185,847,840,35.0,8960,286720
2.4037597,-0.02114627617876977,0.11508496,0.05101670607924461,80.33,0.36,79.67,0.43,0.5190914185059785,846,864,36.0,9216,294912
2.4489965,-0.020976372845470905,0.112173006,0.05162780972197652,78.97,0.09,81.95,-0.11,0.5097003392777817,846,888,37.0,9472,303104
2.4873154,-0.021971243154257535,0.10709889,0.048651449512690306,84.12,0.23,77.43,0.36,0.5342417820161947,846,912,38.0,9728,311296
2.4769957,-0.021838262539822607,0.1560171,0.04487030418589711,78.27,0.64,78.68,0.49,0.4201313609496422,839,936,39.0,9984,319488
2.5163462,-0.02208586918422952,0.11553994,0.04241183266043663,87.33,0.49,77.97,0.71,0.5746518933483851,846,960,40.0,10240,327680
2.483753,-0.022845627213828264,0.23687814,0.04185787469148636,83.82,0.79,81.14,0.44,0.5813986276340581,846,984,41.0,10496,335872
