average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080488,-0.0006112638705720504,0.083973944,0.317490903660655,-2.4382021,-2.4285715,-0.0005523935236815269,24,256,8192
2.707002,-0.00040139484917744994,-0.086899646,0.2296800852442781,-1.9,-2.69,0.006824220493996891,48,512,16384
2.7057753,-0.0008009152564530572,-0.27492437,0.2043446225838529,-2.48,-2.23,0.018124517443174004,72,768,24576
2.6920786,-0.0009451251195666069,-0.36641583,0.18823069923867783,-1.83,-2.05,0.03933046841441523,96,1024,32768
2.690897,-0.0011839507566764951,-0.3930996,0.15308646649122237,-2.12,-2.45,0.11604534210557538,120,1280,40960
2.693686,-0.00203511584084481,-0.4293595,0.1472104138880968,-2.29,-2.46,0.2099666542851193,144,1536,49152
2.6853402,-0.002698644446209073,-0.3473531,0.1332938700169325,-1.75,-2.38,0.29728298346396465,168,1792,57344
2.6782775,-0.002396047948859632,-0.40762877,0.13231890581548214,-1.96,-3.51,0.3616735742144128,192,2048,65536
2.6670043,-0.003035094584338367,-0.641526,0.13222921587526798,-2.39,-2.24,0.4179406879912406,216,2304,73728
2.6595712,-0.003204222586937249,-0.7720548,0.12744154304265976,-2.42,-1.63,0.541886305635766,240,2560,81920
2.6568983,-0.005030459533445537,-0.6811976,0.13165998846292495,-1.92,-2.82,0.5454694573355221,264,2816,90112
2.662477,-0.005896143112331629,-0.4628059,0.12383838064968586,-1.5,-1.39,0.5147021021420384,288,3072,98304
2.6569343,-0.006494672610424459,-0.42121032,0.11798903822898865,-2.32,-1.91,0.564630510581903,312,3328,106496
2.6318028,-0.007456467649899423,-0.4752751,0.10929809167981147,-1.84,-1.78,0.5509511497212163,336,3584,114688
2.6288383,-0.008963908781297505,-0.43091115,0.09992785155773162,-1.35,-1.53,0.5160977881312239,360,3840,122880
2.641205,-0.01103653862606734,-0.20160702,0.09660535611212254,-1.96,-1.47,0.542504116419801,384,4096,131072
2.6093194,-0.013522421228699386,-0.40107995,0.08693093851208687,-1.48,-1.9,0.570323500822848,408,4352,139264
2.5894845,-0.014237920721061528,-0.22394153,0.08136960718780756,-1.33,-1.82,0.6327047723290207,432,4608,147456
2.597474,-0.01567670605611056,-0.22687687,0.08004395667463542,-1.18,-1.4,0.5907167277220631,456,4864,155648
2.5738666,-0.017550794412381946,-0.16291825,0.07779484178870916,-1.3,-1.19,0.4372929369234586,480,5120,163840
2.5605361,-0.019061968331225216,-0.17294082,0.07684559997171164,-0.71,-1.32,0.5109697493154514,504,5376,172032
2.5405414,-0.0193016545008868,-0.046045743,0.07557128265500068,-0.47,-0.77,0.4576680691376541,528,5632,180224
2.5690382,-0.019100326187908648,-0.112618476,0.0723120791092515,-0.66,-0.81,0.5217432153252526,552,5888,188416
2.5823956,-0.019922263994812964,-0.11299237,0.07141862627118827,-0.53,-0.47,0.41908909692982776,576,6144,196608
2.553326,-0.018818928732071073,-0.060447313,0.06420656953006983,-0.24,-1.07,0.3411271086684603,600,6400,204800
2.562192,-0.020290674946736545,-0.1303754,0.060844848603010177,-0.2,-0.68,0.4753520087362654,624,6656,212992
2.5509124,-0.020986754845362155,-0.12864096,0.060991021320223805,-0.46,-0.71,0.2892505287501269,648,6912,221184
2.5385067,-0.020966743330936878,-0.23375045,0.056088751554489134,-0.05,0.13,0.47354174614472033,672,7168,229376
2.549233,-0.022932294677011668,-0.037441738,0.05731362301856279,-0.04,-0.59,0.3096275751666713,696,7424,237568
2.52629,-0.022730247750878334,-0.12165217,0.05531501159071922,0.15,-0.29,0.34898825364605457,720,7680,245760
2.472119,-0.022502265693619846,-0.07937884,0.0552910266444087,0.26,0.31,0.408917643764793,744,7936,253952
2.4724658,-0.023551227804273368,-0.02536318,0.05356227781623602,0.25,0.16,0.3433090868426596,768,8192,262144
2.4586167,-0.02532875961624086,0.06856953,0.05245309133082628,0.09,0.33,0.31218830418688737,792,8448,270336
2.4199243,-0.023676598095335066,0.1168432,0.06280784856528043,-0.4,0.36,0.31603904671403127,816,8704,278528
2.3817885,-0.02448831292334944,0.050394364,0.060879622474312785,0.67,0.18,0.3662608427839157,840,8960,286720
2.4159174,-0.02367578841280192,0.20293576,0.05799856690689922,0.59,0.54,0.4398533126702975,864,9216,294912
2.4085946,-0.02336466687731445,0.16963781,0.06260010519996285,0.4,0.43,0.4614001972359536,888,9472,303104
2.3743398,-0.024232450805138795,0.23849112,0.054718157183378933,0.47,0.54,0.47165683841500894,912,9728,311296
2.2794106,-0.025916764058638363,0.19836704,0.051240082886070015,0.48,0.15,0.481343773317666,936,9984,319488
2.2870777,-0.025136674970854075,0.19242842,0.05078239357098937,1.01,0.46,0.42181880455088294,960,10240,327680
2.259816,-0.025106732735875995,0.29118714,0.04856000944972038,0.53,0.74,0.5428275338357487,984,10496,335872
2.2683241,-0.026699254284612835,0.40154636,0.048400346711277964,0.78,0.97,0.5211349767234427,1008,10752,344064
2.2388246,-0.026060904269106688,0.2427535,0.04887921389192343,0.84,0.8,0.5794964581453274,1032,11008,352256
2.2690396,-0.025968068526126445,0.2345471,0.04935884239152074,0.95,0.87,0.6035518462803036,1056,11264,360448
2.2165704,-0.026044312259182335,0.32094356,0.04769922895357013,0.77,1.07,0.5810713171655866,1080,11520,368640
2.2305722,-0.025607298468239604,0.36728674,0.04491497563198209,1.38,0.97,0.5712929332947039,1104,11776,376832
2.2196715,-0.024185343915596604,0.4342434,0.04318894295021892,1.57,0.86,0.6111939767550532,1128,12032,385024
2.245339,-0.022982517085038127,0.5334459,0.044016090799123046,1.59,1.15,0.6768286148782339,1152,12288,393216
2.189701,-0.026044083451852204,0.5997201,0.04535860294476152,1.19,1.45,0.6752321800405445,1176,12544,401408
2.255565,-0.025553084262646734,0.49745092,0.04477162353694439,1.39,1.25,0.6712728017376857,1200,12800,409600
2.2246592,-0.026455890983343125,0.4621168,0.04452432159334421,1.69,1.24,0.6906216083495609,1224,13056,417792
2.2692084,-0.02862829315010458,0.5291996,0.0447803770750761,1.88,1.25,0.6467169194892142,1248,13312,425984
2.2972467,-0.02709159019868821,0.42042804,0.045090298764407635,1.59,1.72,0.6495229365991356,1272,13568,434176
2.2691379,-0.025820772065781056,0.5191815,0.0515733052790165,1.53,1.35,0.5711448851163292,1296,13824,442368
2.2653193,-0.02650235881563276,0.7160392,0.052727189660072324,1.91,1.67,0.6989695001179124,1320,14080,450560
2.2892246,-0.026118049221113323,0.6515066,0.05657814968377352,1.97,1.67,0.6446916005318775,1344,14336,458752
2.2112515,-0.02708182796370238,0.7130029,0.05824425049126148,1.94,1.94,0.650700059757575,1368,14592,466944
