average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.4897408,-0.023947012214921414,0.25865948,0.05230290474370122,87.22,0.76,87.29,0.48,0.4062733293826123,881,912,38.0,9728,311296
2.4940577,-0.023801722559146584,0.14606033,0.05121196737512946,83.95,0.44,90.83,0.42,0.4043076567271263,872,936,39.0,9984,319488
2.4833262,-0.02500704614445567,0.12731436,0.04832267602905631,81.94,0.45,80.66,0.36,0.39449813433802305,881,960,40.0,10240,327680
2.486339,-0.02525059343781322,0.14054784,0.04516230927780271,81.49,0.34,79.3,0.54,0.296670252794604,881,984,41.0,10496,335872
2.4864237,-0.024478256520815193,0.18657264,0.04311072859913111,75.83,0.54,82.46,0.8,0.36305343594415695,882,1008,42.0,10752,344064
2.459997,-0.025834025698713958,0.2382464,0.04102250833064318,82.78,0.91,80.95,0.67,0.3557233389218527,882,1032,43.0,11008,352256
2.4067965,-0.025106503376737237,0.28929475,0.03955346550792456,87.53,0.84,83.94,0.3,0.393988239726354,879,1056,44.0,11264,360448
2.4070222,-0.02562982582487166,0.27920625,0.04208933122456074,81.14,0.91,78.28,0.29,0.3713830940180023,880,1080,45.0,11520,368640
2.406272,-0.026436120057478547,0.31782636,0.04498119369149208,88.98,0.73,83.67,0.72,0.3418869960552239,874,1104,46.0,11776,376832
2.3513324,-0.026937921000644564,0.3006867,0.04424269404262304,82.57,1.0,81.93,0.84,0.5511588274315758,878,1128,47.0,12032,385024
2.2757998,-0.025415616845712065,0.2695418,0.046641661934554574,80.79,1.16,85.69,0.94,0.4867508502989055,879,1152,48.0,12288,393216
2.3592405,-0.025824235342442988,0.28748673,0.04348003566265106,86.0,1.14,79.02,1.23,0.5428501462054665,878,1176,49.0,12544,401408
2.3347025,-0.026238866387866436,0.35354912,0.0425522219017148,87.89,1.11,88.69,1.31,0.430305096655357,879,1200,50.0,12800,409600
2.3636727,-0.027587496326304972,0.29633456,0.042477180641144516,84.09,1.53,93.41,1.02,0.5011976823690548,879,1224,51.0,13056,417792
2.3576214,-0.02670015938580036,0.33705637,0.0391353122331202,87.5,1.55,84.43,1.24,0.564681213531699,879,1248,52.0,13312,425984
2.3214724,-0.027413496887311338,0.3452804,0.040257301721721886,85.36,1.68,82.57,1.06,0.5512327610609922,878,1272,53.0,13568,434176
2.2991476,-0.02447071358561516,0.48550463,0.049105946961790325,92.24,1.9,92.23,1.6,0.47284079218839936,878,1296,54.0,13824,442368
2.2686403,-0.025242727445438505,0.42891112,0.04872266419231892,93.74,1.82,91.22,1.35,0.6273295387882474,873,1320,55.0,14080,450560
2.2530382,-0.024918812299147247,0.42262164,0.05317023809999227,106.49,1.93,88.82,1.52,0.5825877214156339,879,1344,56.0,14336,458752
2.2506552,-0.0252542110811919,0.43145004,0.05581816110759973,96.55,1.63,90.65,1.29,0.5915560723270731,880,1368,57.0,14592,466944
2.2593145,-0.026039457875303925,0.41391376,0.048942547123879195,90.3,1.31,93.23,1.54,0.547939557327864,878,1392,58.0,14848,475136
2.2827578,-0.026667216657660902,0.41749063,0.05048104310408234,91.89,1.82,94.84,1.79,0.6579358556484738,876,1416,59.0,15104,483328
2.232833,-0.025526221934705974,0.4234247,0.05012513028457761,96.84,1.91,99.41,2.16,0.6355339759580982,877,1440,60.0,15360,491520
2.2321649,-0.02577662483789027,0.6427135,0.04830811070278287,109.34,2.46,112.43,2.15,0.7362705012207615,875,1464,61.0,15616,499712
2.1989806,-0.025375276529230176,0.5784341,0.048898640479892494,104.97,2.32,97.61,1.78,0.6704209122224378,869,1488,62.0,15872,507904
2.2416961,-0.025684450580738486,0.48872766,0.04952425207942724,106.64,2.31,99.98,2.05,0.7047967745603363,875,1512,63.0,16128,516096
2.163068,-0.025743254679255187,0.61327416,0.0517279577255249,106.45,2.3,111.49,2.38,0.6372852893876846,881,1536,64.0,16384,524288
2.1873965,-0.027070718687027692,0.5042458,0.05211157642304897,115.59,2.61,109.96,2.21,0.6702197840058944,879,1560,65.0,16640,532480
2.1516185,-0.02718572384212166,0.7710738,0.05395792741328478,115.78,2.28,114.11,2.13,0.6491260758556594,881,1584,66.0,16896,540672
2.134996,-0.02832087191287428,0.80000466,0.05385753612965345,120.62,2.39,118.03,2.42,0.7019796230043104,880,1608,67.0,17152,548864
2.2105331,-0.030636329748667777,0.66689944,0.055288712419569494,129.4,2.86,117.36,2.38,0.7051211100442423,881,1632,68.0,17408,557056
2.2753584,-0.029957302645780146,0.65888447,0.05798870552331209,107.95,2.62,113.89,2.75,0.6949226157962618,874,1656,69.0,17664,565248
2.2456446,-0.030634398725815117,0.55783254,0.0592241333052516,120.67,2.87,114.37,2.57,0.7043747743034132,879,1680,70.0,17920,573440
2.2329159,-0.02802079643588513,0.8351843,0.07436431609094143,128.93,3.07,123.06,2.86,0.631327836101163,880,1704,71.0,18176,581632
2.2268882,-0.025084869298152627,0.83443344,0.08710812032222748,143.39,3.56,138.5,3.02,0.6042526377078401,880,1728,72.0,18432,589824
2.2593849,-0.02345421531703323,0.88101953,0.09669113550335169,156.72,3.92,153.74,3.76,0.6466695835623062,880,1752,73.0,18688,598016
2.1681972,-0.020080081853084266,1.1978186,0.12002690657973289,159.02,4.52,142.72,3.5,0.6013403946190838,879,1776,74.0,18944,606208
2.182916,-0.02134150192607194,1.1522862,0.12101220823824406,146.83,4.05,137.7,3.28,0.6812707049331356,879,1800,75.0,19200,614400
2.2013628,-0.023798537398688493,1.2226659,0.11175845179706811,139.4,3.23,146.55,3.5,0.7389403876000316,878,1824,76.0,19456,622592
2.1905322,-0.023768449276685713,1.1521173,0.11342671666294336,141.52,3.58,151.54,3.55,0.6350913694534724,872,1848,77.0,19712,630784
2.1600063,-0.024594285204075278,1.2766153,0.10471653129905462,148.5,3.88,157.14,4.27,0.6263178262828,881,1872,78.0,19968,638976
2.1461406,-0.02506360431201756,1.4912424,0.10496166829019785,158.97,4.31,161.73,4.39,0.6986134026409878,880,1896,79.0,20224,647168
2.148881,-0.02281958609353751,1.4045091,0.12299121405929327,182.22,5.65,177.84,4.85,0.6723518082328837,881,1920,80.0,20480,655360
2.13147,-0.019867402319796383,1.3894262,0.14640552915632724,203.3,7.38,183.32,5.09,0.7101805183151146,880,1944,81.0,20736,663552
2.164869,-0.017323567322455345,1.4158696,0.15733319476246835,218.64,7.79,195.34,5.68,0.7371381846823364,882,1968,82.0,20992,671744
2.1563375,-0.017218048754148185,1.5291866,0.18058579854667187,227.03,7.85,207.31,6.39,0.7447958892899909,881,1992,83.0,21248,679936
2.083484,-0.018243059827946127,1.8034111,0.17643140718340874,226.44,7.83,216.0,6.92,0.7013414380291219,873,2016,84.0,21504,688128
2.1567647,-0.019711011489853263,1.8447497,0.1754491054266691,226.6,7.97,214.36,7.27,0.7484770290765115,881,2040,85.0,21760,696320
2.0417852,-0.020302554527297616,2.0639062,0.17856665052473544,218.47,7.36,225.41,8.78,0.7579173833942511,882,2064,86.0,22016,704512
2.1196163,-0.021234940914437176,2.081263,0.18912707440555096,225.71,8.26,219.65,8.56,0.775407015594822,879,2088,87.0,22272,712704
2.2487066,-0.02208212454803288,1.9491122,0.1876004034280777,226.12,7.99,229.85,8.47,0.7830748365137324,881,2112,88.0,22528,720896
2.224909,-0.021862753154709934,1.9304842,0.18291664376854896,211.75,7.15,214.52,7.19,0.8015794526635832,879,2136,89.0,22784,729088
2.2396514,-0.020372384642250836,2.0052066,0.1862259627878666,215.21,7.54,214.49,6.85,0.788685152728205,879,2160,90.0,23040,737280
2.2366397,-0.02077585889492184,1.9550266,0.175097733438015,215.31,7.83,217.69,6.84,0.7903341142124463,873,2184,91.0,23296,745472
2.1575897,-0.01996969088446349,2.0690176,0.19019997000694275,239.16,9.31,228.17,8.16,0.8467739160087899,880,2208,92.0,23552,753664
2.253813,-0.01954346609301865,1.7089145,0.19656598776578904,228.88,8.3,205.43,7.96,0.766014728828257,880,2232,93.0,23808,761856
2.1568372,-0.01923848003614694,2.3019633,0.2102892877161503,236.83,8.54,211.24,7.47,0.7723811688221295,881,2256,94.0,24064,770048
2.063164,-0.018874215413816273,2.6688604,0.22388441622257232,223.96,8.34,206.31,7.17,0.7882617884041174,879,2280,95.0,24320,778240
2.127276,-0.016486333911307157,2.3856149,0.23818033024668694,257.97,10.31,219.88,7.61,0.8154690898668658,878,2304,96.0,24576,786432
2.1166313,-0.01441899623721838,2.7672389,0.2613386020064354,274.54,11.74,217.59,7.97,0.820564778987971,880,2328,97.0,24832,794624
2.1158297,-0.013907525278627873,2.7903705,0.26277784883975985,300.43,13.17,255.93,10.76,0.8049925581216086,881,2352,98.0,25088,802816
2.0428364,-0.014652380868792534,3.208584,0.26351366966962814,297.32,13.12,255.75,11.49,0.8227120834621987,880,2376,99.0,25344,811008
2.0884616,-0.016429510281886904,2.7077324,0.257187509983778,280.09,11.73,275.35,12.87,0.7884805735034907,874,2400,100.0,25600,819200
2.048932,-0.017538075081538408,2.7572222,0.25937370881438254,256.61,10.92,259.2,11.83,0.8319467335249267,880,2424,101.0,25856,827392
2.0563788,-0.01877105387626216,2.8880203,0.25191408306360247,252.02,10.4,287.12,13.34,0.8008135202494013,879,2448,102.0,26112,835584
2.1030464,-0.01876396336359903,2.4163399,0.2638239338994026,265.75,11.49,285.28,12.97,0.8528358229994435,881,2472,103.0,26368,843776
1.9889514,-0.018598706054035574,3.5730436,0.27391605108976363,264.87,11.32,309.25,15.0,0.8420312671198864,881,2496,104.0,26624,851968
2.0652735,-0.017034769805613904,3.1350036,0.28116978526115416,294.93,13.34,331.97,16.62,0.829472052479477,879,2520,105.0,26880,860160
2.0638893,-0.019716205990407618,3.149182,0.30949468046426776,319.87,15.55,319.84,15.43,0.8194249284991438,881,2544,106.0,27136,868352
2.0356436,-0.020169396146666258,3.4078326,0.3189540755748749,316.86,15.33,325.15,16.06,0.8007297380488838,875,2568,107.0,27392,876544
2.0134041,-0.018630377538502215,3.767778,0.3419929912686348,331.33,16.46,315.61,15.63,0.8286070020939347,882,2592,108.0,27648,884736
2.0210547,-0.01796425213571638,4.3347254,0.3328432506322861,322.91,15.78,293.7,14.66,0.8261295929841808,881,2616,109.0,27904,892928
1.9982136,-0.01605494733899832,3.8539531,0.3529674768447876,325.49,16.21,301.02,15.42,0.7982979839334938,881,2640,110.0,28160,901120
2.0489235,-0.013949607722461224,4.0637913,0.36897228300571444,328.95,16.07,293.05,15.24,0.754791830772572,881,2664,111.0,28416,909312
2.043961,-0.014820559546351433,4.279288,0.352818216830492,338.62,16.3,291.86,13.95,0.8301429823610669,881,2688,112.0,28672,917504
1.9186302,-0.015585308929439634,5.0508614,0.3760873953998089,339.47,16.78,307.55,15.29,0.8259868954418134,878,2712,113.0,28928,925696
2.08312,-0.017375500835478307,3.9713573,0.35459333911538127,334.3,16.67,315.22,15.37,0.8281121319255134,873,2736,114.0,29184,933888
2.122517,-0.017778668752871454,4.2685533,0.370617882758379,331.74,17.08,322.27,15.72,0.7557754712337991,882,2760,115.0,29440,942080
2.0212293,-0.017231312096118927,4.256006,0.3864161503314972,335.19,17.22,315.04,16.12,0.7922457453235281,876,2784,116.0,29696,950272
2.075769,-0.01784178677247837,3.9312887,0.36699502110481264,342.16,17.82,320.99,15.75,0.8251585327018613,880,2808,117.0,29952,958464
2.0490324,-0.018736580559052526,4.042426,0.3666883984208107,330.59,16.78,322.13,16.11,0.8208356993960114,881,2832,118.0,30208,966656
2.043633,-0.01968593819765374,4.0333433,0.34051321268081663,324.09,16.68,323.93,16.54,0.7842252755197795,880,2856,119.0,30464,974848
2.0518026,-0.02103012164356187,4.528084,0.32946011126041413,321.75,16.67,350.1,17.86,0.7885947681468048,877,2880,120.0,30720,983040
1.9539185,-0.020286624564323574,5.0403943,0.3425852662324905,320.62,16.97,343.59,17.79,0.7553202471740685,872,2904,121.0,30976,991232
2.024249,-0.01940535369561985,4.9060082,0.35041897624731067,324.66,17.02,335.82,17.03,0.8039708828118203,878,2928,122.0,31232,999424
1.9494312,-0.019422492526937275,4.6873336,0.3690133428573608,328.49,16.11,335.8,16.43,0.7023900110065794,876,2952,123.0,31488,1007616
1.9328784,-0.019943854489829393,5.889997,0.3668528810143471,323.64,16.09,331.96,16.41,0.7899774133982936,876,2976,124.0,31744,1015808
2.0632856,-0.01990399193717167,5.0515437,0.3340157225728035,334.03,16.49,340.71,17.23,0.8122372797936719,881,3000,125.0,32000,1024000
1.9914235,-0.019400178629439324,5.214739,0.3221298667788506,348.93,18.07,345.64,17.45,0.8504335863968852,880,3024,126.0,32256,1032192
2.043027,-0.018771253277081998,4.877582,0.2930806124210358,356.65,19.48,343.45,17.82,0.8283339784166085,880,3048,127.0,32512,1040384
1.9883063,-0.017507894656155258,5.767492,0.28242320120334624,360.3,20.32,345.07,18.19,0.8250406821767243,870,3072,128.0,32768,1048576
2.0052555,-0.017680266194511206,5.2761736,0.27758050441741944,358.68,20.03,342.13,18.13,0.7754645354528709,881,3096,129.0,33024,1056768
2.0436826,-0.019182983974460513,5.301693,0.27734142407774925,344.08,18.18,312.4,15.53,0.8002529168355215,879,3120,130.0,33280,1064960
2.0805445,-0.02154893051367253,5.2284746,0.2770715644955635,337.58,17.6,312.4,14.66,0.8021751029673074,880,3144,131.0,33536,1073152
2.1063323,-0.023547994343098254,5.124831,0.26807449862360955,326.08,16.58,315.27,15.17,0.809331122193061,880,3168,132.0,33792,1081344
1.981013,-0.023368874748703094,5.9415264,0.2853280055522919,323.66,16.19,309.22,15.5,0.7566000859391904,881,3192,133.0,34048,1089536
2.088495,-0.024581941596698017,5.1460414,0.274368911087513,328.38,17.16,321.68,16.43,0.8272821622543372,880,3216,134.0,34304,1097728
2.1111104,-0.02281070515746251,4.7445264,0.2832298883795738,336.68,17.54,329.07,17.64,0.7252175034170472,872,3240,135.0,34560,1105920
2.1444664,-0.020954729029908775,4.757419,0.2943026678264141,340.5,17.56,315.22,16.3,0.7381453725416769,880,3264,136.0,34816,1114112
2.0948303,-0.02257770484313369,5.6844006,0.3012194848060608,314.8,15.46,308.71,15.74,0.7390993039124677,881,3288,137.0,35072,1122304
2.1070445,-0.02214581408537924,5.130942,0.30110249608755113,308.47,14.08,312.9,15.84,0.7535091277173693,881,3312,138.0,35328,1130496
2.1253726,-0.0219285009521991,5.2876883,0.30774697333574297,309.89,14.65,317.3,14.58,0.7052444274277379,881,3336,139.0,35584,1138688
2.1634357,-0.021166083752177656,4.944658,0.2978358855843544,326.42,15.7,319.14,15.1,0.7410195962643313,881,3360,140.0,35840,1146880
2.0990498,-0.02160829589702189,5.302295,0.2721127738058567,330.03,16.54,322.68,15.0,0.802223897380816,879,3384,141.0,36096,1155072
2.1358848,-0.021237185620702804,5.4415483,0.2729015272855759,341.9,18.1,326.29,15.49,0.7873772293047954,872,3408,142.0,36352,1163264
2.089347,-0.02022566323168576,5.9940743,0.2656654945015907,342.3,18.4,318.01,16.84,0.7325506360845626,879,3432,143.0,36608,1171456
2.1425245,-0.02018542656674981,5.4339547,0.2705822478234768,333.84,17.55,319.42,15.72,0.7428412617342214,879,3456,144.0,36864,1179648
2.1366885,-0.01991969143971801,5.517577,0.28702322751283643,341.01,17.97,325.2,16.5,0.7487121067869463,882,3480,145.0,37120,1187840
2.0605645,-0.01924423494376242,5.861822,0.31299990266561506,331.79,17.25,324.65,16.31,0.8094396779162618,881,3504,146.0,37376,1196032
2.0388644,-0.016804648018442093,6.330657,0.33187174290418625,334.46,17.27,337.55,16.86,0.7899466431951832,882,3528,147.0,37632,1204224
2.1159835,-0.01798534262459725,5.9066095,0.3301995125412941,341.02,18.01,346.98,17.74,0.8028874144788554,879,3552,148.0,37888,1212416
2.1439586,-0.016748141138814388,6.397206,0.3300841633975506,347.52,17.86,351.16,17.91,0.7579879423788377,870,3576,149.0,38144,1220608
2.0786736,-0.018772272877395153,5.8699217,0.32199675634503366,346.73,17.68,343.31,17.7,0.7634904399415356,880,3600,150.0,38400,1228800
2.0151944,-0.019687188491225242,6.5253487,0.2985650897026062,353.36,18.41,340.13,17.67,0.7386052386450082,883,3624,151.0,38656,1236992
2.0398533,-0.017531292429193854,6.23295,0.30422063291072843,358.99,18.7,343.32,17.72,0.7640283746670183,881,3648,152.0,38912,1245184
2.0188875,-0.01690456148702651,6.5547695,0.2961093655228615,366.32,20.0,350.03,19.5,0.7983424914540898,881,3672,153.0,39168,1253376
2.0269701,-0.013879912518896163,6.5025187,0.30603848561644553,369.72,20.59,354.23,19.95,0.8132325362204474,880,3696,154.0,39424,1261568
2.062708,-0.012728174477815627,6.937758,0.33612780809402465,366.87,21.17,353.33,19.75,0.7509931728074033,879,3720,155.0,39680,1269760
1.99729,-0.013637580862268805,7.518603,0.3715355384349823,364.5,21.36,349.8,19.16,0.6477852580274264,878,3744,156.0,39936,1277952
2.0732756,-0.015521506979130208,6.980702,0.39775916188955307,365.54,21.21,350.15,19.01,0.6229939701645875,870,3768,157.0,40192,1286144
2.0734205,-0.01665749743115157,6.707501,0.37753364637494086,359.78,20.52,351.94,18.94,0.7525488227915138,878,3792,158.0,40448,1294336
2.0687883,-0.01846188595984131,7.0961027,0.340549161285162,364.21,20.61,346.04,18.98,0.7444088977102833,881,3816,159.0,40704,1302528
2.0865128,-0.021048699687235058,7.251123,0.2813087128102779,359.07,19.78,340.8,18.77,0.7283264749591716,881,3840,160.0,40960,1310720
2.1256275,-0.019624543227255344,7.080371,0.27710446044802667,358.11,19.69,335.48,17.87,0.6434829631765051,880,3864,161.0,41216,1318912
2.0494115,-0.020898202261887492,7.0707383,0.28250761330127716,356.11,19.48,338.53,18.36,0.7332263106935528,878,3888,162.0,41472,1327104
2.1127934,-0.019828112763352692,7.0459685,0.29491485670208933,356.73,18.82,346.21,18.98,0.6037062251269376,876,3912,163.0,41728,1335296
2.0986216,-0.01787779638543725,7.1432323,0.3075470718741417,354.89,19.51,356.28,19.6,0.671176352268615,874,3936,164.0,41984,1343488
2.047846,-0.018321856264956294,7.4117546,0.28381160825490953,349.36,19.38,364.18,20.46,0.6993890080713571,879,3960,165.0,42240,1351680
2.0503564,-0.01846096329856664,7.2404265,0.2459622873365879,361.05,20.31,360.29,20.17,0.809559164171324,880,3984,166.0,42496,1359872
2.0965354,-0.018159399037249387,7.2003756,0.2137845144420862,368.3,21.49,356.14,19.61,0.8253137261307034,880,4008,167.0,42752,1368064
2.0603187,-0.0216920031234622,7.2295427,0.19388211138546466,364.52,21.43,357.92,19.65,0.8704033856471903,878,4032,168.0,43008,1376256
2.1310618,-0.019094548928551378,7.3843713,0.19869467563927173,373.14,21.67,364.81,20.34,0.6877327726264573,875,4056,169.0,43264,1384448
2.1004777,-0.019972465583123267,7.170698,0.2450162523239851,361.6,20.73,355.36,19.53,0.7173173857272477,875,4080,170.0,43520,1392640
2.1375122,-0.021060598362237216,7.1493654,0.263923993781209,351.3,19.84,363.75,20.54,0.8128654769782905,872,4104,171.0,43776,1400832
2.1517584,-0.01819738880265504,7.3755007,0.2827593180537224,354.93,20.55,347.67,18.99,0.7697405144677599,879,4128,172.0,44032,1409024
2.095174,-0.01855317602865398,7.653867,0.29107385024428367,349.39,20.22,345.68,18.75,0.6834085745584098,879,4152,173.0,44288,1417216
2.1637974,-0.018082015942782165,6.5870223,0.2981691347062588,350.17,20.47,351.09,18.54,0.6916402154014436,882,4176,174.0,44544,1425408
2.120818,-0.018050231100060047,7.51741,0.2778297270834446,367.66,21.9,342.55,18.5,0.8031786870528163,881,4200,175.0,44800,1433600
2.1512756,-0.018412938099354504,7.3095345,0.29344902843236925,367.7,21.71,357.71,19.46,0.6795775468791458,880,4224,176.0,45056,1441792
2.0845976,-0.017499191076494752,7.1182013,0.292696725577116,375.8,21.25,362.02,20.68,0.7782777636378093,882,4248,177.0,45312,1449984
2.1653442,-0.018315829848870636,7.7532773,0.25660869911313056,369.83,20.24,351.15,20.07,0.707269363880282,876,4272,178.0,45568,1458176
2.1434348,-0.018376138154417278,7.6174045,0.2667440688610077,369.51,20.92,358.71,19.92,0.5805958238531714,871,4296,179.0,45824,1466368
2.1481795,-0.017550297267735004,7.5298443,0.26753285199403765,363.7,20.17,359.51,19.92,0.7239322019439272,878,4320,180.0,46080,1474560
2.1403334,-0.01700957809109241,7.55321,0.24306476593017579,359.91,19.74,356.95,20.07,0.8327445702189218,878,4344,181.0,46336,1482752
2.1268823,-0.017152689658105374,7.588571,0.2533605019748211,363.68,20.64,371.35,21.2,0.6789517088159349,879,4368,182.0,46592,1490944
