average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer2,avg_frob_kernel_layer2,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0005465933354571462,-0.061486907,0.28573552519083023,0.004142776687518899,1.7313902563773669,82.53571428571429,-3.2619047,81.82926829268293,-2.817073,-0.0012359849471907935,829,24,1.0,256,8192
2.7075562,-0.0002881579178695877,-0.228241,0.2202390320599079,0.004567129176065083,1.731422214783155,85.58,-2.58,78.46,-2.87,0.0028409464312820765,844,48,2.0,512,16384
2.706777,-0.00033359770895913243,-0.27300274,0.2007890676872598,0.004844201551822854,1.7315174852426236,78.85,-2.49,84.98,-2.06,0.026856422387358525,842,72,3.0,768,24576
2.7064009,-0.00044111269623196375,-0.3122037,0.18967555106307069,0.005270277684188985,1.7315779621784504,80.78,-2.46,84.54,-2.4,0.0973075483071244,844,96,4.0,1024,32768
2.7023447,-0.0008276995690539479,-0.44030765,0.149905821159482,0.006101978888043592,1.731957526390369,82.34,-1.7,79.2,-2.94,0.21597790660267624,843,120,5.0,1280,40960
2.6913633,-0.0015471141785383224,-0.42744476,0.139107898324728,0.007099164214486546,1.7323120986039822,86.82,-2.11,82.75,-2.21,0.26386275730784925,842,144,6.0,1536,49152
2.681627,-0.002329151136800647,-0.39257795,0.13676080867648124,0.008254191267308916,1.7327040099180662,78.65,-2.43,85.71,-3.12,0.275926123709344,842,168,7.0,1792,57344
2.6830535,-0.0038772377325221896,-0.3831927,0.12479311645030976,0.009101352158945876,1.7329003421159892,83.28,-2.3,81.24,-2.47,0.4471741018133718,831,192,8.0,2048,65536
2.684943,-0.004213363667950034,-0.5023904,0.1306938811391592,0.009901055763236855,1.7329211911329856,80.58,-2.0,82.66,-1.95,0.40828791658474206,840,216,9.0,2304,73728
2.690085,-0.004832596615888179,-0.40539813,0.13910222493112087,0.010801643697417901,1.7330540604316271,87.81,-3.07,86.18,-2.54,0.3557424409866682,842,240,10.0,2560,81920
