average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.708047,-0.00039547109433139366,-0.10696337,0.4105418361723423,-1.9886364,-2.3636363,-0.005160838544157276,24,256,8192
2.7075267,-0.000638627476291731,-0.20349883,0.27372318459674716,-1.93,-2.42,0.0046391630601984035,48,512,16384
2.700398,-0.0012603594675763613,-0.32948345,0.24961440917104483,-3.02,-3.38,0.016278361835998956,72,768,24576
2.6821368,-0.001429726723775578,-0.470375,0.22485986716734865,-2.49,-2.73,0.04763902663306552,96,1024,32768
2.6763797,-0.001593686998821795,-0.48387328,0.16477346196770667,-2.46,-2.95,0.1847751989470663,120,1280,40960
2.680843,-0.0027194161992520095,-0.5230513,0.15222878850996494,-2.56,-3.01,0.2841039371907397,144,1536,49152
2.6699033,-0.002726306328549981,-0.45489752,0.13310347408056258,-1.68,-2.43,0.32585781254414137,168,1792,57344
2.6752017,-0.003430501304101199,-0.48372602,0.12106010667979718,-2.07,-2.75,0.3622589703503959,192,2048,65536
2.6824932,-0.004615765244234353,-0.5549503,0.10962802156805992,-1.57,-2.63,0.42157941710597613,216,2304,73728
2.6826215,-0.007321678653825075,-0.5233967,0.10585384629666805,-1.69,-2.12,0.3900888803458008,240,2560,81920
2.6750143,-0.009129098060075194,-0.5610531,0.10447012931108475,-2.14,-1.91,0.4555947426238113,264,2816,90112
2.6589887,-0.011486461767926812,-0.61388624,0.09948105335235596,-1.67,-1.72,0.4869139933690726,288,3072,98304
2.650061,-0.01242827958893031,-0.4830684,0.09794130854308605,-1.61,-1.52,0.5037285513908671,312,3328,106496
2.629112,-0.015066137600224466,-0.3174469,0.0942338839918375,-1.51,-1.57,0.4548165117101959,336,3584,114688
2.6134102,-0.01674811150645837,-0.50380766,0.08742639448493719,-1.15,-1.33,0.546757552011436,360,3840,122880
2.6125405,-0.018262295310851186,-0.2764837,0.0843522510305047,-1.23,-1.26,0.4291055815313891,384,4096,131072
2.5712206,-0.019636148035060613,-0.32012677,0.08606079880148172,-0.91,-1.21,0.47630913369593764,408,4352,139264
2.5678592,-0.019284460581839084,-0.29423144,0.08134391378611326,-0.99,-1.15,0.48351058834815397,432,4608,147456
2.5263877,-0.019721580543555318,-0.30789697,0.08125789117068052,-0.66,-1.31,0.5345068745897956,456,4864,155648
2.53646,-0.02009537144564092,-0.2706223,0.07926268342882395,-0.83,-1.12,0.4757781416053244,480,5120,163840
2.5613399,-0.020465871300548315,-0.14415619,0.0809407688304782,-0.65,-1.17,0.40589426013078866,504,5376,172032
2.5727046,-0.02142704712692648,-0.10183746,0.08463628485798835,-0.87,-1.09,0.3688293632429074,528,5632,180224
2.5721889,-0.022261549942195414,-0.048092112,0.0802998249232769,-0.73,-1.53,0.31344054186117076,552,5888,188416
2.5436854,-0.02279135742224753,-0.1111366,0.0814053214341402,-0.53,-1.14,0.38880274377915436,576,6144,196608
2.5493276,-0.02275273689068854,-0.07648683,0.08303096156567336,-1.23,-1.12,0.3948318923512547,600,6400,204800
2.5266109,-0.023884259406477214,-0.13017572,0.08339483458548784,-0.93,-1.24,0.40899406460886545,624,6656,212992
2.4586918,-0.02311717810574919,-0.10690175,0.09019553527235985,-0.78,-0.59,0.5055704558617192,648,6912,221184
2.4209485,-0.02356048407033086,-0.110180184,0.09182817839086056,-0.73,-0.53,0.5065580514985089,672,7168,229376
2.4452276,-0.025063465228304268,-0.13427494,0.08062768865376711,-0.28,-1.22,0.478246890085389,696,7424,237568
2.4471655,-0.025286882128566505,-0.15087274,0.07702587794512511,-0.24,-1.13,0.4042855980430271,720,7680,245760
2.4514365,-0.024626223142258822,-0.10298381,0.06961615275591612,-0.36,-0.43,0.3455018199617056,744,7936,253952
