average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_change,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0007577077873672048,-0.02974769,0.33941595753033954,0.017549959526929473,78.6219512195122,-1.6463414,78.816091954023,-2.8505747,0.0007501871835130514,870,24,1.0,256,8192
2.7067862,-0.0007106041787968328,-0.21875845,0.25559507434566814,0.01943328485192199,84.05,-2.36,79.43,-2.16,0.0025818221528612906,885,48,2.0,512,16384
2.7034006,-0.001028630682008548,-0.38347328,0.23917359817359182,0.020300632079375817,81.24,-2.48,80.16,-3.48,0.003594307938177277,879,72,3.0,768,24576
2.6915977,-0.0008759225844793642,-0.49005482,0.22036627074703574,0.02147499835284959,77.87,-2.45,84.76,-2.99,0.021628015947745327,880,96,4.0,1024,32768
2.6953318,-0.001115521197207272,-0.565365,0.1788253889977932,0.024118855695373247,84.78,-2.65,84.8,-2.36,0.09903575867679126,882,120,5.0,1280,40960
2.689848,-0.0010658519342541695,-0.61424726,0.16795963630080224,0.028975077683017367,87.04,-2.38,85.98,-2.35,0.2362160731947337,881,144,6.0,1536,49152
2.6878085,-0.0019229123881086708,-0.56843036,0.1526866116374731,0.0315512274059334,86.47,-2.73,85.73,-3.19,0.321769709129305,882,168,7.0,1792,57344
2.68071,-0.0025266323797404765,-0.7093826,0.1402765242010355,0.03224644330441065,83.75,-2.81,76.83,-2.43,0.4309931161268431,871,192,8.0,2048,65536
2.687659,-0.0037969614425674082,-0.5096629,0.12707410603761674,0.03502218688039908,79.3,-1.36,82.64,-1.95,0.4368089781737856,881,216,9.0,2304,73728
2.6838002,-0.004352327776141465,-0.49155396,0.11936035796999932,0.037521661359018514,81.75,-1.68,85.46,-2.03,0.49513980200402063,878,240,10.0,2560,81920
2.6734862,-0.005447595156729221,-0.57780117,0.11336698703467846,0.040661278080993464,86.97,-1.79,84.63,-2.68,0.5067998089066524,882,264,11.0,2816,90112
2.6807783,-0.006242038137279451,-0.3526839,0.1065363921225071,0.04201460201736717,81.24,-1.26,84.03,-1.63,0.42881987132396726,881,288,12.0,3072,98304
2.6756182,-0.0072506425064057115,-0.35294512,0.11445116333663463,0.04359976735542573,85.6,-1.94,82.28,-2.09,0.48404372235759474,880,312,13.0,3328,106496
2.6688097,-0.0076687636086717244,-0.3830465,0.11088906280696392,0.04539527928656233,84.62,-1.87,82.13,-1.72,0.43941302093477574,883,336,14.0,3584,114688
2.641674,-0.008936260710470378,-0.3160107,0.10200110532343387,0.04779563654613282,78.73,-1.41,85.09,-1.62,0.4699877708289951,873,360,15.0,3840,122880
2.6353106,-0.010837566214613617,-0.19316377,0.09728414505720138,0.050013917775469874,82.1,-1.38,79.8,-1.14,0.4910720613338717,882,384,16.0,4096,131072
2.643489,-0.012099787001498044,-0.24281055,0.08228214737027884,0.05304228769437898,85.46,-0.9,77.24,-0.97,0.4486866899605918,879,408,17.0,4352,139264
