average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer0,avg_frob_kernel_layer0,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080474,-0.00024908449267968535,9.214473e-05,0.43200016518433887,0.008957638246162485,1.7292775770028432,83.7948717948718,-2.4358974,84.06172839506173,-3.6666667,0.0025873500720038356,830,24,1.0,256,8192
2.7076845,-0.00021236269579579434,-0.18032528,0.2827966397938629,0.010302299429895356,1.72898162206014,81.77,-2.3,81.06,-2.38,-4.960313035051733e-05,842,48,2.0,512,16384
2.7064097,-0.0007019457277945346,-0.2797018,0.24309200783156687,0.012288111413363367,1.7290686666965485,86.53,-2.24,82.89,-2.35,0.011105839412106966,845,72,3.0,768,24576
2.6970644,-0.0008096639988555884,-0.34044123,0.2170741642670085,0.01443499312736094,1.7292937537034352,82.14,-1.96,79.64,-1.98,0.02815820974483807,844,96,4.0,1024,32768
2.702895,-0.002014057687483728,-0.37410638,0.14935295686125755,0.017516808196281392,1.7299298544724782,86.15,-2.11,85.33,-2.97,0.08416665961130831,844,120,5.0,1280,40960
2.698485,-0.0015236142650246621,-0.35097083,0.14311184450984002,0.020229052243909487,1.7307390789190928,84.33,-1.87,84.6,-2.26,0.20473449678872613,846,144,6.0,1536,49152
2.6975093,-0.001747037833556533,-0.47566155,0.13633118316531181,0.02286653926130384,1.731199437379837,88.35,-2.37,84.31,-2.5,0.27751198225402973,844,168,7.0,1792,57344
2.6888828,-0.002390750548802316,-0.41960838,0.1376764862984419,0.0253300303981329,1.7314376056194305,85.25,-2.74,83.68,-2.04,0.23950425166862,833,192,8.0,2048,65536
2.682294,-0.0033648924622684717,-0.36913672,0.13515096835792065,0.02740496931752811,1.7316667874654135,87.71,-2.24,93.75,-2.56,0.26999034300033875,843,216,9.0,2304,73728
2.6672425,-0.004952361122705042,-0.45551342,0.12935080282390118,0.030383833264932037,1.731699780623118,80.74,-1.55,82.41,-1.72,0.2811549029200958,844,240,10.0,2560,81920
2.6743228,-0.0063810975616797804,-0.48033062,0.12620490975677967,0.033586987565892436,1.7316579361756643,84.94,-2.24,75.21,-1.9,0.3535472360377858,846,264,11.0,2816,90112
2.679329,-0.007054887036792934,-0.44651228,0.12248668141663074,0.036375146630840995,1.7318209369977315,83.26,-2.17,83.05,-2.14,0.38268623276100333,844,288,12.0,3072,98304
2.6614854,-0.008570723780430854,-0.5201333,0.12212990403175354,0.038598780217580494,1.7321323851744335,87.53,-2.59,89.57,-2.67,0.4064643843009651,844,312,13.0,3328,106496
2.6636643,-0.011013851836323738,-0.41091287,0.1205559629201889,0.040477726600753765,1.732421298821767,87.32,-1.92,85.81,-2.05,0.42114727576804334,844,336,14.0,3584,114688
2.64643,-0.011372606386430562,-0.51490635,0.11396287798881531,0.04276686157876005,1.7326644440491994,82.58,-1.38,86.67,-2.02,0.43253943645818904,836,360,15.0,3840,122880
2.6555696,-0.013022230491042137,-0.34720576,0.10844820626080036,0.043854921404272315,1.7328614314397177,82.81,-1.84,86.37,-1.44,0.42682326162065265,845,384,16.0,4096,131072
2.64276,-0.014512908775359393,-0.33007476,0.09681347854435444,0.04585416845511645,1.7331848382949828,78.8,-1.07,83.32,-1.32,0.454733319033776,845,408,17.0,4352,139264
2.6115816,-0.01631865119561553,-0.2976935,0.08699760936200619,0.04795759196082751,1.733315404256185,77.87,-0.61,76.89,-1.59,0.4565015442885424,843,432,18.0,4608,147456
2.6122818,-0.017510159607045352,-0.22117056,0.08424355752766133,0.0502409935152779,1.7334146896998088,80.38,-0.84,77.02,-0.89,0.42927749066254406,844,456,19.0,4864,155648
2.5895317,-0.01936424140818417,-0.3365082,0.08422413110733032,0.052427738051240645,1.7335049351056417,81.49,-1.33,79.14,-1.44,0.366271088967687,844,480,20.0,5120,163840
2.5631769,-0.019196511646732688,-0.11301665,0.08301617667078971,0.054236241181691486,1.733494871854782,84.43,-1.17,83.82,-1.63,0.424736537609665,845,504,21.0,5376,172032
2.5891192,-0.019660863382741808,-0.25858784,0.08504172533750534,0.05567097423287729,1.7332978904247285,81.49,-0.69,77.52,-0.72,0.32969035384134326,843,528,22.0,5632,180224
2.5848536,-0.02066912009380758,-0.24140735,0.09256269603967666,0.05691887472445766,1.7334475735823314,77.49,-1.21,80.99,-1.55,0.43693716809366456,834,552,23.0,5888,188416
2.565166,-0.020887930458411575,-0.13130647,0.09090801171958446,0.05807286525766055,1.733443409204483,89.98,-1.47,80.59,-0.82,0.4220271799987766,845,576,24.0,6144,196608
2.5612862,-0.020646513169631363,-0.1568104,0.09491366006433964,0.05975561447752019,1.7336212436358134,84.68,-1.19,82.81,-1.52,0.3998069186043408,844,600,25.0,6400,204800
2.5564291,-0.021998182479292153,-0.19355354,0.09565914627164603,0.060991503003363805,1.7338118374347686,85.17,-0.91,79.81,-1.37,0.40307644876879856,845,624,26.0,6656,212992
2.5559916,-0.023139582658186556,-0.23701772,0.09094964448362589,0.062011869018897416,1.7339119176069895,81.28,-1.17,84.91,-0.96,0.4816632280388986,845,648,27.0,6912,221184
2.5543034,-0.02388349919579923,-0.21747772,0.0901680339500308,0.06334708351641893,1.7340626458326975,80.48,-0.67,83.73,-0.96,0.3896640079343964,843,672,28.0,7168,229376
2.5173652,-0.024683220949955283,-0.20702502,0.08346709791570901,0.06392302781653901,1.7342551290988921,77.72,-0.75,79.02,-0.36,0.4713069433199333,845,696,29.0,7424,237568
2.5132062,-0.02553096895571798,-0.1008892,0.0799822023510933,0.06501599214971066,1.734405940771103,84.14,-0.21,83.6,-0.85,0.34719777686028175,836,720,30.0,7680,245760
2.542069,-0.02511287879664451,-0.1197008,0.08066384620964527,0.06628435632834832,1.7345496614774067,78.67,-0.69,75.41,-0.59,0.4538120008158937,845,744,31.0,7936,253952
2.4991388,-0.02504865209106356,-0.11616427,0.07846190690994263,0.06684286600599686,1.734667174021403,82.1,-0.68,77.29,-0.43,0.47718857493813616,843,768,32.0,8192,262144
