average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer0,avg_frob_kernel_layer0,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080472,-0.00040914762454728287,-0.008507598,0.44099629297852516,0.00743349120602943,1.7297430793444315,74.22222222222223,-2.0777779,81.35802469135803,-1.7654321,-0.00358117482319531,825,24,1.0,256,8192
2.7076836,-0.0003251119148141394,-0.12495808,0.3208952145650983,0.008754966625322899,1.7293907384077707,84.74,-2.61,76.2,-2.52,0.010638631205109439,854,48,2.0,512,16384
2.7068465,-0.00027271693882842857,-0.2637276,0.25779749515155953,0.010287180067583298,1.7295786499977113,82.09,-1.66,81.41,-2.28,0.020738066995884208,848,72,3.0,768,24576
2.7057934,-0.0005045169576381644,-0.2772773,0.22820240072906017,0.012128924908271681,1.7300238847732543,84.33,-2.09,89.47,-1.99,0.03608419408959984,848,96,4.0,1024,32768
2.699216,-0.0005135025642812253,-0.2544654,0.16370965972542761,0.016132697261249027,1.7306513468424478,79.41,-1.88,81.7,-2.7,0.10380221644502785,848,120,5.0,1280,40960
2.6916924,-0.001297546261921525,-0.3215558,0.1499996842443943,0.020480090123601257,1.731269125143687,85.47,-2.34,82.0,-2.24,0.12551557120709889,847,144,6.0,1536,49152
2.6822565,-0.002834422425366938,-0.3482518,0.14725708916783334,0.025133764604106545,1.7321615556875865,77.67,-1.63,81.55,-2.46,0.20668382860242018,849,168,7.0,1792,57344
2.6686196,-0.003041306105442345,-0.45436054,0.14836077898740768,0.029437331180088223,1.7330326020717621,83.79,-2.41,79.97,-2.1,0.26175540637485806,835,192,8.0,2048,65536
2.657356,-0.00438137611374259,-0.5307264,0.15496426269412042,0.032679349983421466,1.7331809024016063,84.67,-2.91,79.77,-2.13,0.3396358359383863,850,216,9.0,2304,73728
2.65117,-0.005790374805219472,-0.6218223,0.14981989607214927,0.036481638066470624,1.7337761421998341,85.99,-2.53,81.64,-2.19,0.43540045903344404,849,240,10.0,2560,81920
2.6483018,-0.005909269419498741,-0.5590757,0.14759595416486262,0.03955729317385703,1.7341928978761036,84.01,-2.6,89.58,-2.81,0.4097983880784998,851,264,11.0,2816,90112
2.6494195,-0.007674761465750635,-0.44625255,0.13581551045179366,0.04303848885465413,1.7345003962516785,85.9,-1.95,76.37,-1.77,0.46841268072579123,852,288,12.0,3072,98304
2.6142788,-0.009985709330067039,-0.5068532,0.11701594039797783,0.04533183571572105,1.7347444315751395,78.55,-1.46,77.41,-2.03,0.48021014547725915,850,312,13.0,3328,106496
2.6015933,-0.011925414255820214,-0.35814184,0.10540969379246234,0.047061372098202506,1.7347997069358825,84.6,-1.29,75.99,-2.04,0.43115361974543454,849,336,14.0,3584,114688
2.6072876,-0.014309617029502987,-0.24666253,0.09384401805698872,0.0492989340176185,1.7351047257582346,79.3,-1.41,83.5,-1.72,0.46468486193881187,842,360,15.0,3840,122880
2.6120675,-0.015494342539459466,-0.20156679,0.09174604274332523,0.05138185870212813,1.7354117770989737,79.74,-1.01,81.48,-1.67,0.38240253771779975,850,384,16.0,4096,131072
2.5683184,-0.017689196965657173,-0.17756012,0.09083807766437531,0.05314899804070592,1.7357112427552541,81.18,-0.65,80.61,-1.11,0.379319886340874,850,408,17.0,4352,139264
2.6041787,-0.018306373097002508,-0.089852296,0.08474073588848113,0.053974425171812376,1.7357133626937866,76.87,-1.2,79.7,-0.86,0.4125643779895515,849,432,18.0,4608,147456
2.5975041,-0.01878799794707447,-0.1315484,0.08254210457205773,0.056315125990659,1.7357230683167775,83.6,-0.76,79.69,-0.53,0.37160369616233435,850,456,19.0,4864,155648
2.5786412,-0.018616871298290788,-0.093469806,0.08036924250423909,0.05762917657072345,1.7356209139029184,79.88,-0.52,75.63,-1.12,0.39188062775646526,851,480,20.0,5120,163840
2.590167,-0.019093353166244924,-0.06748273,0.07725718960165978,0.05925413826480508,1.7358168303966521,79.81,-1.23,79.75,-0.83,0.41939479459300555,848,504,21.0,5376,172032
2.6015444,-0.01966046300251037,-0.13034257,0.07429283011704683,0.0607699718636771,1.7361395498116812,81.36,-0.63,80.81,-0.98,0.4306403651745295,847,528,22.0,5632,180224
2.5911338,-0.019956938992254435,-0.043697737,0.07737440753728152,0.062450981698930264,1.7361607035001119,80.01,-1.1,77.56,-0.99,0.4450942324612637,841,552,23.0,5888,188416
2.5578468,-0.021821343218907715,-0.10571042,0.07413382641971111,0.0632037888901929,1.7360883196194967,80.02,-0.74,78.03,-0.44,0.27711595742214845,847,576,24.0,6144,196608
2.532193,-0.023055949658155443,-0.030337559,0.07516114696860314,0.06489407091091076,1.7362351417541504,82.7,-0.8,80.29,-0.63,0.4004796622547804,846,600,25.0,6400,204800
2.529317,-0.02395590575411916,-0.010249475,0.07550337743014097,0.06582630776489774,1.7363292316595713,82.44,-0.29,77.28,-0.36,0.3143668578580041,846,624,26.0,6656,212992
2.5141537,-0.025259652412496506,-0.036163498,0.07175517257302999,0.06645675742377838,1.7362550099690754,79.03,-0.14,80.26,-1.1,0.3028721830329323,850,648,27.0,6912,221184
2.5438533,-0.025811402965337037,-0.051257897,0.07544181331992149,0.06773130064830184,1.736378542582194,82.29,-0.6,85.22,-0.6,0.3276640195303956,848,672,28.0,7168,229376
2.5033174,-0.02566570847760886,0.009567822,0.0715437825396657,0.06938451643412312,1.7365681906541188,77.31,-0.01,76.62,-0.52,0.29051459069806773,849,696,29.0,7424,237568
2.51257,-0.025737072401680054,-0.004033553,0.07142787333577871,0.07061349777504802,1.7367933293183644,82.16,-0.12,81.02,-0.23,0.3193498385907053,841,720,30.0,7680,245760
2.5152779,-0.027938851285725833,0.04660858,0.07239958018064499,0.07101076738908887,1.736959211031596,82.65,-0.21,79.45,-0.68,0.32340901635275243,847,744,31.0,7936,253952
2.4702623,-0.027418787591159344,-0.14080933,0.06653267674148083,0.07229277060056725,1.7368597328662871,84.65,-0.35,82.82,-0.59,0.295153663222687,848,768,32.0,8192,262144
2.5023193,-0.027049443745054306,0.012828941,0.06603067364543676,0.07318044472485781,1.736923199892044,84.41,0.05,81.56,-0.21,0.36372346457992466,851,792,33.0,8448,270336
2.4940479,-0.027247311803512274,-0.02719931,0.06600026525557041,0.07438562841465075,1.737144943078359,81.0,-0.12,79.52,-0.24,0.3046424234815648,849,816,34.0,8704,278528
2.5146992,-0.02754413465037942,0.03465299,0.06567765820771455,0.0751054300305744,1.7371326645215353,79.94,0.18,80.25,-0.41,0.31846867708087934,848,840,35.0,8960,286720
2.5381792,-0.027789323297329246,0.029874492,0.07181572750210762,0.07635741845394174,1.7372822721799215,76.52,-0.26,80.11,-0.67,0.2698099983867578,850,864,36.0,9216,294912
2.5012162,-0.028025677218101917,0.03209516,0.07169279977679252,0.07676608230297764,1.7374154071013133,79.47,0.15,78.94,-0.69,0.3600010848087962,841,888,37.0,9472,303104
2.5000908,-0.030064632589928805,-0.0276091,0.06549104139208793,0.07798806773498654,1.7374086876710255,81.13,0.31,76.16,-0.48,0.36518328755652907,849,912,38.0,9728,311296
2.5117826,-0.029811945757828653,0.09084933,0.0627710548043251,0.07956585107992092,1.7375238021214803,79.63,-0.09,80.59,-0.33,0.33220425537109477,848,936,39.0,9984,319488
2.5180197,-0.030902907107956706,0.05573261,0.057818420454859736,0.08049792271728316,1.7376867830753326,83.83,0.01,83.56,0.14,0.38497429728875954,849,960,40.0,10240,327680
2.4896414,-0.03083128949161619,0.12795572,0.05697304844856262,0.08149700338641802,1.7378365059693655,84.62,-0.11,81.54,-0.22,0.332009550544371,846,984,41.0,10496,335872
2.4370866,-0.030376269905827938,0.14110306,0.06415769889950752,0.08289336813613772,1.7379474679629008,82.23,-0.01,81.97,-0.11,0.3119622760826698,847,1008,42.0,10752,344064
2.4259968,-0.029708098866976798,0.0648297,0.0650848764553666,0.08332481073836485,1.7380116740862528,82.37,0.31,78.58,0.09,0.3405854432893025,849,1032,43.0,11008,352256
2.4536955,-0.030828462289646266,0.15545398,0.06470404405146837,0.08404729229708513,1.7381368239720663,76.3,0.01,80.87,0.29,0.36543459573388026,848,1056,44.0,11264,360448
