average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080498,-0.0007425083022098988,0.039268143,0.36955853054920834,-1.7530864,-2.746988,-0.00043027282702445824,24,256,8192
2.7070732,-0.0009600575867807493,-0.14745986,0.26695371108750504,-1.92,-2.42,0.0028666253830631483,48,512,16384
2.7000523,-0.0011296350696486318,-0.2934209,0.2497694322632419,-3.04,-2.1,0.018374065971427433,72,768,24576
2.6874986,-0.001494914121091521,-0.4395204,0.22705151187255979,-2.04,-2.88,0.03196268816652481,96,1024,32768
2.6925755,-0.002671772548928857,-0.44982752,0.18004843547940255,-2.52,-2.83,0.06596105580843159,120,1280,40960
2.6892574,-0.002119096708483994,-0.42550054,0.17811932682991027,-2.54,-2.92,0.11295608166907645,144,1536,49152
2.6917706,-0.0013404298201203347,-0.54035276,0.16700230062007904,-2.13,-2.8,0.21403774032298484,168,1792,57344
2.6887002,-0.0018919238075613975,-0.5005493,0.15447855427861212,-1.8,-1.98,0.35559961877466606,192,2048,65536
2.6833022,-0.0019946749042719604,-0.51877487,0.14384230807423593,-2.02,-1.48,0.37947229611316147,216,2304,73728
2.6791205,-0.004331948570907116,-0.472922,0.12826964899897575,-1.92,-2.69,0.47579014111250106,240,2560,81920
2.6852038,-0.005223978911526501,-0.3295753,0.10856106378138065,-1.3,-2.66,0.4115688760437437,264,2816,90112
2.6604486,-0.007190579040907323,-0.41268232,0.10754080399870873,-1.8,-3.15,0.43605882838116206,288,3072,98304
2.6601326,-0.008100085714831949,-0.4152124,0.10390988357365132,-1.6,-1.5,0.46131440019301817,312,3328,106496
2.6494658,-0.00905307131819427,-0.34658515,0.10016200885176658,-1.55,-1.92,0.39379537121048913,336,3584,114688
2.6282082,-0.009862212277948857,-0.29904073,0.10287434808909893,-1.7,-1.24,0.4661413127673657,360,3840,122880
2.6162126,-0.011252379203215241,-0.25529072,0.09141565468162298,-0.8,-1.7,0.4982034059015057,384,4096,131072
2.6258168,-0.012205264903604985,-0.21375132,0.09239174444228411,-1.32,-1.16,0.44236593508515765,408,4352,139264
2.6417198,-0.01415157032199204,-0.30960193,0.09307924870401621,-1.35,-1.36,0.4611462221752507,432,4608,147456
2.634302,-0.013830105769447982,-0.21656537,0.08665770158171654,-0.5,-1.41,0.3858576307449917,456,4864,155648
2.6247926,-0.014833901864476503,-0.1857053,0.08984146021306515,-1.2,-1.13,0.5434623137746623,480,5120,163840
2.616434,-0.015559483584947884,-0.06811933,0.08805323760956525,-1.23,-1.51,0.5296507847923193,504,5376,172032
2.5870428,-0.01695881781168282,0.008717792,0.08867639254778624,-1.02,-0.95,0.496848948877053,528,5632,180224
2.5943418,-0.017827262827195225,-0.10553071,0.08353268314152956,-0.41,-1.32,0.5583635351014498,552,5888,188416
2.6052597,-0.01760050651151687,-0.099597506,0.08538154572248459,-0.43,-0.99,0.4449485779532546,576,6144,196608
2.621563,-0.01762654694262892,-0.082546495,0.08337955616414547,-0.62,-0.99,0.4501372123794718,600,6400,204800
2.583397,-0.018749809898436068,-0.13996199,0.07723445743322373,-0.64,-1.29,0.43602250758416317,624,6656,212992
2.5743544,-0.018833592776209118,-0.14988947,0.07892760224640369,-0.59,-0.81,0.5383290920288234,648,6912,221184
2.5449698,-0.020567079903557897,-0.109153196,0.07360999383032323,-0.41,-0.48,0.5517073178979204,672,7168,229376
2.5622735,-0.021999551653862,-0.15514417,0.07043197777122259,-0.47,-0.27,0.5197194698355674,696,7424,237568
2.588609,-0.0235995252430439,-0.08228428,0.06528562147170305,0.23,-0.43,0.38707752691884256,720,7680,245760
2.537134,-0.023592072511091827,-0.098139025,0.06459665141999721,-0.14,-0.33,0.5171880355229026,744,7936,253952
2.517812,-0.024046530318446457,0.07535364,0.0641231545805931,0.17,0.17,0.5306323847252197,768,8192,262144
2.5267718,-0.024444051873870193,0.16176395,0.05959626253694296,0.48,-0.51,0.5554650244840504,792,8448,270336
2.4899926,-0.024803426060825588,0.08541921,0.05976261578500271,0.63,0.26,0.5059408417575287,816,8704,278528
