average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer9,avg_frob_kernel_layer9,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0005500094848684967,0.049089026,0.33869998219112557,0.004027649975402407,1.731206512451172,78.24175824175825,-2.8021977,79.04761904761905,-2.857143,-0.0005733388096686998,832,24,1.0,256,8192
2.7075863,-0.0005345766840036958,-0.15130927,0.2626750264316797,0.004284960998908597,1.7311448514461518,85.41,-2.3,85.3,-2.56,0.0008231288940468984,846,48,2.0,512,16384
2.7032392,-0.0010720814914546078,-0.33901352,0.23704400430950853,0.004302048454322479,1.7311404248078663,82.96,-2.16,79.28,-2.29,0.003906255134941139,846,72,3.0,768,24576
2.6887486,-0.001055943716589051,-0.46414012,0.21123520455633601,0.004373845643325088,1.731141781806946,86.7,-2.66,82.06,-2.37,0.029363550849473397,845,96,4.0,1024,32768
2.6966393,-0.0014437966793775557,-0.4654759,0.17095044419169425,0.004992673683833952,1.7311354358990987,87.25,-2.22,82.07,-2.13,0.17610528665707337,843,120,5.0,1280,40960
2.6816182,-0.0028074498614296317,-0.47507656,0.14999573796987534,0.006289943631660814,1.7308544278144837,78.14,-2.3,80.18,-2.51,0.2452129762196027,843,144,6.0,1536,49152
2.6712167,-0.002646573097445071,-0.54014224,0.1413739201426506,0.00802437485738968,1.730873554944992,84.01,-2.68,79.31,-2.34,0.35083259154097546,843,168,7.0,1792,57344
2.6648383,-0.004506564321927726,-0.50954133,0.13073233246803284,0.009580546543778231,1.7308382987976074,79.27,-1.61,76.06,-1.42,0.42656471399112494,835,192,8.0,2048,65536
2.6440005,-0.00404108258895576,-0.5790727,0.11500920094549656,0.011426911716504643,1.7310605625311533,80.95,-1.63,76.52,-2.36,0.5209118377706141,844,216,9.0,2304,73728
2.626416,-0.0050426102476194504,-0.5547526,0.10155266769230366,0.013441926954934994,1.73137499888738,81.71,-1.16,79.16,-1.93,0.6011518327190666,844,240,10.0,2560,81920
2.627268,-0.005234116800129414,-0.43974072,0.08579367645084858,0.01622040510798494,1.7319220066070558,76.78,-1.42,78.13,-1.69,0.5773729453803971,845,264,11.0,2816,90112
2.6004322,-0.005489745177328587,-0.41255847,0.07815694630146026,0.019109765665295222,1.732295242945353,78.05,-1.65,75.63,-0.92,0.6355377289937085,844,288,12.0,3072,98304
2.5942216,-0.00599568794015795,-0.32007825,0.07099703546613455,0.021232524964337546,1.7323408822218578,76.6,-1.02,77.61,-1.78,0.6474466122965918,844,312,13.0,3328,106496
2.5323162,-0.005585055011324585,-0.34702685,0.07059372495859861,0.023259885516017674,1.7320671995480856,75.87,-1.71,75.79,-1.23,0.80210318992307,845,336,14.0,3584,114688
2.5116022,-0.006311780484393239,-0.29929283,0.06484403777867556,0.025028539821505547,1.7321699539820352,76.64,-1.45,77.68,-1.82,0.814608711446233,836,360,15.0,3840,122880
2.50939,-0.007310300818644464,-0.33861655,0.05603665996342897,0.026535840410118302,1.7323643147945404,76.36,-0.91,74.97,-1.11,0.781084176809169,844,384,16.0,4096,131072
2.507069,-0.0077132512582466,-0.412397,0.056036598309874536,0.026924043412630758,1.73205419977506,73.45,-0.63,75.29,-1.8,0.7528089719495578,843,408,17.0,4352,139264
2.4815853,-0.007845097905956208,-0.27381074,0.04797755051404238,0.027846599013234177,1.7321029583613077,75.69,-0.97,70.89,-1.14,0.8066622608216076,844,432,18.0,4608,147456
2.5082066,-0.008931978563778102,-0.20032889,0.046176382042467594,0.028408443694934248,1.7323454717795055,72.77,-0.57,74.54,-1.66,0.6917277223998318,844,456,19.0,4864,155648
2.4776454,-0.009180568102747201,-0.26423773,0.04603351719677448,0.029146668858205278,1.7323864599068959,73.59,-0.57,77.36,-1.08,0.7692303884365401,845,480,20.0,5120,163840
2.5103617,-0.009039845308288932,-0.10510012,0.04570857454091311,0.029389077999318638,1.7323852201302847,75.17,-1.08,76.52,-1.03,0.6774129516130938,844,504,21.0,5376,172032
2.5124032,-0.010637901942245662,-0.06665349,0.04669221397489309,0.029331944913913808,1.732229858636856,76.45,-0.75,78.31,-0.78,0.7093643282550548,843,528,22.0,5632,180224
2.4876826,-0.011059825913980604,-0.07679328,0.04622503988444805,0.030717479437589644,1.732531342903773,76.34,-1.04,72.0,-1.4,0.7931950821661482,835,552,23.0,5888,188416
2.4671073,-0.012769109751097858,-0.13220698,0.050887960828840735,0.03224372202530503,1.7323508183161418,73.02,-1.19,75.56,-0.78,0.7321293154288588,843,576,24.0,6144,196608
2.475578,-0.013809499989729374,-0.1834927,0.04865087956190109,0.033171721377099554,1.7320277631282806,75.81,-0.74,73.87,-0.77,0.7820221153260406,844,600,25.0,6400,204800
2.4441507,-0.014620050706434995,-0.198645,0.05067278403788805,0.03334028714646896,1.7322230517864228,75.73,-0.96,75.19,-0.96,0.7672803825663105,845,624,26.0,6656,212992
2.4630764,-0.014356114796828478,-0.12589982,0.050971070639789104,0.03451825203374028,1.7321731547514598,79.31,-0.67,74.45,-0.82,0.8115794221314618,844,648,27.0,6912,221184
2.3698876,-0.01361094760010019,-0.27181947,0.05091484401375055,0.035630429768934845,1.7322010040283202,75.77,-1.02,75.72,-0.81,0.8200840959818744,843,672,28.0,7168,229376
2.400635,-0.015250264289788902,-0.1936001,0.050691194273531436,0.035934403212741016,1.7322904765605927,77.03,-0.59,75.35,-0.97,0.7747644252154331,842,696,29.0,7424,237568
2.376962,-0.014116773726418614,-0.16796796,0.04925232570618391,0.03603713147652646,1.7322599947452546,73.54,-0.6,76.34,-0.54,0.8087940064195687,835,720,30.0,7680,245760
2.4068377,-0.01406529622618109,-0.23704661,0.04799669425934553,0.03610733210419615,1.73229927221934,78.22,-0.39,82.4,-0.82,0.829957786398059,844,744,31.0,7936,253952
2.3559515,-0.014515962800942361,-0.12828723,0.04643373508006334,0.036511944296459355,1.7323560297489167,81.42,-0.47,78.85,-0.54,0.7596934664042603,843,768,32.0,8192,262144
2.3798616,-0.01479669316438958,-0.105084755,0.04790421094745398,0.037503327305118246,1.7326800604661305,78.51,-0.5,75.59,-0.47,0.7126017648392798,845,792,33.0,8448,270336
2.4199448,-0.016162991437595337,0.013623349,0.048225457668304446,0.03927757687245806,1.732756769657135,75.77,-0.63,82.9,-0.87,0.7169502160523803,843,816,34.0,8704,278528
2.4039345,-0.01675001755123958,-0.1288204,0.047458690535277126,0.041107626538723706,1.7333170890808105,79.16,0.03,78.83,-0.48,0.7748046853772281,844,840,35.0,8960,286720
2.4247189,-0.017011917892377822,-0.113480285,0.046791573446244,0.04210755992680788,1.7334027588367462,76.29,-0.18,80.11,-0.61,0.7564157293756456,842,864,36.0,9216,294912
2.415374,-0.017374041215516625,-0.019857435,0.0445815391279757,0.042678839930643635,1.7331612845261892,78.36,-0.41,76.92,-0.64,0.7640806094409615,833,888,37.0,9472,303104
2.4337325,-0.01712425593752414,-0.06119542,0.04161284176632762,0.04359807561462124,1.733408800760905,77.75,-0.1,83.82,-0.13,0.7236209923212024,845,912,38.0,9728,311296
2.3417442,-0.017012994745746256,-0.19053566,0.04141297372058034,0.04428678362940749,1.7332481900850931,80.84,0.0,81.49,-0.23,0.6089131775853946,846,936,39.0,9984,319488
2.391653,-0.017158715217374266,-0.16719832,0.04715529788285494,0.04556253006060918,1.7330681840578714,79.18,-0.24,80.28,-0.17,0.5990136790392666,845,960,40.0,10240,327680
2.4321067,-0.01761958603747189,0.031187966,0.04896173767745495,0.04665600188697378,1.7330514589945476,82.5,-0.45,81.46,-0.69,0.6933717691769077,844,984,41.0,10496,335872
2.4599814,-0.018222239315509797,0.09015583,0.05149658115580678,0.04780496647581458,1.732857875029246,83.42,-0.36,79.24,-0.09,0.7723129817434123,843,1008,42.0,10752,344064
2.437539,-0.019657535119913517,0.0025973206,0.054023972190916536,0.04952223071207603,1.7331915934880575,77.0,-0.2,75.35,-0.05,0.7173961038685723,845,1032,43.0,11008,352256
2.4608822,-0.019045363664627075,0.050563272,0.0506152630597353,0.05166953066363931,1.7331141412258149,82.53,-0.09,77.49,0.1,0.6284338058430111,844,1056,44.0,11264,360448
2.401312,-0.020519174453802407,0.0016280632,0.04703641200438142,0.05159812771404783,1.733410249153773,83.65,0.08,80.94,-0.12,0.6669713004329761,843,1080,45.0,11520,368640
2.4277954,-0.018997487435117363,0.013341644,0.04903992785140872,0.05186509486908714,1.7340941071510314,76.71,-0.17,80.09,0.07,0.48124206931012237,835,1104,46.0,11776,376832
2.3664799,-0.018223590231500567,0.103629224,0.04937358109280467,0.052780976177503665,1.7343222498893738,79.17,0.19,82.23,-0.2,0.5116430478885814,845,1128,47.0,12032,385024
2.397439,-0.018913407190702856,0.024129566,0.04616482593119144,0.05329414013152321,1.734350041548411,78.72,0.27,78.71,0.11,0.7392960774170034,844,1152,48.0,12288,393216
2.4153898,-0.019071755954064427,0.12377031,0.04562917977571487,0.053770754703631005,1.734421306848526,82.38,0.16,85.22,-0.24,0.6710207681259334,845,1176,49.0,12544,401408
2.3613873,-0.018836403260938824,0.14429224,0.04130263775587082,0.0555732569967707,1.7347682972749074,79.37,0.53,70.51,0.14,0.6301658460966195,845,1200,50.0,12800,409600
2.388918,-0.018265405246056618,0.079631396,0.040456886179745195,0.055963530639807385,1.7346530874570212,79.33,0.06,75.7,0.08,0.6591730056147488,844,1224,51.0,13056,417792
2.3044608,-0.019503243586514146,0.23916714,0.04263784321025014,0.056796288955956696,1.7347746948401133,82.25,0.48,77.98,-0.07,0.5915537422943316,844,1248,52.0,13312,425984
2.3420448,-0.01950295627815649,0.21559854,0.042217885348945855,0.057420287591715656,1.7346430758635203,83.8,0.5,80.25,-0.01,0.7643536625273903,837,1272,53.0,13568,434176
2.340169,-0.019973884492646903,0.14962481,0.04431118804961443,0.05866568218916655,1.7343512336413065,79.29,0.18,78.69,0.07,0.6616591148713924,846,1296,54.0,13824,442368
2.2406425,-0.020417535624001174,0.31770098,0.04414044708013534,0.06066986679409941,1.7349807103474935,82.13,0.54,79.54,-0.32,0.5944124934767386,845,1320,55.0,14080,450560
2.3284528,-0.02048668381292373,0.25573084,0.048275680877268315,0.06176765669758121,1.7350011388460795,82.55,0.37,88.15,0.37,0.5422040281588218,846,1344,56.0,14336,458752
2.337227,-0.01945323932915926,0.32101646,0.0520797011628747,0.06277028685435652,1.7348377724488577,85.5,0.6,90.11,0.7,0.686028084054594,845,1368,57.0,14592,466944
2.3500552,-0.020470677851699294,0.26975736,0.057039336040616034,0.06407784384985765,1.7340794841448466,80.05,0.23,86.02,0.68,0.575437021428933,846,1392,58.0,14848,475136
2.335604,-0.021862056141253562,0.20849787,0.059473414123058316,0.06488566780462861,1.7338543772697448,87.39,0.24,84.68,0.52,0.6850376374272819,846,1416,59.0,15104,483328
2.2719564,-0.022302290580701083,0.17074762,0.05313626639544964,0.0645205101929605,1.7339207927385967,83.51,0.79,87.97,0.43,0.6011840416093293,846,1440,60.0,15360,491520
2.3167026,-0.022504980403464287,0.26303113,0.052549061328172685,0.0645833226852119,1.733917192618052,87.9,0.33,81.84,0.8,0.741817462404412,836,1464,61.0,15616,499712
2.2662652,-0.022477520813699813,0.25822017,0.047804494351148606,0.06469583107779424,1.7337117552757264,83.6,0.65,87.73,0.74,0.6795519894172406,847,1488,62.0,15872,507904
2.2428818,-0.02057905395049602,0.3819749,0.047992179058492186,0.0643184743821621,1.7334566235542297,88.83,0.93,95.96,0.47,0.6358682490797223,846,1512,63.0,16128,516096
2.2500014,-0.02039444406051189,0.26626354,0.05102464927360415,0.06441232627257705,1.733317490418752,85.99,0.76,86.89,0.63,0.612426455566224,846,1536,64.0,16384,524288
2.2167628,-0.02060426983051002,0.27514258,0.05211169023066759,0.06482568609838685,1.7335710068543753,87.23,1.11,94.97,0.43,0.5924159576752374,843,1560,65.0,16640,532480
2.253082,-0.02027063991408795,0.3427743,0.05124477628618479,0.06510600435237089,1.733539092540741,98.98,1.31,98.46,0.77,0.6268125390461627,845,1584,66.0,16896,540672
