average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080493,-0.000639142196935912,0.102994636,0.29652880566815537,77.1046511627907,-2.7790697,79.28915662650603,-1.8072289,-0.0055753584303690484,831,24,1.0,256,8192
2.70706,-0.001384462588854755,-0.06396488,0.24455721210688353,83.16,-2.71,86.63,-2.77,0.010394510225589793,846,48,2.0,512,16384
2.697846,-0.001337648692747785,-0.2119726,0.21566744997269577,84.35,-3.01,84.47,-2.54,0.010896240980567629,844,72,3.0,768,24576
2.6826646,-0.00141403719317168,-0.33839568,0.20156828655550876,87.64,-2.17,86.14,-2.13,0.020667459230658047,845,96,4.0,1024,32768
2.6618402,-0.001712045995518565,-0.5170181,0.16897594772279262,87.86,-1.88,81.08,-2.03,0.054125932349941674,843,120,5.0,1280,40960
2.6805656,-0.0013962555024772882,-0.56184113,0.14880729146301747,83.15,-1.82,79.78,-1.87,0.17839846614641053,845,144,6.0,1536,49152
2.6805835,-0.0031296621216461065,-0.5025686,0.13533034563064575,80.93,-1.38,81.64,-2.49,0.29881820503252754,843,168,7.0,1792,57344
2.6658008,-0.001973767247982323,-0.4547791,0.1297471983730793,86.45,-2.22,74.68,-1.94,0.3059416373447753,834,192,8.0,2048,65536
2.648425,-0.003517263890244067,-0.4749333,0.12496670424938201,80.23,-2.34,77.33,-2.07,0.31377572175550317,845,216,9.0,2304,73728
2.643857,-0.004321515979245305,-0.4092378,0.11649911373853683,79.39,-1.65,77.2,-1.38,0.4417463574604008,842,240,10.0,2560,81920
2.6291142,-0.006070678550750017,-0.42737,0.11064380273222924,76.66,-1.41,74.84,-2.07,0.4656868254299841,844,264,11.0,2816,90112
2.6085773,-0.006938717514276505,-0.25792485,0.09831471804529429,78.35,-1.52,74.68,-1.09,0.4928584216360966,844,288,12.0,3072,98304
2.6163454,-0.00933108551427722,-0.25248802,0.08447838183492422,75.9,-1.35,77.71,-1.8,0.57171252501789,843,312,13.0,3328,106496
2.5629575,-0.010895488457754255,-0.113057084,0.07640782404690981,80.05,-1.14,76.5,-1.58,0.5394774384703647,844,336,14.0,3584,114688
2.5992842,-0.012222794187255203,-0.1945114,0.06981339268386363,79.42,-0.84,74.54,-0.95,0.5261394039058835,834,360,15.0,3840,122880
2.5729897,-0.013247053688392043,-0.1813402,0.07020574264228344,74.38,-1.57,80.96,-1.59,0.5108845331965364,844,384,16.0,4096,131072
2.543517,-0.013734221421182156,-0.14220414,0.07616047937422991,76.66,-1.16,78.55,-0.82,0.4757232122833823,842,408,17.0,4352,139264
2.559828,-0.01573161320760846,-0.1585021,0.07414275959134102,77.15,-0.38,75.12,-1.21,0.552534806939155,838,432,18.0,4608,147456
2.5386062,-0.01601458455901593,-0.17716889,0.0747375176101923,74.48,-0.35,76.05,-1.26,0.4391994273674462,843,456,19.0,4864,155648
2.5602498,-0.01816156569868326,-0.030782286,0.07399374503642321,81.18,-0.82,76.59,-1.19,0.4252235167492785,842,480,20.0,5120,163840
2.4976845,-0.017182912323623897,-0.10813735,0.0685147587954998,77.56,-1.03,77.42,-1.13,0.5125971195908261,843,504,21.0,5376,172032
2.5253916,-0.018186947316862642,-0.0016943505,0.06608425326645374,75.12,-0.34,74.25,-0.68,0.4067878843788093,844,528,22.0,5632,180224
2.4908967,-0.019747354947030546,0.095556,0.06384880114346743,79.54,-0.67,79.08,-1.25,0.39510946385267476,834,552,23.0,5888,188416
2.4935298,-0.01943999041803181,0.04899522,0.06368144895881414,77.72,-0.86,75.2,-0.85,0.5057263117460196,842,576,24.0,6144,196608
2.449768,-0.02038408669643104,0.026881319,0.06720345105975867,79.35,-0.55,80.22,-0.53,0.44527445574099866,845,600,25.0,6400,204800
2.4655437,-0.021866117152385414,0.030226942,0.06375939428806304,75.1,-0.07,77.42,-0.94,0.505341173298173,843,624,26.0,6656,212992
2.4685256,-0.02222267584875226,-0.07316851,0.06762288626283407,78.24,-0.39,73.47,-0.54,0.5061516209762598,844,648,27.0,6912,221184
2.4617069,-0.022096698982641102,0.03521966,0.06900728013366461,75.23,-0.72,75.35,-0.77,0.5203024970765245,842,672,28.0,7168,229376
2.4874501,-0.02175742881372571,0.047253016,0.06092590719461441,77.79,0.06,74.87,-0.65,0.4557825841824964,846,696,29.0,7424,237568
2.4732988,-0.020936413519084453,0.0530581,0.06058310128748417,78.29,0.15,79.0,-0.24,0.40384154107072434,837,720,30.0,7680,245760
2.5074296,-0.02173721387051046,0.079839505,0.06190060336142778,82.05,-0.77,75.85,-0.67,0.46453638680885534,844,744,31.0,7936,253952
2.436963,-0.021769658522680403,-0.050583415,0.05611227590590715,79.84,0.1,79.83,-0.05,0.44084381732545685,845,768,32.0,8192,262144
2.337111,-0.02266064261086285,-0.11562475,0.05826855421066284,80.31,-0.32,79.91,-0.23,0.43659821669738474,844,792,33.0,8448,270336
2.4225926,-0.024807848585769534,-0.0671227,0.0621560649573803,76.15,-0.41,79.23,-0.18,0.3941329362543806,845,816,34.0,8704,278528
2.3923123,-0.025939860097132623,0.05372241,0.05876068878918886,77.68,0.02,76.2,-0.37,0.4648710707256868,844,840,35.0,8960,286720
2.4090347,-0.026426019431091845,0.12767385,0.05803131613880396,79.36,0.38,84.61,0.21,0.2756414762480127,845,864,36.0,9216,294912
2.369287,-0.02550792690832168,0.112209715,0.0525343563593924,77.52,0.46,83.81,-0.16,0.36038294118486547,836,888,37.0,9472,303104
2.4287646,-0.023732730774208902,0.1838466,0.05353868620470166,81.06,0.3,78.92,-0.07,0.3862862725328382,845,912,38.0,9728,311296
2.4501762,-0.02300973185803741,0.1950498,0.055321313608437776,83.24,0.21,84.64,0.1,0.44801528874145946,845,936,39.0,9984,319488
2.4651792,-0.022476481841877102,0.15495507,0.060480308141559365,79.53,-0.03,84.97,-0.4,0.42775696804680363,846,960,40.0,10240,327680
2.4745963,-0.02278983987867832,0.14749524,0.06322474762797356,79.85,0.6,78.75,0.09,0.4806488751949416,844,984,41.0,10496,335872
2.4644225,-0.023790182499215006,0.18406439,0.05952683858573437,79.53,0.66,78.19,-0.26,0.3890749266744613,844,1008,42.0,10752,344064
2.430915,-0.026166822402738033,0.05679104,0.0561640990152955,79.11,0.57,77.29,-0.4,0.5390611604357491,847,1032,43.0,11008,352256
2.4636796,-0.02686897220555693,0.26041883,0.049611235298216344,76.01,0.53,82.48,0.2,0.3604485891748146,847,1056,44.0,11264,360448
2.4572284,-0.02769981772173196,0.19690427,0.05197082035243511,77.07,0.41,82.22,0.58,0.38194573907990226,845,1080,45.0,11520,368640
2.4638958,-0.029049242218025028,0.21585992,0.056349411830306055,76.81,0.42,79.09,0.44,0.4462047651206854,837,1104,46.0,11776,376832
2.4553814,-0.027714741136878728,0.21149069,0.05406362034380436,82.22,1.21,82.07,0.51,0.46934023251024237,844,1128,47.0,12032,385024
2.4601762,-0.029502377535682172,0.24240741,0.05386849649250507,81.7,0.68,79.25,0.39,0.44723546700336403,846,1152,48.0,12288,393216
2.414174,-0.028999189350288362,0.24152705,0.05481081336736679,79.76,0.8,80.42,0.56,0.43673568118019046,847,1176,49.0,12544,401408
2.4220176,-0.028187134077306837,0.25217202,0.05140169478952885,86.05,0.75,79.87,0.6,0.49756299046102326,846,1200,50.0,12800,409600
2.4264245,-0.02745753760682419,0.2915876,0.05914093691855669,85.35,0.4,84.76,0.12,0.5148277838119046,846,1224,51.0,13056,417792
2.4138608,-0.028306883485056458,0.35736936,0.06542283695191145,86.71,0.7,87.2,0.74,0.5577975944005116,843,1248,52.0,13312,425984
2.376211,-0.02877318292390555,0.39244744,0.06683869138360024,84.25,0.79,85.82,0.72,0.5338774922176002,838,1272,53.0,13568,434176
2.391,-0.028868329236283897,0.4526859,0.06816706597805024,83.22,0.89,84.45,1.01,0.5746465789541995,845,1296,54.0,13824,442368
2.3841674,-0.029599773800000548,0.5097608,0.0640405497327447,83.16,1.34,87.26,0.69,0.5941327280879822,845,1320,55.0,14080,450560
2.3528628,-0.030607986096292734,0.42529327,0.06325327187776565,85.9,1.11,86.58,0.79,0.6176618278134168,848,1344,56.0,14336,458752
2.3297539,-0.030410133814439178,0.44383514,0.06104243114590645,92.36,1.19,80.94,0.7,0.5905392148437539,845,1368,57.0,14592,466944
2.3295925,-0.03142203710507602,0.5786564,0.06388586219400168,92.47,1.43,89.84,0.76,0.6047504466795939,846,1392,58.0,14848,475136
2.3386397,-0.030847955816425382,0.53509206,0.0695336826518178,87.15,1.55,87.06,0.63,0.604721106293304,845,1416,59.0,15104,483328
2.3214536,-0.03151609709952027,0.46289667,0.07180888906121254,90.4,0.97,95.94,0.9,0.5575632696303462,848,1440,60.0,15360,491520
2.3062203,-0.0321062381984666,0.620677,0.07572225801646709,91.4,1.24,84.8,0.66,0.6052700547110729,837,1464,61.0,15616,499712
2.2880952,-0.0338315417803824,0.5916988,0.07374528311192989,88.93,1.52,90.52,1.6,0.6716008320637599,846,1488,62.0,15872,507904
2.303649,-0.03241188990883529,0.6343382,0.0736777750402689,85.25,1.4,93.67,0.95,0.6914129878150657,843,1512,63.0,16128,516096
2.2373536,-0.0314207802247256,0.5450565,0.06818409416824579,91.85,1.55,98.63,1.57,0.7021319924681257,846,1536,64.0,16384,524288
2.2786167,-0.030055109467357396,0.5604652,0.06755609717220068,89.19,1.75,96.99,1.35,0.6577144486290026,846,1560,65.0,16640,532480
2.206521,-0.029237644569948314,0.7650793,0.06978403743356466,100.5,1.91,104.02,1.39,0.6468865407015341,846,1584,66.0,16896,540672
2.2420723,-0.02985548780299723,0.82913536,0.06852338906377554,93.79,1.62,107.11,1.69,0.6781132940965822,845,1608,67.0,17152,548864
2.2527316,-0.031086885812692346,0.71619433,0.06689009971916676,91.75,1.92,112.23,2.34,0.7554036726707032,846,1632,68.0,17408,557056
2.218601,-0.031563381352461874,0.8451975,0.06663068428635598,97.89,1.97,111.84,2.08,0.6806573785660306,839,1656,69.0,17664,565248
2.1594665,-0.030318784434348343,0.7980527,0.07593000058084726,114.22,2.41,119.2,2.05,0.6135879215659372,848,1680,70.0,17920,573440
2.2421107,-0.029201452522538602,0.54842484,0.07839450512081385,118.68,2.21,118.52,2.04,0.6102093901897654,847,1704,71.0,18176,581632
2.1478887,-0.0292655539419502,0.8656011,0.0803008483722806,118.42,2.39,128.06,2.36,0.6839920888156308,847,1728,72.0,18432,589824
2.1716397,-0.025776362484320997,0.9582747,0.10136261381208897,126.27,2.68,130.7,2.52,0.5260204456215218,848,1752,73.0,18688,598016
2.137004,-0.02474967880640179,1.0056795,0.11683559134602546,125.79,2.69,134.47,2.82,0.5843860692924945,847,1776,74.0,18944,606208
2.1530151,-0.02591842911206186,1.0676794,0.11407180938869715,126.36,2.31,133.66,2.74,0.7463292714297073,846,1800,75.0,19200,614400
2.1761951,-0.02783690586220473,1.1009172,0.11593242194503546,141.8,2.74,128.36,2.43,0.7065122668415798,838,1824,76.0,19456,622592
2.1665697,-0.02634641982614994,0.86383206,0.1102540197595954,151.14,3.06,136.88,2.87,0.6757881300489954,848,1848,77.0,19712,630784
