average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080498,-0.0005456974807505807,-0.04844889,0.3360525028159221,-1.8390805,-1.8617021,1.8897192773925653e-05,24,256,8192
2.707325,-0.0009954876829093944,-0.23579518,0.2624783404171467,-2.31,-2.66,0.004153549702527348,48,512,16384
2.6992812,-0.0009043959758451416,-0.357008,0.21529721013373798,-1.34,-2.48,0.027881919247612408,72,768,24576
2.7010362,-0.001213087365613319,-0.3625461,0.19955528201535344,-1.75,-1.55,0.13077978971107695,96,1024,32768
2.7038393,-0.0014939477620646358,-0.3447797,0.1604998902976513,-2.22,-2.77,0.2018750028774291,120,1280,40960
2.698162,-0.003032842641696334,-0.29343438,0.1454105420410633,-2.11,-2.57,0.2218168496190207,144,1536,49152
2.684452,-0.0038545423652976752,-0.47220173,0.14040084145963191,-1.1,-2.0,0.29589340311934076,168,1792,57344
2.6773553,-0.004618309708312154,-0.50069463,0.1340136459469795,-1.72,-1.7,0.4224378144204295,192,2048,65536
2.6813984,-0.006474322327412665,-0.32157508,0.1228391795605421,-1.43,-1.84,0.3802411707001436,216,2304,73728
2.665086,-0.006894690678454936,-0.31634632,0.12248722448945046,-1.96,-1.46,0.3516552048046844,240,2560,81920
2.6575313,-0.0079716015746817,-0.42990524,0.12161782875657082,-1.19,-1.29,0.47969636301895713,264,2816,90112
2.6394038,-0.01019931917078793,-0.37208137,0.11454031094908715,-1.04,-1.62,0.49513752151004276,288,3072,98304
2.628986,-0.011038422379642724,-0.22286628,0.10983272112905978,-0.93,-1.04,0.4732479802944468,312,3328,106496
2.6021357,-0.012265348136425018,-0.18656495,0.09394009504467249,-1.02,-1.52,0.5795386542688686,336,3584,114688
2.614392,-0.012364490269683302,-0.16123791,0.08205691680312156,-0.89,-0.8,0.5395716950959357,360,3840,122880
2.612683,-0.013449384914711118,-0.064789064,0.07866020776331424,-0.84,-0.98,0.477306435183284,384,4096,131072
2.5919356,-0.0136054512206465,-0.16576059,0.08292774118483066,-1.19,-1.23,0.537825057917817,408,4352,139264
2.5967424,-0.014322118582203985,-0.13222487,0.08013067219406367,-0.66,-0.93,0.6078845792231752,432,4608,147456
2.5797124,-0.01379487443715334,-0.32878187,0.08290337316691876,-1.03,-1.09,0.597534291278701,456,4864,155648
2.5498989,-0.0143759390944615,-0.31287163,0.07970517881214619,-0.36,-0.74,0.579808779258488,480,5120,163840
2.5359147,-0.015841755880974234,-0.2897097,0.0752804309874773,-0.64,-0.99,0.607406289674106,504,5376,172032
2.4971998,-0.016201234366744758,-0.24175793,0.07629692450165748,-0.66,-0.98,0.6206198929543056,528,5632,180224
2.5098383,-0.0171736263576895,-0.25969243,0.08287424214184284,-0.9,-0.09,0.4899803551472437,552,5888,188416
2.463608,-0.01830064509063959,-0.15397857,0.09203578535467387,-0.7,-0.62,0.5287203981774854,576,6144,196608
2.4871526,-0.017811414510942994,-0.104477674,0.09265137039124965,-0.56,-0.44,0.5623068524467759,600,6400,204800
2.4926534,-0.01860521201044321,-0.12610953,0.09021146170794964,-0.14,-0.26,0.5140289509170757,624,6656,212992
2.480749,-0.01873930633533746,-0.06613719,0.08667546737939119,-0.59,-0.75,0.5853631978711586,648,6912,221184
2.4987738,-0.020150207383558154,-0.04503984,0.07680968720465899,-0.15,-1.22,0.49487164506701065,672,7168,229376
2.5259647,-0.020918571003712715,-0.054887954,0.07094157971441746,-0.03,-1.19,0.5120150687526361,696,7424,237568
2.4959211,-0.02184773520566523,0.02058077,0.07259464811533689,0.09,-0.35,0.4639522727367156,720,7680,245760
2.4806669,-0.02212249314994551,-0.06516821,0.07425198405981064,-0.49,-0.45,0.523103447855229,744,7936,253952
2.4869008,-0.022025925420457497,-0.10665412,0.07861627146601677,-0.06,-0.28,0.5414993583846142,768,8192,262144
2.4791288,-0.0219391780172009,-0.001694613,0.0807105541229248,-0.08,0.21,0.5674093741428727,792,8448,270336
2.4807634,-0.02288944213767536,0.032665607,0.07517553623765708,0.48,0.3,0.49181283160398725,816,8704,278528
2.4532695,-0.021721414937637747,0.1901896,0.07145474053919315,0.02,0.09,0.475550671563741,840,8960,286720
2.4844809,-0.022040715338662267,0.19602454,0.06462482616305351,0.37,-0.58,0.5240630992893966,864,9216,294912
2.4607754,-0.023233899557963015,0.09571641,0.06140737377107144,0.62,-0.14,0.3737624454484415,888,9472,303104
2.4573736,-0.022602100484073163,0.20023523,0.06530740283429623,0.74,0.36,0.4473979421324581,912,9728,311296
2.397726,-0.02339321226347238,0.24426053,0.0618412621691823,0.77,0.3,0.43682794496989463,936,9984,319488
2.4512906,-0.023229129172395915,0.18912628,0.06541580881923437,0.42,0.21,0.3622670122996132,960,10240,327680
2.478641,-0.020091997229028494,0.15796056,0.07242516055703163,0.25,0.39,0.4759163071655502,984,10496,335872
2.47588,-0.02050083884270862,0.115545906,0.07449758555740119,0.47,0.12,0.5128302515084786,1008,10752,344064
2.5210094,-0.021109759078826756,0.20362069,0.07441343910992146,0.34,0.27,0.45006406714895886,1032,11008,352256
2.5387185,-0.02207423564977944,0.18801615,0.07177808120846749,0.44,0.29,0.44271524269969775,1056,11264,360448
2.4949462,-0.023123582056723536,0.17818157,0.06541226372122765,0.72,0.13,0.48584902384513207,1080,11520,368640
2.4946997,-0.02351664072368294,0.14300452,0.06006360735744238,0.98,0.17,0.4784710220911841,1104,11776,376832
2.4947376,-0.024609005977399647,0.23793827,0.0560108595341444,0.9,0.54,0.5294465933440606,1128,12032,385024
2.4941392,-0.02501126002985984,0.17117256,0.054177538491785526,1.51,0.89,0.5809924938484289,1152,12288,393216
2.5062823,-0.025096929338760673,0.24521933,0.05483753636479378,1.09,1.03,0.4921077102900717,1176,12544,401408
2.485252,-0.025295672523789108,0.44024393,0.059174047745764256,0.87,1.02,0.5577553216153588,1200,12800,409600
2.4697108,-0.024795066732913255,0.32226002,0.0639068004488945,1.13,1.01,0.5796439871763687,1224,13056,417792
2.4634557,-0.024720252975821495,0.40387928,0.06365863595157861,1.46,1.32,0.6401941319899755,1248,13312,425984
2.4871588,-0.024655103883706033,0.45302746,0.06542105976492167,1.33,1.01,0.5723448323629112,1272,13568,434176
2.4510713,-0.024760519857518374,0.54901975,0.06262852676212788,1.33,1.54,0.6481642005620656,1296,13824,442368
2.4487216,-0.024722322430461643,0.4841591,0.062389994747936724,1.62,1.42,0.6165879637296436,1320,14080,450560
2.4648173,-0.025568989580497147,0.6079745,0.06688878960907459,1.51,1.86,0.6632237459217177,1344,14336,458752
2.4216654,-0.024934129714965822,0.6569991,0.07024709064513444,1.85,1.46,0.6626560579396519,1368,14592,466944
2.4421496,-0.025028910022228956,0.67761,0.0708683955296874,1.91,1.11,0.7024472434352597,1392,14848,475136
2.409,-0.026618841290473937,0.54589623,0.0697882654517889,2.17,1.55,0.6896392947437376,1416,15104,483328
2.4159467,-0.02688975542783737,0.5552499,0.06490475669503212,2.03,2.01,0.7275656795659433,1440,15360,491520
2.3476067,-0.029228251408785582,0.6448851,0.06546488258987665,1.55,1.31,0.6342294699159567,1464,15616,499712
2.404821,-0.028813522951677443,0.7699902,0.06981274981051683,2.0,1.62,0.729661036136843,1488,15872,507904
2.402465,-0.02843402387574315,0.78722596,0.07357741728425025,1.93,1.76,0.7030665232774846,1512,16128,516096
2.3603892,-0.028701407690532504,0.7237889,0.07604216732084751,2.09,1.4,0.7544907561641597,1536,16384,524288
2.3491924,-0.027271273084916173,0.81008214,0.0782044556736946,1.94,1.61,0.7238615959145119,1560,16640,532480
2.3336825,-0.025394903174601496,0.7617565,0.07836779091507197,2.22,2.21,0.7147620367645264,1584,16896,540672
2.3063438,-0.026347279651090502,0.6516106,0.07746667724102735,2.37,1.88,0.6978607175697854,1608,17152,548864
2.3211703,-0.025182417817413805,0.85498303,0.0863177179172635,1.89,2.31,0.634858279809764,1632,17408,557056
2.3536885,-0.02565858739428222,0.6134867,0.08482638105750084,1.82,2.45,0.725302711494628,1656,17664,565248
