average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080498,-0.00028450728859752417,0.016263954,0.262538764004906,-1.9431819,-3.317647,0.001764886936286958,24,256,8192
2.7077296,-0.0004683646160022666,-0.1627632,0.2185981646180153,-1.55,-2.4,0.0014318825237874533,48,512,16384
2.7051075,-0.0005773171174546911,-0.27626133,0.20385107956826687,-2.13,-2.97,0.0019046258166763863,72,768,24576
2.698069,-0.0011801111443977181,-0.4239021,0.20661571466674408,-2.46,-2.58,0.031647951934788976,96,1024,32768
2.6793292,-0.0018688103975728154,-0.5524949,0.18563175782561303,-2.36,-2.52,0.08031128486083228,120,1280,40960
2.6747084,-0.0019981116754934193,-0.544579,0.18434404328465462,-2.68,-1.86,0.21512539025258381,144,1536,49152
2.6804605,-0.001857507238164544,-0.5613475,0.17343504950404168,-1.82,-2.11,0.28292343364828865,168,1792,57344
2.679376,-0.001813510456122458,-0.63190943,0.15353950671851635,-1.57,-2.26,0.38225007843769665,192,2048,65536
2.673854,-0.0021543829375877976,-0.6287176,0.1468221352249384,-2.44,-2.53,0.30279625781529806,216,2304,73728
2.6669366,-0.003532021907158196,-0.6473522,0.13386245012283327,-1.82,-1.94,0.3806956243373181,240,2560,81920
2.6614265,-0.0047195666306652125,-0.6169362,0.12831632867455484,-1.45,-2.43,0.4711509932910719,264,2816,90112
2.6329162,-0.006304035212378949,-0.66781676,0.12655178345739843,-1.78,-1.41,0.5377761206043403,288,3072,98304
2.619496,-0.006784447852987796,-0.6230428,0.11801239892840386,-1.76,-1.41,0.5658046494532787,312,3328,106496
2.6156507,-0.00858790383907035,-0.5867828,0.1173304844647646,-1.59,-1.77,0.49984439240833634,336,3584,114688
2.605664,-0.009004994435235858,-0.5877356,0.11066371791064739,-1.12,-1.5,0.5101451503137222,360,3840,122880
2.5996904,-0.01091667814180255,-0.60639405,0.10677376471459865,-1.51,-1.56,0.5811567821149521,384,4096,131072
2.5622554,-0.01186609594617039,-0.6639453,0.10100351460278034,-1.87,-2.28,0.6101407254039692,408,4352,139264
2.5823393,-0.012682916675694288,-0.41529846,0.09227795943617821,-1.42,-1.35,0.6047153424285976,432,4608,147456
2.5688403,-0.012667255206033588,-0.43687776,0.09301874317228793,-0.98,-1.58,0.5136460334897777,456,4864,155648
2.530772,-0.013104722392745316,-0.51524884,0.09056880384683609,-0.87,-1.74,0.5005355023304733,480,5120,163840
2.559417,-0.013995653721503914,-0.34254387,0.08473724562674761,-0.58,-1.43,0.5510823318197395,504,5376,172032
