average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0004205517276811103,-0.030149322,0.34225448220968246,84.35365853658537,-2.5853658,78.7764705882353,-2.517647,-0.00052057551989515,872,24,1.0,256,8192
2.707658,-0.00040005545209472376,-0.19198962,0.23331009658674398,77.83,-2.2,84.02,-2.63,0.009361402250861017,871,48,2.0,512,16384
2.7051752,-0.0009689445400403605,-0.3273162,0.20603989271654022,80.32,-2.29,86.75,-2.39,-0.010879998258100043,879,72,3.0,768,24576
2.6954243,-0.0008514875565500309,-0.39223692,0.1991096722582976,82.41,-2.46,81.07,-2.78,0.017671783578047218,877,96,4.0,1024,32768
2.7000484,-0.0006482632970437408,-0.53490746,0.15971388421952726,88.62,-2.8,84.86,-2.67,0.1110159981775245,875,120,5.0,1280,40960
2.7020547,-0.0010840832069516182,-0.4806344,0.15432859949767588,81.18,-2.54,87.21,-2.82,0.22501395687270875,876,144,6.0,1536,49152
2.698868,-0.0018505020951852203,-0.4994187,0.1510152480006218,84.83,-2.43,85.05,-2.88,0.31384629791785335,877,168,7.0,1792,57344
2.687939,-0.0016401903703808784,-0.53858656,0.13486820027232171,83.67,-2.46,87.43,-2.07,0.41878308647216145,875,192,8.0,2048,65536
2.694035,-0.0027202111156657337,-0.43158436,0.12804080814123153,89.13,-1.76,81.36,-2.87,0.42504285997665336,877,216,9.0,2304,73728
2.6807084,-0.004405774008482695,-0.5856345,0.11747377790510655,82.11,-1.56,78.62,-2.06,0.48492016421839457,868,240,10.0,2560,81920
2.673399,-0.0061642725300043825,-0.5793493,0.11395634241402149,79.59,-2.27,84.05,-1.99,0.5402762761764746,871,264,11.0,2816,90112
2.656824,-0.00796601147390902,-0.6553007,0.1130752244591713,82.01,-1.88,78.14,-1.64,0.5792232265304831,873,288,12.0,3072,98304
2.6484482,-0.009778305599465966,-0.5274297,0.10314816839993,85.42,-1.26,87.52,-1.93,0.5636271445602158,877,312,13.0,3328,106496
2.647373,-0.010988815599121153,-0.3827546,0.09881008051335811,79.42,-0.48,86.96,-1.19,0.4537887780038333,877,336,14.0,3584,114688
2.6136925,-0.012550301365554333,-0.36698577,0.08899778366088867,81.43,-1.21,81.35,-0.99,0.567575043810395,874,360,15.0,3840,122880
2.619232,-0.014842325276695191,-0.30409554,0.08254568435251713,78.45,-1.01,77.96,-1.07,0.5571885611573366,878,384,16.0,4096,131072
2.628211,-0.015214264034293592,-0.16048886,0.0811207002401352,81.73,-1.27,77.0,-0.98,0.5149677704025798,867,408,17.0,4352,139264
2.6074135,-0.017552266768179833,-0.212417,0.07766207415610552,81.31,-0.5,76.69,-0.86,0.5406743053747431,877,432,18.0,4608,147456
2.6069264,-0.018731387183070183,-0.19872265,0.07573111087083817,86.03,-1.18,76.47,-0.47,0.5207748486581202,871,456,19.0,4864,155648
2.582161,-0.017832406740635635,-0.14022158,0.07372540216892957,83.2,-0.7,83.45,-1.35,0.5355240714043111,875,480,20.0,5120,163840
2.5506728,-0.019264227226376534,-0.060519554,0.07479036692529917,79.37,-0.98,84.35,-1.1,0.4667839837770228,877,504,21.0,5376,172032
2.5672407,-0.020389328077435494,-0.15427399,0.07800757076591253,79.0,-0.59,80.34,-1.41,0.4447537044057801,876,528,22.0,5632,180224
2.5368643,-0.021275041825138032,-0.01663754,0.0797925328835845,84.35,-0.38,79.57,-1.15,0.40508574621402893,875,552,23.0,5888,188416
2.523648,-0.022432693801820277,0.04592929,0.08242641422897577,78.81,-0.42,82.55,-0.52,0.45553515502866004,867,576,24.0,6144,196608
2.539724,-0.023747300864197313,0.084954455,0.080265853703022,77.63,-0.51,85.36,-1.16,0.4950089422284101,877,600,25.0,6400,204800
2.526261,-0.023733423887751997,0.18735236,0.08345284916460514,82.23,-0.81,80.04,-0.6,0.3239552352429146,872,624,26.0,6656,212992
2.5468984,-0.0239275190141052,0.04840906,0.0832308565825224,83.31,-0.51,80.38,-0.5,0.40937186540632586,877,648,27.0,6912,221184
2.508891,-0.02338523095473647,-0.019555083,0.07752740111202001,83.4,-0.29,74.83,-0.77,0.4426739620465321,876,672,28.0,7168,229376
2.5115697,-0.02426924616098404,-0.036559884,0.07670806802809238,81.46,-0.48,80.99,-1.06,0.4330341714408831,874,696,29.0,7424,237568
2.5083723,-0.024155820244923232,0.0325682,0.06887033049017191,79.39,-0.28,84.26,-0.48,0.42124982354788265,875,720,30.0,7680,245760
2.4909754,-0.025162258315831423,0.08443679,0.06022328209131956,80.61,0.13,81.89,-0.68,0.4031674564252248,877,744,31.0,7936,253952
2.4935184,-0.024966691765002907,0.0065955636,0.06189052164554596,87.44,0.12,76.85,-0.32,0.2812410257708694,867,768,32.0,8192,262144
2.4503138,-0.02645138413179666,-0.085740894,0.06027624491602182,82.4,0.05,84.27,-0.28,0.40593425086132795,873,792,33.0,8448,270336
2.4786074,-0.02650254381354898,0.14427072,0.05743024680763483,83.93,0.02,80.64,0.21,0.31779344524839737,875,816,34.0,8704,278528
2.4740891,-0.02702176184859127,0.14239289,0.06163772527128458,84.04,-0.03,78.2,-0.23,0.3548121689337802,876,840,35.0,8960,286720
2.4657102,-0.02865178693085909,0.101127155,0.058578519262373445,84.73,0.28,84.0,-0.13,0.4439951885706003,874,864,36.0,9216,294912
2.480252,-0.027954953657463193,0.14582005,0.057363654524087905,80.08,-0.04,76.42,0.13,0.289221572374621,874,888,37.0,9472,303104
2.4432313,-0.027914996575564146,0.07901696,0.05906297124922275,84.71,0.18,81.11,0.22,0.41579991434698016,876,912,38.0,9728,311296
2.5065215,-0.028035657573491336,0.030089187,0.06306828372180462,85.6,0.13,82.97,-0.43,0.42164368022612775,867,936,39.0,9984,319488
2.4992998,-0.02686291196383536,0.0050069224,0.06366730015724897,84.37,-0.12,83.21,-0.17,0.44444104479215174,874,960,40.0,10240,327680
2.4599247,-0.028129578027874233,0.1251196,0.060983850955963134,88.27,0.39,82.94,0.11,0.36521969830082557,875,984,41.0,10496,335872
2.4568033,-0.027416444732807577,0.10979288,0.057693434953689574,91.1,0.75,87.56,0.04,0.38153005311236265,877,1008,42.0,10752,344064
