average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer0,avg_frob_kernel_diff_layer1,avg_frob_kernel_diff_layer10,avg_frob_kernel_diff_layer11,avg_frob_kernel_diff_layer12,avg_frob_kernel_diff_layer13,avg_frob_kernel_diff_layer14,avg_frob_kernel_diff_layer2,avg_frob_kernel_diff_layer3,avg_frob_kernel_diff_layer4,avg_frob_kernel_diff_layer5,avg_frob_kernel_diff_layer6,avg_frob_kernel_diff_layer7,avg_frob_kernel_diff_layer8,avg_frob_kernel_diff_layer9,avg_frob_kernel_layer0,avg_frob_kernel_layer1,avg_frob_kernel_layer10,avg_frob_kernel_layer11,avg_frob_kernel_layer12,avg_frob_kernel_layer13,avg_frob_kernel_layer14,avg_frob_kernel_layer2,avg_frob_kernel_layer3,avg_frob_kernel_layer4,avg_frob_kernel_layer5,avg_frob_kernel_layer6,avg_frob_kernel_layer7,avg_frob_kernel_layer8,avg_frob_kernel_layer9,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.70805,-0.0006458467687480152,0.002054657,0.28518954788645107,1.7759340047836303,1.7365873614947,1.73957661986351,1.731408154964447,1.741229885816574,1.732393463452657,1.736033942302068,1.7409413476785025,1.7350118696689605,1.7319874127705892,1.736120084921519,1.7380764504273734,1.7297570526599884,1.732611644268036,1.7370681504408518,0.337548603117466,0.11420873502890269,0.1019675470267733,0.10042923353612423,0.1036931383733948,0.10270432805021604,0.1028025470674038,0.1106018132219712,0.11140548388163249,0.10969543953736623,0.11149448603391647,0.10300464158256849,0.10015066911776861,0.09988031710187593,0.09961043049891789,75.27956989247312,-2.5053763,72.48235294117647,-2.482353,-0.000508126218734084,857,24,1.0,256,8192
2.707314,-0.0008828891635251542,-0.19821571,0.21406658863027891,1.7755279143651326,1.735822848478953,1.7396449784437815,1.7314914286136627,1.741530470053355,1.7327326238155365,1.7361943046251933,1.7410109718640645,1.734574447075526,1.7316234310468037,1.734960961341858,1.738147497177124,1.729703571399053,1.7328232129414876,1.7371462325255076,0.33751678888996445,0.11422964831193289,0.10157627978672584,0.10039191221197447,0.10364794718722502,0.10291521959006786,0.10301710652808348,0.11063371238609156,0.11186050524314245,0.10999900822838148,0.11226258700092634,0.103027572731177,0.10006044283509255,0.09989776400228341,0.09954227413982153,80.8,-2.98,87.21,-3.53,0.0017680758170903754,883,48,2.0,512,16384
2.6998205,-0.0007762844777769513,-0.35115424,0.18037567660212517,1.7757680435975394,1.7347760677337647,1.7391868849595389,1.7312932312488556,1.7415623048941293,1.7328858931859334,1.7362128575642903,1.7413214166959128,1.73373371164004,1.7318859974543253,1.7341239432493845,1.7377478341261545,1.7296703656514485,1.7330345233281454,1.7371565103530884,0.33787335132559143,0.11448351442813873,0.1017066075777014,0.10052112365762393,0.103742665797472,0.10281655093034109,0.10286837940414746,0.11084849971036116,0.1125297716508309,0.11027300631006559,0.11364579324920972,0.10310572907328605,0.1002548735588789,0.10001017525792122,0.09954144892593225,81.07,-1.65,85.47,-2.44,0.018962305338398266,883,72,3.0,768,24576
2.7018716,-0.0008534180669812486,-0.3643227,0.16625790817973515,1.775921219587326,1.7347563982009888,1.7393431186676025,1.7316145956516267,1.7416629195213318,1.7327680865923563,1.7360749204953512,1.7413625717163086,1.7334866543610892,1.7327454884847004,1.7339566508928934,1.737696772813797,1.7296245237191519,1.7329619069894155,1.7372282067934672,0.33837538907925285,0.11458336636424064,0.10259518250823021,0.10075718897084394,0.1041229074820876,0.10254395889739196,0.10298331454396248,0.11128836410741011,0.11291635781526566,0.11046090299884478,0.11529500186443328,0.1032284335543712,0.10070545189082622,0.10005838219076395,0.09968427053342263,85.63,-2.14,80.52,-2.34,0.10594092092736695,884,96,4.0,1024,32768
2.6995008,-0.0011974433017894626,-0.38176936,0.13128590308129787,1.776016116142273,1.7350367645422617,1.7396202544371286,1.7322838187217713,1.7417532444000243,1.7329041957855225,1.736488672097524,1.7410960038503012,1.7333753804365795,1.7331135908762614,1.733635171254476,1.7379154682159423,1.7296601772308349,1.7331278840700786,1.7374435563882191,0.3386373316248258,0.11475597669680913,0.10334785059094428,0.10122089212139447,0.10411855317652226,0.10270692383249601,0.10321440249681473,0.11199886115888755,0.11304695395131906,0.11059191537400087,0.11597728791336219,0.10313502637048562,0.10130787553886572,0.1001845005278786,0.10011144932359457,85.38,-2.3,81.86,-2.39,0.20401322039559588,885,120,5.0,1280,40960
2.6919286,-0.00203758901450783,-0.40622476,0.12624911569058894,1.7757966101169587,1.7351914525032044,1.7388368626435597,1.7327587485313416,1.7421480218569438,1.7327767729759216,1.7367462337017059,1.7409214774767559,1.7332257688045503,1.7333696325620016,1.7335195779800414,1.7381123423576355,1.729994144042333,1.7334612866242727,1.737442805369695,0.33874468902746835,0.1150232491393884,0.103959089020888,0.10128980328639349,0.1043018906066815,0.10314681927363077,0.10400301689902941,0.11251026317477227,0.11331930384039879,0.11082195279498895,0.11617550601561864,0.10329464872678121,0.10148339594403903,0.10051572757462661,0.10038003282000621,81.17,-2.6,80.56,-2.36,0.25684307808491336,883,144,6.0,1536,49152
2.6808493,-0.0030228535318747164,-0.32477558,0.12174238547682763,1.7755296011765798,1.7354103287061056,1.7383478105068206,1.73262992699941,1.7421072006225586,1.732303128639857,1.7366882701714834,1.74123814702034,1.7326509137948354,1.7334920287132263,1.7334622899691263,1.738064044713974,1.730216763416926,1.7332532266775766,1.7378047704696655,0.33882624929149946,0.11548472121357918,0.10435680790493886,0.10201694642504057,0.10484808093557756,0.10368159040808678,0.1046087671071291,0.1130694487442573,0.11353622029225031,0.11108221982916196,0.11671489427487056,0.10357620927194754,0.10193491565684477,0.10082435477524995,0.10076959629853567,82.83,-1.77,86.49,-2.43,0.3679327199123458,881,168,7.0,1792,57344
2.6585903,-0.003507504188455641,-0.53504264,0.1250309234112501,1.7755035042762757,1.7354471365610757,1.7385180016358694,1.732885124286016,1.7419759154319763,1.7323139786720276,1.7365827977657318,1.7413169662157695,1.7322497169176738,1.7332693258921306,1.7339056928952534,1.7382283767064413,1.7302777945995331,1.7332958598931631,1.7383366723855336,0.3390874390800794,0.11581725118060907,0.10489086440453926,0.10259694630901019,0.10578913073986769,0.10432349890470505,0.10554373587171237,0.11379865383108458,0.11391279610494773,0.11126674835880597,0.1175586731483539,0.10379556442300479,0.10246219312151274,0.10135017385085424,0.10135277565568686,76.28,-2.31,81.88,-1.61,0.4292643072545468,873,192,8.0,2048,65536
2.6356442,-0.0038736388087272644,-0.6179381,0.12325505897402764,1.7753239870071411,1.7355802536010743,1.7382553696632386,1.7331961890061696,1.7420612653096517,1.7323425352573394,1.7369279046853383,1.7403175195058187,1.7322575827439626,1.7328409989674887,1.7342165013154347,1.7382320642471314,1.7301314135392507,1.7329975386460623,1.7383828600247702,0.33919812018672624,0.11590689395864805,0.10586289651691913,0.10339574565490087,0.10664759272088607,0.10495685525238514,0.10668896213173866,0.11442094519734383,0.1143765160193046,0.11177006860574086,0.11794318395356337,0.10423359659810862,0.10292157921940089,0.101992150892814,0.10192795942227045,80.19,-1.55,76.35,-1.45,0.5437444443236593,882,216,9.0,2304,73728
2.6287262,-0.003558263750746846,-0.6977965,0.11158999599516392,1.7753880739212036,1.7359662751356761,1.7381120344003043,1.7335281074047089,1.742053496837616,1.7323118984699248,1.7373001416524252,1.7401622454325358,1.7321309288342794,1.732841165860494,1.7343507210413616,1.7385101040204367,1.730429188410441,1.7327315966288248,1.7387555162111918,0.3393964521586895,0.11603032400210699,0.10677371894319852,0.10402593438824018,0.10764379960795244,0.10561024397611618,0.10733864630262056,0.11500066940983136,0.11472547513743242,0.11227193772792816,0.11820903172095616,0.10444585544367631,0.10351892473797003,0.10266624242067338,0.10224579721689224,76.95,-2.22,76.69,-1.98,0.6411505340138846,882,240,10.0,2560,81920
