average_entropy,average_policy_loss,average_value,average_value_loss,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.0004526765163366993,0.0012169669,0.39096346000830334,76.5505617977528,-2.4044943,76.6,-2.3111112,0.004243033907980309,870,24,1.0,256,8192
2.707427,-0.0007792162650730461,-0.17871307,0.28770779507855576,82.48,-2.65,81.24,-1.9,0.03881873424194826,866,48,2.0,512,16384
2.700964,-0.0017381319323451156,-0.29276788,0.26049519723488224,86.15,-2.65,78.55,-2.27,0.052362500986732896,871,72,3.0,768,24576
2.692074,-0.0018441850794867303,-0.33994135,0.23185663390904665,84.26,-2.83,90.04,-1.97,0.17221996161774122,873,96,4.0,1024,32768
2.6846352,-0.0021251007448881863,-0.5824791,0.17236250162124633,84.48,-1.6,81.82,-2.46,0.2830349175397533,872,120,5.0,1280,40960
2.6799355,-0.0031282956106588244,-0.6015831,0.14890055693686008,84.9,-1.62,76.98,-2.63,0.3430136876348383,869,144,6.0,1536,49152
2.6790879,-0.0034745632437989116,-0.5153875,0.13007537335157393,83.91,-1.92,80.52,-2.09,0.4014287734680324,873,168,7.0,1792,57344
2.6725044,-0.0053664811933413145,-0.66349554,0.12024872988462448,87.96,-2.34,83.17,-1.93,0.33727291954983896,872,192,8.0,2048,65536
2.67221,-0.007402892620302737,-0.36827222,0.11501689836382865,81.9,-1.51,78.48,-1.81,0.412158628945442,871,216,9.0,2304,73728
2.6702065,-0.008760027196258307,-0.33971643,0.10403795346617699,78.86,-0.96,81.16,-2.16,0.4619133666898302,859,240,10.0,2560,81920
2.6597018,-0.010368588073179126,-0.37660113,0.09931314170360565,77.22,-1.32,81.14,-1.3,0.42058366644761414,872,264,11.0,2816,90112
2.6474483,-0.013056498016230761,-0.32297656,0.09215677857398986,81.12,-1.55,86.7,-1.48,0.46823781446832746,873,288,12.0,3072,98304
2.6357272,-0.01501697068568319,-0.31852052,0.08522120464593172,80.33,-1.13,76.17,-1.12,0.4634131264862251,869,312,13.0,3328,106496
2.6351352,-0.0169684251351282,-0.32597703,0.08304920624941588,74.67,-1.1,82.35,-1.15,0.540510011787644,872,336,14.0,3584,114688
2.60471,-0.01826987073291093,-0.27400774,0.08864981029182673,77.82,-1.49,83.65,-1.28,0.48335772498318463,871,360,15.0,3840,122880
2.6157014,-0.018128172690048815,-0.24069159,0.09122033681720496,82.7,-1.29,81.8,-1.97,0.40675294438995524,865,384,16.0,4096,131072
2.5964463,-0.019802794912829994,-0.27996752,0.09169608954340219,81.93,-0.86,78.98,-0.75,0.45872308806595163,855,408,17.0,4352,139264
2.6149561,-0.02024538623634726,-0.09724637,0.09055943328887224,79.2,-1.12,79.23,-2.11,0.49977075220321276,872,432,18.0,4608,147456
2.6084135,-0.020996483415365218,-0.14988604,0.08246385086327791,78.94,-0.78,82.04,-0.32,0.46312196684591944,871,456,19.0,4864,155648
2.6000085,-0.022266165621113033,-0.18653359,0.07407585203647614,80.45,-1.25,79.8,-1.05,0.5030458810981844,869,480,20.0,5120,163840
2.59988,-0.023277917623054235,-0.0785937,0.073060292750597,83.17,-0.9,80.97,-0.53,0.42725886686511527,872,504,21.0,5376,172032
2.5734806,-0.024015372844878584,-0.13056973,0.08021028023213148,78.65,-1.1,77.82,-1.02,0.4651538410527951,870,528,22.0,5632,180224
2.5738366,-0.024712376191746443,-0.24808657,0.07969111572951078,84.14,-0.91,77.51,-1.32,0.46117619940450216,870,552,23.0,5888,188416
2.5265005,-0.025176915624178946,-0.18188058,0.08201347604393959,77.22,-0.71,78.66,-0.56,0.4903483191957011,861,576,24.0,6144,196608
2.5647185,-0.026130990209057927,-0.083944455,0.07922625992447138,82.64,-0.55,80.46,-0.89,0.5040127131448288,871,600,25.0,6400,204800
2.526723,-0.026033195336349308,-0.14716747,0.07614616680890322,78.27,-0.38,84.15,-0.85,0.35549010728009667,872,624,26.0,6656,212992
2.5113297,-0.026726396060548722,-0.07670557,0.0748648426681757,82.79,-0.72,80.36,-0.49,0.4607254183458048,871,648,27.0,6912,221184
2.5089893,-0.02793443265836686,-0.08880589,0.07800934590399265,75.83,-0.91,78.8,-0.23,0.42643132658738614,870,672,28.0,7168,229376
2.4622674,-0.02894938413519412,-0.07882684,0.08179655630141497,85.42,-0.6,79.1,-0.09,0.372231914484631,867,696,29.0,7424,237568
2.486078,-0.027723780861124397,0.003999724,0.08090428233146668,79.85,-0.47,78.13,-0.63,0.4702774230527311,872,720,30.0,7680,245760
2.4885752,-0.028118057320825757,-0.06727944,0.07954550601541996,72.88,-0.41,75.61,-0.85,0.4324845361924994,870,744,31.0,7936,253952
2.4429746,-0.028836741750128566,0.041104082,0.08011680573225022,80.92,-0.56,84.46,-0.03,0.38754732344690856,865,768,32.0,8192,262144
2.4689546,-0.02860169776249677,-0.01509831,0.07429621491581201,82.43,0.0,76.13,0.06,0.3653940456669562,871,792,33.0,8448,270336
2.4889205,-0.029438415416516362,0.07761576,0.07306403677910567,82.27,-0.06,83.34,-0.04,0.33265890298564793,871,816,34.0,8704,278528
2.5120304,-0.030071635940112175,0.08010595,0.08041608914732933,82.76,-0.55,79.43,-0.33,0.32300948251044403,872,840,35.0,8960,286720
2.5110946,-0.02993712557014078,0.031013777,0.07217268321663141,80.47,0.1,78.1,-0.14,0.36686945917881164,871,864,36.0,9216,294912
2.471,-0.0297513581905514,0.10602596,0.08045905172824859,81.65,0.01,81.29,0.16,0.34803374140189913,871,888,37.0,9472,303104
2.3954408,-0.029592489665374158,-0.005725016,0.08149121791124343,82.59,-0.54,81.28,-0.35,0.4168251907972783,870,912,38.0,9728,311296
2.4713588,-0.029711302679497748,0.092076205,0.07174028798937798,81.6,0.26,83.35,-0.07,0.3635195107219876,862,936,39.0,9984,319488
2.4711347,-0.03002016966463998,0.20289123,0.072481589615345,83.04,0.4,76.56,-0.37,0.35666116013970084,872,960,40.0,10240,327680
2.4364507,-0.03144824536750093,0.20241034,0.06685579977929593,82.09,0.2,81.78,-0.1,0.3552295234025524,869,984,41.0,10496,335872
2.396544,-0.03304695434169844,0.21453369,0.06494548924267292,75.75,0.18,83.3,0.16,0.3436358457146492,871,1008,42.0,10752,344064
2.4408407,-0.03188408358953893,0.21786036,0.0726999493315816,78.41,0.02,83.58,0.04,0.31974219532342263,873,1032,43.0,11008,352256
2.4684224,-0.0314156889449805,0.23413521,0.06942357454448939,79.74,0.89,77.3,-0.06,0.3356448737349198,871,1056,44.0,11264,360448
2.402935,-0.031467705541290344,0.21580108,0.06793811444193125,81.06,0.63,85.73,0.49,0.41096413986505653,869,1080,45.0,11520,368640
2.3949234,-0.03169179686810821,0.20258413,0.06798608016222715,76.41,0.4,78.24,0.41,0.3457888941435635,864,1104,46.0,11776,376832
2.3668666,-0.03144025100860745,0.2398397,0.06893395032733679,81.35,0.17,81.02,0.39,0.37667082444095656,871,1128,47.0,12032,385024
2.354714,-0.0325352526595816,0.2643644,0.0744158599898219,80.68,0.56,81.55,-0.02,0.35652613326686333,861,1152,48.0,12288,393216
2.3519747,-0.03231974421534687,0.21080148,0.07401499561965466,76.82,0.45,80.1,0.25,0.41428627629457093,871,1176,49.0,12544,401408
2.4082909,-0.03337998585542664,0.27052414,0.07764726646244526,77.59,0.5,79.47,0.37,0.3883979610456392,871,1200,50.0,12800,409600
2.3002687,-0.03382919543189928,0.24669379,0.06742308739572764,81.76,0.64,84.99,0.06,0.5273949995809446,872,1224,51.0,13056,417792
2.3662002,-0.03343766276491806,0.25074884,0.06517302729189396,75.81,0.39,85.63,0.91,0.49752772038789606,870,1248,52.0,13312,425984
2.373875,-0.03445038586156443,0.21027546,0.06266902673989534,81.14,0.92,81.43,0.54,0.43329258270225535,871,1272,53.0,13568,434176
2.332491,-0.033383227810263635,0.29031372,0.05801022209227085,81.32,0.91,81.72,0.54,0.5624494380877967,871,1296,54.0,13824,442368
2.3002243,-0.03271533778402955,0.15422419,0.05980396937578916,82.96,1.04,80.62,0.69,0.47445172854235607,862,1320,55.0,14080,450560
2.2980165,-0.03325892275664955,0.27220744,0.054954279623925684,75.9,1.11,82.97,0.8,0.60441086839957,871,1344,56.0,14336,458752
2.2998395,-0.03270283095538616,0.27161568,0.0586494692787528,83.35,0.93,86.2,0.06,0.46996717702767044,872,1368,57.0,14592,466944
2.286213,-0.03237888547591865,0.15328833,0.06393466021865607,82.56,0.98,80.75,0.86,0.5479544493592456,869,1392,58.0,14848,475136
2.3334193,-0.032561586191877726,0.24902833,0.068141845241189,81.33,0.55,83.51,0.62,0.494491862933635,870,1416,59.0,15104,483328
