average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer9,avg_frob_kernel_layer9,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.00030705961398780346,0.029090961,0.2914509487648805,0.005947853130055592,1.7308984696865082,78.91764705882353,-2.5058823,77.65384615384616,-2.7692308,0.00036027635019497684,874,24,1.0,256,8192
2.7076464,-0.00021507987306298068,-0.17111997,0.21626034316917261,0.006610468204598874,1.7307727773984274,80.62,-2.74,87.98,-2.46,-0.00025799503211421104,886,48,2.0,512,16384
2.7071166,-0.0006419821357768443,-0.25175804,0.19354555383324623,0.006804466259200126,1.7308025101820628,88.04,-2.94,83.7,-2.45,0.006807734401550025,888,72,3.0,768,24576
2.6991968,-0.0008190918597392738,-0.41425103,0.18510753645872077,0.006936943247759094,1.7306793928146362,84.15,-2.88,79.16,-2.52,0.0161310525983549,888,96,4.0,1024,32768
2.6907687,-0.0016508704284206033,-0.50928706,0.15141998022794723,0.0073550683873084685,1.7308556814988454,82.07,-2.17,85.17,-2.75,0.05235998017283128,888,120,5.0,1280,40960
2.6824327,-0.002663666720036417,-0.47715214,0.14176226548850537,0.008170547677824895,1.7312340875466665,81.41,-2.73,86.46,-3.21,0.1520776078952416,883,144,6.0,1536,49152
2.6655743,-0.0016309189493767917,-0.51492286,0.13454500198364258,0.009489407110959292,1.731166801850001,83.65,-2.48,81.15,-2.16,0.2609286377607344,887,168,7.0,1792,57344
2.6723135,-0.003356733904220164,-0.42195264,0.1264248339086771,0.010935568149822454,1.7313568949699403,80.41,-2.69,83.96,-2.23,0.32460593583540787,878,192,8.0,2048,65536
2.6694088,-0.0031747072516009212,-0.3947995,0.11930913284420967,0.012796554885183772,1.7315995236237844,82.93,-2.46,79.95,-1.48,0.3943596541265627,883,216,9.0,2304,73728
2.6751192,-0.003957014614716172,-0.36526793,0.11197268716990948,0.015573789707074563,1.7318650841712953,80.1,-1.94,84.57,-2.15,0.3417110903345706,887,240,10.0,2560,81920
2.6678774,-0.0058671663049608466,-0.38232777,0.10792510613799094,0.018100392702035607,1.7322773476441702,75.31,-2.14,83.13,-1.71,0.44821514884200386,886,264,11.0,2816,90112
2.6597276,-0.005706368773244322,-0.4856946,0.1007732729613781,0.0201021312813585,1.7324328184127809,79.96,-1.78,82.07,-2.11,0.5121547687023364,886,288,12.0,3072,98304
