average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080498,-0.0009941526805050671,0.0074158004,0.2416199017316103,-1.9468085,-2.1954024,2.431687928894366e-05,24,256,8192
2.707065,-0.0008787257926693807,-0.16878946,0.1955183328439792,-2.29,-2.4,0.006976526247305159,48,512,16384
2.7012427,-0.0012716972851194441,-0.2958907,0.17805498859120739,-2.06,-2.51,0.024962651186035245,72,768,24576
2.6935425,-0.0016335649076305951,-0.39492828,0.17119419861895344,-1.6,-1.8,0.1118367946313763,96,1024,32768
2.6795099,-0.0023121132049709558,-0.47048157,0.15327586002647878,-2.39,-2.75,0.19159097269493142,120,1280,40960
2.6705625,-0.0020953138591721654,-0.43699297,0.14503879174590112,-2.25,-1.99,0.31412337611533214,144,1536,49152
2.664076,-0.0018658826733008026,-0.4260415,0.1400812242180109,-1.92,-1.8,0.34409082224943965,168,1792,57344
2.6595078,-0.0016740949032828213,-0.38158032,0.12811509884893893,-1.39,-1.47,0.4066003239391327,192,2048,65536
2.6564476,-0.002402519313618541,-0.46114314,0.12176497705280781,-1.88,-1.49,0.4465736527715748,216,2304,73728
2.6531565,-0.0033559671323746443,-0.4420865,0.11068359762430191,-1.52,-1.72,0.47826585291488555,240,2560,81920
2.6396205,-0.005009924799669534,-0.42264044,0.10205332919955254,-1.0,-2.32,0.4547526431182284,264,2816,90112
2.6500142,-0.004897666603792459,-0.27168933,0.09540910918265581,-1.16,-2.17,0.5053380310373222,288,3072,98304
2.6300335,-0.0067070063832215965,-0.2741883,0.08964360918849706,-1.52,-1.54,0.5130576597867138,312,3328,106496
2.6422179,-0.00903268878115341,-0.17196862,0.0822620464116335,-0.85,-1.62,0.5119392429938819,336,3584,114688
2.6420436,-0.010454091466963291,-0.08638121,0.08679364986717701,-1.35,-1.71,0.4665254470902881,360,3840,122880
2.6156898,-0.01159529753960669,-0.055888273,0.08482481092214585,-0.86,-1.52,0.46447043891725126,384,4096,131072
2.61796,-0.012235149070620536,-0.07613409,0.08092299427837134,-0.74,-1.18,0.4592599532178939,408,4352,139264
2.59181,-0.013311619986779988,-0.23884639,0.08079459119588137,-1.34,-0.54,0.6155967984138397,432,4608,147456
2.5840943,-0.013249441948719323,-0.16013718,0.0730740812793374,-0.89,-1.41,0.5288844207250945,456,4864,155648
2.5599868,-0.012864687396213412,-0.14771643,0.06925777282565831,-0.61,-0.73,0.5599705815940228,480,5120,163840
2.5670054,-0.015480401166714728,-0.1723347,0.06925606504082679,-0.61,-0.81,0.5488714995871211,504,5376,172032
2.560805,-0.015992644149810074,-0.31657636,0.0670624627172947,-0.86,-0.79,0.6224922242911513,528,5632,180224
2.539608,-0.015466294260695576,-0.18202507,0.06935924120247364,-0.52,-1.11,0.5021959394018981,552,5888,188416
2.5456243,-0.01701177852228284,-0.09783386,0.07004620660096407,-0.46,-0.64,0.4168176737051609,576,6144,196608
2.5383081,-0.017804722702130675,-0.04989672,0.06993526309728622,-0.91,-1.1,0.4597387725321256,600,6400,204800
2.5337172,-0.017964104115962984,-0.1430559,0.06896903648972512,-0.57,-0.64,0.5273726759783315,624,6656,212992
2.487414,-0.018435262059792876,-0.17520368,0.06992541413754225,-0.6,-0.43,0.5998740426624162,648,6912,221184
2.493234,-0.018030348410829903,-0.23567322,0.07752566535025834,-0.89,-0.91,0.5459885850327302,672,7168,229376
2.5235612,-0.017755327573977412,-0.021642052,0.0798932784423232,-1.28,-0.48,0.5686291245545765,696,7424,237568
2.5009608,-0.017247365615330638,0.012637398,0.07896379210054874,-0.19,-0.7,0.6563613787115519,720,7680,245760
2.4341745,-0.016598402024246752,-0.0051289024,0.07337049752473832,-0.53,-0.57,0.6092945292587733,744,7936,253952
2.4438956,-0.01722508046310395,-0.08924697,0.0645049947872758,-0.34,-0.12,0.5828238324023953,768,8192,262144
2.4464247,-0.017237071958370508,0.024552658,0.056970471777021886,-0.33,-0.66,0.5814095256158056,792,8448,270336
2.4469664,-0.01906526796054095,-0.044253625,0.05660750426352024,-0.16,-0.65,0.6148355711444088,816,8704,278528
2.422597,-0.020460888175293804,-0.1143987,0.060897160954773426,-0.01,-0.6,0.4980638608225658,840,8960,286720
2.4137995,-0.02159424711484462,-0.033759676,0.059501293152570724,-0.18,0.05,0.6363568607861818,864,9216,294912
2.447249,-0.021240474965889006,0.066577956,0.06375578165054321,-0.14,-0.52,0.5368211112416452,888,9472,303104
2.4628375,-0.022669647934380917,0.049776666,0.0639546587318182,-0.27,-0.85,0.5994160203199737,912,9728,311296
2.4602158,-0.02155187413562089,0.041012406,0.06148918524384499,0.34,-0.37,0.4811710579831797,936,9984,319488
2.4182274,-0.02153505904600024,0.04077934,0.06726289369165897,0.03,-0.22,0.6019492238899746,960,10240,327680
2.4267015,-0.021743005651514977,0.03339012,0.06333061013370753,0.04,0.03,0.609391786290862,984,10496,335872
2.4603505,-0.02194030902115628,0.026232602,0.06144747603684664,0.14,-0.23,0.46311246570238174,1008,10752,344064
2.3909304,-0.022806720174849034,0.06294341,0.06516252163797617,0.31,-0.14,0.46465418755657895,1032,11008,352256
2.4281814,-0.022453127345070243,0.033866413,0.06502643931657076,0.2,0.48,0.42105582761754967,1056,11264,360448
2.4105313,-0.022742478675208986,0.14738469,0.06643232759088277,0.01,0.22,0.5134645920821872,1080,11520,368640
2.394814,-0.02210314521100372,0.18589957,0.06931197434663773,0.23,-0.12,0.5792477779455819,1104,11776,376832
2.4414463,-0.02253551298053935,0.23835509,0.06305827163159847,0.42,0.29,0.5234136051241542,1128,12032,385024
2.41781,-0.023872591916006058,0.24603605,0.05657828465104103,0.14,0.32,0.5637247244501864,1152,12288,393216
2.4335833,-0.024323547033127398,0.21755245,0.05286449782550335,0.32,0.05,0.4422149234888466,1176,12544,401408
2.4175923,-0.023477408380713313,0.12840362,0.048141648694872856,0.32,0.14,0.5303265438262168,1200,12800,409600
2.3883867,-0.02438129225745797,0.19712433,0.04689953289926052,0.62,0.59,0.4958684038932978,1224,13056,417792
2.3567286,-0.023736883329693228,0.22588626,0.04872073881328106,0.59,0.52,0.5597013530000409,1248,13312,425984
2.3473024,-0.022885702515486626,0.2968813,0.047518985830247405,0.72,0.59,0.601429473339683,1272,13568,434176
2.3961225,-0.02294205899583176,0.40844515,0.04644016582518816,0.66,0.44,0.5205788049906281,1296,13824,442368
2.4172828,-0.02167023644084111,0.30865574,0.04827866435050964,0.57,0.56,0.6327784918822363,1320,14080,450560
2.4115317,-0.022784542988520114,0.33431047,0.04839999083429575,0.89,0.81,0.561492118472372,1344,14336,458752
2.429441,-0.023996221392881125,0.36551794,0.049935660026967525,1.1,0.5,0.6053731851407022,1368,14592,466944
2.3889472,-0.025047153958585113,0.2735762,0.051972616985440256,0.97,0.92,0.5741135443038289,1392,14848,475136
2.4135191,-0.02536649043438956,0.36460212,0.053212043568491935,0.96,1.07,0.6406422550084512,1416,15104,483328
2.4265072,-0.025412899889051915,0.26362133,0.05471695464104414,1.27,0.9,0.5167557219375402,1440,15360,491520
2.3732657,-0.025212365579791368,0.38613015,0.054991981759667394,1.14,1.08,0.6772603526976119,1464,15616,499712
2.347994,-0.025373476990498602,0.41444957,0.05356387838721275,1.34,0.99,0.6332961287430915,1488,15872,507904
2.3592858,-0.02520895379129797,0.41283196,0.055165705047547815,1.26,1.11,0.6027553094036902,1512,16128,516096
2.3533535,-0.025546132205054164,0.28752142,0.0582895977422595,1.31,1.54,0.586112191821172,1536,16384,524288
2.349297,-0.02326999216340482,0.35067245,0.0583014664426446,1.4,1.13,0.6952969174787695,1560,16640,532480
2.3447843,-0.02437505280598998,0.36131915,0.05730692233890295,1.45,1.49,0.6265611653494878,1584,16896,540672
2.3638663,-0.025340406738687305,0.3767921,0.05207686197012663,1.64,1.37,0.6561342599499542,1608,17152,548864
2.3272548,-0.02603095990838483,0.46193516,0.050229400619864466,1.58,1.49,0.6737033481113437,1632,17408,557056
2.3234935,-0.025847515359055252,0.5351416,0.050407744161784646,1.32,1.72,0.6724213726598263,1656,17664,565248
2.2955894,-0.025280033501330762,0.5265405,0.054544914588332175,1.58,1.55,0.6287747973347184,1680,17920,573440
2.3096225,-0.025072837532497942,0.63610595,0.057964438274502754,1.57,1.74,0.7272865494062734,1704,18176,581632
2.307361,-0.023146303719840944,0.54683584,0.05910833228379488,2.23,0.98,0.6878598667313156,1728,18432,589824
2.3089209,-0.02558580008801073,0.6680686,0.058159272111952307,2.15,1.54,0.6637540733809648,1752,18688,598016
2.2910972,-0.025507846381515265,0.81060237,0.06135901227593422,2.21,1.49,0.6950159445835478,1776,18944,606208
2.2248843,-0.02445464797783643,0.8290907,0.0779413514956832,2.65,1.98,0.5736558722809868,1800,19200,614400
2.2558854,-0.024431620682589708,0.86929893,0.07779524680227042,2.34,2.4,0.6808281855172007,1824,19456,622592
2.239714,-0.024004038656130433,0.76538086,0.08445346105843782,2.53,2.64,0.656164674917311,1848,19712,630784
2.1825626,-0.020983442002907395,0.9713371,0.10020617913454771,2.79,2.54,0.6205780664553033,1872,19968,638976
2.2947216,-0.02302021864801645,0.80055225,0.09133954126387835,3.07,2.66,0.6156268100539912,1896,20224,647168
2.2360156,-0.020153752360492945,0.84940094,0.12804790157824755,2.86,2.98,0.4313512293189843,1920,20480,655360
2.2177498,-0.020527132656425237,1.0752048,0.12791704818606375,3.11,2.65,0.6941929810822212,1944,20736,663552
2.2369795,-0.021561269331723452,1.2357496,0.12114624582231044,2.6,2.75,0.6962701483384578,1968,20992,671744
2.1685648,-0.02029083453817293,1.1940633,0.1341093195229769,3.35,3.64,0.6299841495795914,1992,21248,679936
2.1757681,-0.0199520765687339,1.5817144,0.1479124490171671,4.07,3.71,0.5543471180858233,2016,21504,688128
2.2711923,-0.020550685103517027,1.3025718,0.14304214738309384,4.17,3.5,0.7151838430996547,2040,21760,696320
2.2539809,-0.019539781080093233,1.1477768,0.1575426983088255,4.2,4.33,0.5857724679767171,2064,22016,704512
2.300446,-0.02052235238486901,1.195255,0.15236223734915255,4.09,4.96,0.6309487124795004,2088,22272,712704
2.303398,-0.019696029026526958,1.266452,0.14868996880948543,4.74,5.31,0.6109183308395086,2112,22528,720896
2.2876189,-0.020798965936992316,1.5289804,0.15047411538660527,5.21,5.13,0.7066101971885062,2136,22784,729088
2.2883232,-0.018974454591516407,1.5606028,0.16373100496828555,5.51,5.41,0.6885792018584128,2160,23040,737280
2.263424,-0.017701462414115667,1.4647977,0.1871027421951294,6.13,5.08,0.678393090347451,2184,23296,745472
2.2839863,-0.01987250367179513,1.7023511,0.17587887689471246,5.42,5.18,0.6939076962851096,2208,23552,753664
2.306389,-0.02090482510626316,1.3736676,0.17819298952817916,5.38,6.02,0.749782064556957,2232,23808,761856
2.3477097,-0.021390826497226952,1.7411274,0.16619730405509472,5.26,7.3,0.7629924862840486,2256,24064,770048
2.2925484,-0.022853430772665887,1.7410136,0.15285852640867234,5.59,7.82,0.7808525709771287,2280,24320,778240
2.3135436,-0.021934799656737596,1.8294572,0.1622683647274971,7.07,8.69,0.7934271599438425,2304,24576,786432
2.3093379,-0.02155158372828737,2.130593,0.16635954946279527,6.98,8.77,0.7817601765941922,2328,24832,794624
2.2851844,-0.019545081809628755,1.791284,0.17922325313091278,7.03,8.88,0.7998966272252651,2352,25088,802816
2.1883419,-0.019090373532380907,2.4468565,0.1945812512934208,7.6,9.46,0.8095015238066043,2376,25344,811008
2.270744,-0.019865868522319943,1.9899809,0.1917608216404915,7.85,9.47,0.8097190482551468,2400,25600,819200
2.2744014,-0.020631653170567005,1.91908,0.19774836868047715,8.33,7.66,0.8085748840302058,2424,25856,827392
2.2850118,-0.01959806651575491,1.7084632,0.20017652362585067,7.36,6.98,0.8090074744263156,2448,26112,835584
2.3325326,-0.018994095739908515,1.780972,0.2078251299262047,6.52,5.53,0.7903687707185905,2472,26368,843776
2.2415655,-0.018651352457236498,1.976025,0.21664890110492707,7.52,5.52,0.8402445371014229,2496,26624,851968
2.2615259,-0.01852373966248706,1.7018186,0.236182541847229,8.43,7.63,0.8006931393722818,2520,26880,860160
2.2728617,-0.01789121772395447,1.9510562,0.2598146462440491,9.49,8.07,0.8329691841386553,2544,27136,868352
2.2479532,-0.0189971554861404,2.3558445,0.25556584969162943,9.05,8.66,0.8262210323345217,2568,27392,876544
2.315231,-0.0201621327502653,1.6911906,0.2514787146449089,8.46,7.5,0.8375616614393754,2592,27648,884736
2.2113101,-0.020445634075440467,2.6621928,0.2684275209903717,8.16,6.72,0.8193748727749082,2616,27904,892928
2.2591906,-0.021847401927225292,2.1393194,0.2482280983030796,8.29,7.52,0.8370947040529828,2640,28160,901120
