average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080452,-0.0010592593850257497,-0.05714122,0.5538356974720955,-2.3146067,-2.229885,0.0037595680843495183,24,256,8192
2.705258,-0.0008297602374417087,-0.18057987,0.37392393437524635,-2.97,-2.34,0.016625203270191347,48,512,16384
2.7050009,-0.0007576615252118143,-0.3238583,0.2964959874128302,-2.73,-3.4,0.024522471486576047,72,768,24576
2.7028227,-0.0008078957907855511,-0.43835658,0.2682305978766332,-2.39,-2.36,0.043130404423215696,96,1024,32768
2.693301,-0.0018539196439087391,-0.5153937,0.1748064247518778,-2.84,-2.96,0.1108319682340434,120,1280,40960
2.6987116,-0.0008144915057346225,-0.53409094,0.15965091548860072,-2.61,-2.38,0.187951608380155,144,1536,49152
2.69537,-0.00266045861877501,-0.5924367,0.1573402338474989,-2.43,-2.1,0.3017231560900381,168,1792,57344
2.6807349,-0.002332354779355228,-0.49433184,0.14889678120613098,-1.81,-1.7,0.289821124986373,192,2048,65536
2.6664076,-0.0037650536466389893,-0.620542,0.14736757084727287,-3.06,-2.22,0.34617768100205304,216,2304,73728
2.6581924,-0.004025932718068361,-0.47388917,0.13481162421405316,-1.77,-1.88,0.32590220128542113,240,2560,81920
2.6410275,-0.005945964227430522,-0.43895423,0.12695163793861866,-1.43,-2.19,0.39822469767707847,264,2816,90112
2.6340861,-0.007508314331062138,-0.45380366,0.12064364075660705,-1.68,-2.54,0.495360226226491,288,3072,98304
2.6054418,-0.00943337045609951,-0.65795004,0.10979017101228238,-2.34,-2.06,0.507653478356373,312,3328,106496
2.5832422,-0.0110944071598351,-0.36632395,0.10466105088591576,-1.54,-2.13,0.5112367971224893,336,3584,114688
2.57595,-0.012831753185018897,-0.42779556,0.10395362295210361,-2.24,-2.32,0.5013774051714472,360,3840,122880
2.5557246,-0.0135163454990834,-0.31338248,0.09542650114744902,-1.46,-1.33,0.5352102571855908,384,4096,131072
2.5695093,-0.0152347177779302,-0.26892632,0.08916759360581636,-1.28,-1.72,0.5156176631312084,408,4352,139264
2.5475795,-0.016273368312977255,-0.39414734,0.08518080215901136,-1.38,-1.98,0.5427065072480397,432,4608,147456
2.5209024,-0.016758104008622467,-0.3048723,0.07880624551326036,-1.16,-1.21,0.4883818657817489,456,4864,155648
2.5523634,-0.017012455221265554,-0.23069379,0.07942351642996073,-1.26,-1.28,0.5329161465707851,480,5120,163840
2.5270784,-0.018143489002250136,-0.38066497,0.08071459762752056,-1.07,-1.64,0.47385725044984206,504,5376,172032
2.5159512,-0.019368023711722346,-0.29181805,0.07962102718651294,-0.9,-1.42,0.530870142897789,528,5632,180224
2.4886806,-0.020850336716976017,-0.3716127,0.08304332040250301,-1.67,-1.48,0.5877411006724064,552,5888,188416
2.4864516,-0.02181256111478433,-0.28565887,0.08429731905460358,-0.98,-0.99,0.4465890161934293,576,6144,196608
2.4434078,-0.023252943248953672,-0.35104185,0.08201639164239168,-1.17,-1.19,0.5833945295885508,600,6400,204800
2.4250045,-0.024042102270759643,-0.41862348,0.08101243663579226,-0.7,-1.0,0.4648507176317863,624,6656,212992
2.4008346,-0.023745414852164685,-0.19927,0.07425926987081766,-0.59,-1.54,0.41269251857773726,648,6912,221184
2.3803022,-0.024647493632510304,-0.256716,0.06772735368460417,-0.38,-1.44,0.5007208393125355,672,7168,229376
2.4279697,-0.025132237672805785,-0.025598606,0.06214283909648657,-0.69,-0.56,0.4877552164604523,696,7424,237568
2.403959,-0.02578357939142734,-0.04828496,0.06129753105342388,-0.6,-0.54,0.4010876041014484,720,7680,245760
2.4366376,-0.025503551568835974,-0.06376261,0.06233279727399349,-0.56,-0.96,0.34177728866429,744,7936,253952
2.4617813,-0.02656955869868398,-0.09994885,0.0602812035754323,-0.3,-0.94,0.38948907174452185,768,8192,262144
2.4376554,-0.02614321552217007,-0.0947101,0.0673210122808814,-0.64,-1.16,0.4102436926039197,792,8448,270336
2.4602442,-0.026008385131135583,-0.07229584,0.06822326712310314,-0.41,-0.78,0.4255648483206239,816,8704,278528
2.4746466,-0.026085065444931388,-0.117395274,0.06638628244400024,-0.52,-0.28,0.4045155809326201,840,8960,286720
2.4247763,-0.02669397705234587,-0.037405886,0.0740500532835722,-0.67,-0.65,0.4398861027040395,864,9216,294912
2.4754527,-0.028655366380698977,-0.046102498,0.07305109977722168,-0.91,-0.68,0.436298159921341,888,9472,303104
2.4360738,-0.02834622112568468,0.028656414,0.069532516784966,-0.18,-1.01,0.4333935352043483,912,9728,311296
2.4562159,-0.029015008280985057,0.051353294,0.06849863767623901,0.05,-0.59,0.32464413787577195,936,9984,319488
2.502919,-0.029914509034715594,0.07280183,0.06453396264463664,-0.3,-0.59,0.44256827467868964,960,10240,327680
2.470686,-0.030038278810679914,0.027744668,0.0608086546882987,-0.24,-0.36,0.38246802216730946,984,10496,335872
2.4786668,-0.03095700953155756,0.0039362554,0.06302081260830164,0.13,-0.21,0.2803400185768773,1008,10752,344064
2.386714,-0.03188303980976343,0.026988862,0.06413190707564353,-0.17,-0.12,0.31298675001642706,1032,11008,352256
2.394547,-0.03291305949911475,-0.008170921,0.06481566403061151,-0.19,-0.28,0.37562002580184395,1056,11264,360448
2.4143038,-0.03438099540770054,0.010279895,0.06647154692560435,-0.49,-0.37,0.32340657153252705,1080,11520,368640
2.4034824,-0.035515280719846484,-0.027066624,0.0682122017815709,-0.11,-0.53,0.37722898296690943,1104,11776,376832
2.3834252,-0.03490998645313084,-0.05546575,0.07007393941283226,0.03,-0.25,0.4186860974983301,1128,12032,385024
2.3295245,-0.03542586079332977,0.041066628,0.06954290948808194,-0.22,-0.37,0.41746399789020094,1152,12288,393216
2.277105,-0.0341024556197226,0.10431186,0.06787598505616188,0.05,0.27,0.39041026455049976,1176,12544,401408
2.3388832,-0.0339015321386978,0.12798594,0.06334770623594523,0.1,0.06,0.36505568537547206,1200,12800,409600
2.3260922,-0.03344883719459176,0.13020653,0.061945216469466685,0.18,-0.24,0.2841731153230955,1224,13056,417792
2.338796,-0.03328646267298609,0.12395362,0.05925795916467905,0.12,0.03,0.3920138339500321,1248,13312,425984
2.2941914,-0.03462770621292293,0.14795084,0.05775769405066967,0.21,-0.21,0.30893178297022916,1272,13568,434176
2.2557497,-0.03417976537253708,0.13076408,0.059503081068396566,0.19,-0.01,0.2853714300141469,1296,13824,442368
2.2681987,-0.03608119030948728,0.18708572,0.05604763016104698,0.49,0.35,0.24883111796539914,1320,14080,450560
2.188546,-0.03616943258792162,0.21960272,0.05766023151576519,0.63,0.7,0.24676084092881323,1344,14336,458752
2.2148347,-0.037017216980457304,0.16949414,0.0543129188194871,0.47,0.19,0.33426472199806434,1368,14592,466944
2.2264683,-0.03630749022588134,0.25124586,0.05270190753042698,0.28,0.18,0.31749015727298546,1392,14848,475136
2.270014,-0.03507423685863614,0.19602387,0.05802828710526228,0.18,0.12,0.2499046744738177,1416,15104,483328
2.3039618,-0.03444149477872997,0.21508162,0.05899209816008806,0.39,0.35,0.23531933853763054,1440,15360,491520
2.2902637,-0.0328909874195233,0.17199741,0.06373001828789711,0.24,0.07,0.3133157562137773,1464,15616,499712
2.2759068,-0.033458613636903466,0.22147506,0.06823072709143162,0.59,0.17,0.33373323003882616,1488,15872,507904
2.2266319,-0.034337692344561216,0.33201063,0.06642816375941038,0.1,0.13,0.3533317414918534,1512,16128,516096
2.2634356,-0.0354714377829805,0.27643925,0.06130049616098404,0.58,0.47,0.3561692073855729,1536,16384,524288
2.3083532,-0.03678604407701641,0.27639607,0.05846639778465033,0.5,0.21,0.35942339220502983,1560,16640,532480
2.3022017,-0.03723619427997619,0.2512122,0.05304810952395201,0.72,0.44,0.30695319448960234,1584,16896,540672
2.3050015,-0.036610553804785013,0.29030114,0.055306178070604804,0.36,0.35,0.22518389744222955,1608,17152,548864
2.2916055,-0.035300787165760995,0.1997754,0.05851177506148815,0.81,0.28,0.3508572713689787,1632,17408,557056
2.2232666,-0.03566374101676047,0.28878263,0.05762838322669268,0.55,0.2,0.2712067649293116,1656,17664,565248
2.227522,-0.037473607612773775,0.30779225,0.05750502735376358,0.71,0.39,0.3886499341301338,1680,17920,573440
2.2457094,-0.03791994489263743,0.2868048,0.05338463570922613,0.8,0.65,0.3310336563932944,1704,18176,581632
2.230206,-0.039494769098237154,0.2417809,0.0511597316339612,0.63,-0.27,0.42827596978974036,1728,18432,589824
2.2280757,-0.03875149112194776,0.23907131,0.0528879276663065,0.69,0.74,0.4401335880113829,1752,18688,598016
2.2539473,-0.03857189619448036,0.3154691,0.0529545971006155,0.57,0.38,0.3842352431414302,1776,18944,606208
2.2254307,-0.03810261765960604,0.3050058,0.05184304382652044,0.88,0.67,0.2730191224622809,1800,19200,614400
2.2096875,-0.037346683531068264,0.34027824,0.05225654996931553,0.79,0.55,0.39095727291665183,1824,19456,622592
2.2187045,-0.03722707794047892,0.30677965,0.05088760755956173,1.07,0.98,0.40663760749723366,1848,19712,630784
2.153976,-0.036405627247877416,0.37057015,0.05310595024377108,1.04,0.89,0.3310118261672823,1872,19968,638976
2.1933756,-0.0367553888913244,0.32581794,0.05977509420365095,0.69,0.63,0.37654349076990834,1896,20224,647168
2.2197914,-0.036938272323459385,0.37119538,0.06309431035071611,1.19,0.72,0.22330268355451988,1920,20480,655360
2.2460346,-0.03765793092083186,0.36736664,0.06411658879369497,0.69,0.65,0.3829896386933961,1944,20736,663552
2.1842935,-0.037480827982071786,0.38664997,0.06319330658763647,0.87,0.43,0.3905932933835171,1968,20992,671744
2.1834848,-0.03722044725669548,0.41851217,0.060413799360394475,0.85,0.18,0.4245149789632854,1992,21248,679936
2.0891664,-0.03683838445460424,0.4570291,0.06046968951821327,1.1,0.36,0.4132547733160292,2016,21504,688128
2.1617546,-0.03841468041529879,0.41763964,0.06811287973076105,1.03,0.76,0.2827606981382531,2040,21760,696320
2.1647887,-0.03639035211876035,0.45173633,0.07957552898675203,1.23,0.84,0.18908199925450275,2064,22016,704512
2.2437654,-0.03555577659280971,0.4378107,0.07888080760836601,1.06,1.18,0.3505999381581669,2088,22272,712704
2.2150366,-0.037826641292776915,0.47304773,0.07703322049230338,0.91,0.4,0.26124520219886727,2112,22528,720896
2.253063,-0.03739709641551599,0.4347578,0.07177232481539249,1.15,0.26,0.30583674583601705,2136,22784,729088
2.1957822,-0.037073633109685034,0.37039253,0.07385497495532035,1.2,0.68,0.1602425147105926,2160,23040,737280
2.1787467,-0.039134678798727694,0.43545663,0.07408866729587317,1.35,0.88,0.27046244716417955,2184,23296,745472
2.1842716,-0.04028983029536903,0.48932752,0.07664067164063454,1.26,0.68,0.30948938640685186,2208,23552,753664
2.1550138,-0.03996044236235321,0.5016863,0.07842290874570608,1.73,1.06,0.34083524309821445,2232,23808,761856
2.0940738,-0.042695060074329376,0.5092625,0.06905075781047344,1.4,1.0,0.27523479967443876,2256,24064,770048
2.0295768,-0.041285556172952056,0.5827864,0.07979080446064472,1.61,0.74,0.24349696253704933,2280,24320,778240
2.0548394,-0.03719245223328471,0.5935177,0.10945324342697858,1.83,0.78,0.23925280683550332,2304,24576,786432
2.072147,-0.03828645250760019,0.5582944,0.10964275807142258,1.5,0.6,0.42473236671215975,2328,24832,794624
2.1735682,-0.0359467439353466,0.48263988,0.1215299628674984,1.29,0.99,0.3423071927111404,2352,25088,802816
2.04882,-0.03533799876458943,0.49343884,0.12027109481394291,1.03,1.44,0.37484920598225646,2376,25344,811008
2.061249,-0.039348444528877737,0.5664807,0.09422345917671919,1.14,1.27,0.3917278345115075,2400,25600,819200
2.0765028,-0.040311929397284986,0.5767198,0.09172467820346356,0.95,0.89,0.36591684961475923,2424,25856,827392
2.0648227,-0.03972043349873275,0.6050951,0.09269387014210224,1.3,1.03,0.3193264845257715,2448,26112,835584
2.1268957,-0.03971772170159966,0.52494675,0.10131518498063087,1.55,0.69,0.3463548897211055,2472,26368,843776
2.0970142,-0.03663252770435065,0.48083812,0.12428578063845634,1.18,1.52,0.34144493840239465,2496,26624,851968
2.1207588,-0.03775054074358195,0.6018153,0.1251550091430545,1.19,1.31,0.3983697764753156,2520,26880,860160
2.1154566,-0.03705435181502253,0.63537866,0.1362011531740427,1.28,1.62,0.3150010509394625,2544,27136,868352
2.1180305,-0.03680872121360153,0.50304765,0.13410070724785328,1.2,1.42,0.3586863121041942,2568,27392,876544
2.1194532,-0.03850071327760816,0.6721735,0.12220053471624852,1.41,1.59,0.356292125605138,2592,27648,884736
2.1325283,-0.037091019889339806,0.7164099,0.1523661744594574,2.43,0.9,0.38496328348605957,2616,27904,892928
2.175748,-0.03709442091640085,0.69819736,0.13550012409687043,2.22,1.69,0.4030273567331234,2640,28160,901120
2.1282423,-0.03637210678309202,0.74110806,0.13679022140800953,1.91,1.63,0.4844624563770842,2664,28416,909312
2.1420372,-0.03472917926032096,0.7005641,0.13182660400867463,2.09,1.18,0.43458127671982905,2688,28672,917504
2.0713177,-0.038071982134133577,0.8271479,0.1065295010060072,1.68,0.78,0.4615372622380989,2712,28928,925696
2.075919,-0.03439310624264181,0.80005634,0.11861996445804834,1.6,1.31,0.49994974727762564,2736,29184,933888
2.1393194,-0.036161026638001206,0.71290666,0.12009737275540829,2.27,1.84,0.5178775426675413,2760,29440,942080
2.137929,-0.03860242571681738,0.7617688,0.11269092090427875,1.65,1.58,0.4437560091481526,2784,29696,950272
2.1240168,-0.03687055338174105,0.82470274,0.12160466358065605,1.76,1.88,0.5024555278668397,2808,29952,958464
2.1134448,-0.03702162435743958,0.8309458,0.13552924185991289,2.68,2.35,0.532288939345869,2832,30208,966656
2.1263113,-0.035835031657479706,0.8935441,0.13852223694324495,3.26,1.79,0.5186440201277644,2856,30464,974848
2.1090982,-0.03115806674119085,0.807348,0.1697723027318716,3.04,2.02,0.5683816423385415,2880,30720,983040
2.097414,-0.03134005013853312,0.91944736,0.17006850957870484,2.64,1.76,0.5826323261365072,2904,30976,991232
