average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer4,avg_frob_kernel_layer4,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.00044242432340979576,-0.007578616,0.2813147281606992,0.0033767776913009584,1.7313218633333842,78.61627906976744,-2.4418604,79.98795180722891,-2.240964,0.00031325642060786585,858,24,1.0,256,8192
2.7075284,-0.00020927724350864688,-0.22652479,0.20408325952788195,0.00366879567639747,1.7312795003255208,80.73,-2.64,80.93,-2.22,0.0029838875711165613,883,48,2.0,512,16384
2.7069876,-0.00023767959080739983,-0.28725135,0.1861447071035703,0.00405599078318725,1.7316688120365142,77.81,-2.67,87.78,-2.72,0.009669645069523503,886,72,3.0,768,24576
2.7050767,-0.0005346339433648003,-0.39180228,0.17442959810917577,0.0054352673391501105,1.7319994310537974,84.49,-2.14,78.55,-2.49,0.04154081678617849,887,96,4.0,1024,32768
2.6963532,0.0004569901362992823,-0.4527783,0.15026143312454224,0.006521630240604282,1.7320499181747437,82.21,-2.84,87.34,-2.56,0.11483067949158354,884,120,5.0,1280,40960
2.691544,-0.0012572850263677538,-0.57598734,0.14954139545559883,0.007978874316904694,1.7323289175828298,80.33,-2.38,83.12,-2.46,0.16913500214123334,884,144,6.0,1536,49152
2.6890323,-0.0021007606014609337,-0.6109252,0.1557839533686638,0.010552992279178853,1.7328358789285023,85.36,-3.24,81.39,-2.65,0.21183682300264506,885,168,7.0,1792,57344
2.6891272,-0.002919387265574187,-0.57743925,0.15764225974678994,0.012727327747990102,1.7329942226409911,79.53,-2.77,79.86,-2.17,0.30357926323498796,875,192,8.0,2048,65536
2.6869848,-0.0050737949856556955,-0.5435028,0.14912567168474197,0.01457410605697381,1.733249447743098,83.86,-2.48,81.97,-2.31,0.37598519207153736,882,216,9.0,2304,73728
2.668595,-0.005573110429104418,-0.44743422,0.1379455006122589,0.015823661727851383,1.733298667271932,86.64,-1.7,85.88,-2.34,0.4031460828707748,885,240,10.0,2560,81920
2.6602812,-0.007957568422425539,-0.48731232,0.11748752743005753,0.0165352825638062,1.7329844733079274,85.55,-1.86,80.28,-1.93,0.41346461502245735,885,264,11.0,2816,90112
2.6480567,-0.0096666343184188,-0.40559155,0.10586688466370106,0.0174606965680141,1.7330548385779063,85.82,-1.33,82.61,-1.57,0.36429280092460314,885,288,12.0,3072,98304
2.6494486,-0.01141008528531529,-0.32986075,0.09564727067947387,0.01826617359474767,1.7328174690405527,86.48,-1.97,79.49,-1.29,0.4502658467901174,885,312,13.0,3328,106496
2.6413584,-0.013109738311031833,-0.26029664,0.088904964402318,0.01855368381172108,1.7328397194544474,80.51,-1.24,82.43,-1.0,0.512467721474839,885,336,14.0,3584,114688
2.6325452,-0.014427592909196391,-0.19774915,0.08574920944869519,0.01867386591329705,1.7330565770467123,79.3,-1.05,83.47,-1.29,0.4688981268290211,874,360,15.0,3840,122880
