average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080498,-0.0002662050149713953,0.016214758,0.28999111615121365,-2.2337663,-1.8736842,-0.0011751370677539619,24,256,8192
2.7077522,-0.0003204330084069322,-0.15546061,0.22048549260944128,-2.97,-2.86,0.019148248372792054,48,512,16384
2.70593,-0.0006632809591893521,-0.30808055,0.19505724435051283,-2.49,-2.76,0.013297180092916139,72,768,24576
2.6984189,-0.0009032061740678424,-0.39180762,0.18350429957111677,-2.71,-2.49,0.09581730696575386,96,1024,32768
2.692812,-0.0013279001088812947,-0.54267186,0.1516852682828903,-2.19,-2.71,0.18229769437988907,120,1280,40960
2.6856098,-0.002195795830339193,-0.5212173,0.1417396991699934,-2.71,-1.8,0.22289297363392047,144,1536,49152
2.6717384,-0.003232335411012173,-0.6018262,0.1328451483696699,-1.54,-1.75,0.35110405775682907,168,1792,57344
2.6783829,-0.003949784031137824,-0.43993986,0.12622901558876037,-2.53,-2.4,0.374548306556135,192,2048,65536
2.665285,-0.003782855556346476,-0.49100897,0.12182887896895409,-1.71,-2.21,0.408464145305824,216,2304,73728
2.6503558,-0.005115250595845282,-0.57428527,0.11916101336479187,-1.64,-2.03,0.40911054967006744,240,2560,81920
2.6664834,-0.006461344272829592,-0.32027894,0.11929946310818196,-2.67,-1.69,0.4179941383316931,264,2816,90112
2.6460323,-0.007554529029875994,-0.4256989,0.11051782667636871,-1.16,-2.52,0.445638977305286,288,3072,98304
2.6473126,-0.007371772434562445,-0.42310166,0.10153356648981571,-1.52,-1.56,0.5109573353177086,312,3328,106496
2.6175861,-0.009944358244538307,-0.46070185,0.09329815678298474,-1.34,-1.9,0.5180105359386568,336,3584,114688
2.5927372,-0.01168553955387324,-0.43559992,0.08742171481251716,-0.95,-0.88,0.47572848439934823,360,3840,122880
2.5952446,-0.012105936971493066,-0.4374014,0.08381869569420815,-0.95,-1.29,0.5105744665386296,384,4096,131072
2.6179008,-0.013480902602896094,-0.32253417,0.08607597231864929,-1.67,-1.36,0.493422119177937,408,4352,139264
2.5668135,-0.013738287724554538,-0.22752295,0.08359636195003986,-1.32,-1.45,0.4619055307752953,432,4608,147456
2.588126,-0.015224755834788084,-0.101271525,0.07988201897591353,-0.77,-1.23,0.39033667383372406,456,4864,155648
2.60062,-0.015848647365346552,-0.088174164,0.07742334771901369,-1.3,-0.9,0.45716881953703536,480,5120,163840
2.5992706,-0.016466646837070584,-0.252972,0.07482265878468752,-1.0,-0.95,0.44489533826924477,504,5376,172032
2.5501802,-0.016390268309041858,-0.22015071,0.071009832136333,-0.58,-1.09,0.42783373217585186,528,5632,180224
2.5467105,-0.01712106915190816,-0.115542844,0.06706983800977469,-0.44,-0.73,0.41658015810581983,552,5888,188416
2.5782423,-0.018358993595466017,-0.18748337,0.06785978227853776,-0.62,-0.43,0.33846699839770156,576,6144,196608
2.5622241,-0.018965748976916073,-0.13643342,0.06509815588593483,-0.7,-0.67,0.3746495893187055,600,6400,204800
2.5484116,-0.018538715350441635,-0.071035706,0.07001151364296675,-0.54,-0.96,0.4196335382023445,624,6656,212992
2.562472,-0.018971229074522852,0.032871578,0.0696896867454052,-0.6,-0.49,0.41811228380029053,648,6912,221184
2.5703814,-0.019652983667328955,-0.048064582,0.07061243444681167,-0.59,0.18,0.439543371850339,672,7168,229376
