average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_change,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.7080498,-0.00029996386729180813,0.033679824,0.3227872960269451,0.01714533754801821,84.37647058823529,-2.2,74.30681818181819,-1.875,0.0003811025827662462,834,24,1.0,256,8192
2.7075372,-0.0006418488919734955,-0.13596794,0.2514603616048892,0.018183476812694045,85.66,-2.63,84.56,-2.32,0.003847140671555671,845,48,2.0,512,16384
2.7049737,-0.0008349762970788612,-0.32518634,0.2204898732403914,0.018277216425520323,85.28,-2.61,76.53,-2.54,0.02405707762283693,846,72,3.0,768,24576
2.6969824,-0.0009637256104421491,-0.43396968,0.20864970671633878,0.019241879771774013,85.73,-2.73,76.43,-2.62,0.05649055151807303,846,96,4.0,1024,32768
2.6901088,-0.001681161979213357,-0.47681373,0.16087641835212707,0.019886366124930128,87.06,-1.78,79.27,-1.88,0.08767715831045297,844,120,5.0,1280,40960
2.6939716,-0.002025139289908111,-0.38690993,0.14836846970021725,0.019960436770426377,80.63,-2.06,80.73,-2.48,0.2875037084352158,846,144,6.0,1536,49152
2.6872034,-0.0023988189548254015,-0.38112253,0.13742641299963,0.021437811332621744,80.19,-2.29,84.22,-2.24,0.3341135725585844,845,168,7.0,1792,57344
2.6872013,-0.0024733499996364115,-0.42201808,0.12652469046413897,0.024377895807403894,77.95,-1.81,82.32,-2.2,0.40547813290270873,839,192,8.0,2048,65536
2.6789532,-0.0031072207912802696,-0.4623881,0.12876930564641953,0.024955971443670847,82.15,-1.64,83.65,-2.62,0.406018592765219,844,216,9.0,2304,73728
2.6619966,-0.004857532477471977,-0.37487268,0.11747704453766346,0.02459274780093914,81.51,-1.72,84.34,-2.15,0.5139095456289404,846,240,10.0,2560,81920
2.6516466,-0.005108424460049718,-0.3455307,0.11189330361783505,0.02455937643978922,78.78,-1.62,81.21,-2.27,0.5378259943891559,844,264,11.0,2816,90112
2.6338084,-0.006336135177407414,-0.39438903,0.10201867930591106,0.024703901006086243,79.79,-1.34,80.12,-1.51,0.588296940701605,845,288,12.0,3072,98304
2.6312358,-0.007550147853326052,-0.3451482,0.09020624682307243,0.025770781650429682,81.25,-1.59,76.92,-1.35,0.6351488004423236,844,312,13.0,3328,106496
2.6300464,-0.00889036959502846,-0.29111946,0.08515611674636603,0.027882901874060433,79.15,-1.66,78.75,-1.57,0.6125033012867549,845,336,14.0,3584,114688
2.6279628,-0.010434800987131893,-0.1731244,0.07648005414754153,0.029066340088666903,80.3,-0.65,79.75,-1.58,0.583039834915626,837,360,15.0,3840,122880
2.641614,-0.011333055677823722,-0.13887475,0.07303588166832924,0.029324640054255724,83.62,-0.79,79.67,-1.03,0.505548054207254,846,384,16.0,4096,131072
2.6115234,-0.012559897298924625,-0.35159105,0.07412852182984352,0.029675357021568788,84.4,-1.24,81.57,-0.41,0.5761806785508778,845,408,17.0,4352,139264
2.5602968,-0.01262244996149093,-0.27852875,0.07610423896461725,0.030310678761452436,79.3,-1.09,85.61,-1.49,0.5349781459781155,846,432,18.0,4608,147456
