average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080498,-0.0006386404663013915,0.08068919,0.23576530938347182,-1.8095238,-2.4301076,-0.0018425715090570893,24,256,8192
2.7074451,-0.0003280656722684701,-0.10259086,0.19822410587221384,-2.8,-2.23,0.009285256739283154,48,512,16384
2.7061298,-0.0007673901984364622,-0.27998742,0.18140249720050228,-2.12,-2.8,0.03124176182872085,72,768,24576
2.6960466,-0.001045646286608341,-0.37162665,0.1714653504701952,-2.11,-2.52,0.093618079163438,96,1024,32768
2.6853623,-0.0015671231271699071,-0.47854975,0.1505385475605726,-2.11,-1.68,0.19303715328590432,120,1280,40960
2.6781049,-0.002688694759272039,-0.45333257,0.1369196452945471,-1.77,-1.89,0.26645041334244257,144,1536,49152
2.6703813,-0.003064630962908268,-0.4822857,0.13444760605692863,-2.63,-1.89,0.336968854255857,168,1792,57344
2.6463745,-0.002673262641765177,-0.50657535,0.12462137371301651,-1.52,-1.89,0.40008804909824924,192,2048,65536
2.6507545,-0.0036760559724643826,-0.5247386,0.11422227889299393,-1.56,-1.89,0.47984561621507926,216,2304,73728
2.6454453,-0.005321847056038677,-0.45023352,0.10734531238675117,-1.19,-1.72,0.5465445434081625,240,2560,81920
2.6469774,-0.005640289913862943,-0.46905833,0.09741880878806114,-1.59,-1.54,0.47924245007418376,264,2816,90112
2.621598,-0.007746883998624981,-0.34608546,0.09112866565585137,-0.96,-1.73,0.5866092508473113,288,3072,98304
2.6505966,-0.009524832828901708,-0.2271948,0.09024664990603924,-1.24,-1.62,0.4754725177412883,312,3328,106496
2.6234956,-0.009448248953558504,-0.39411852,0.0904783084988594,-1.55,-1.08,0.511056017342878,336,3584,114688
2.6248043,-0.010534319370053708,-0.22004056,0.08336109712719918,-0.67,-1.67,0.4795664307893096,360,3840,122880
2.571301,-0.012233854387886822,-0.16342396,0.08358992487192154,-0.87,-1.23,0.49771788976794185,384,4096,131072
2.6008909,-0.01287146020680666,-0.21350738,0.0779010285064578,-0.61,-1.09,0.4906655319723915,408,4352,139264
2.5702095,-0.012935543744824828,-0.08775924,0.07356162805110217,-0.94,-1.37,0.49339822932940625,432,4608,147456
2.537815,-0.013484934982843698,-0.060926333,0.07223160535097123,-0.81,-0.71,0.4848495489818926,456,4864,155648
2.5601485,-0.015334220663644373,-0.026587376,0.06975620590150357,-0.54,-0.48,0.49948732409018626,480,5120,163840
2.5606122,-0.017374298044014722,-0.10548245,0.07114677507430316,-0.66,-0.75,0.5900934522725674,504,5376,172032
2.5289013,-0.01879811173537746,0.041121703,0.06988596238195896,-0.75,-0.62,0.4561833094417094,528,5632,180224
2.5458,-0.019991592408623547,0.012245549,0.06697451300919056,-0.48,-0.96,0.6408179808894746,552,5888,188416
2.4846482,-0.02094338103896007,-0.26721704,0.0639913098886609,-0.23,-0.72,0.5094390360229697,576,6144,196608
2.4576762,-0.02031434264034033,-0.033204667,0.06390664000064135,-0.84,-0.7,0.5492390555600178,600,6400,204800
2.4769967,-0.020059708775952458,-0.039444778,0.06391154810786247,-0.26,-0.71,0.5179710313410747,624,6656,212992
2.4955454,-0.020946418391540645,-0.054825574,0.0717646137624979,-0.97,-0.46,0.5417250807621129,648,6912,221184
2.480622,-0.02097852196544409,-0.10572613,0.07764183711260557,-1.1,-1.02,0.5965146855667424,672,7168,229376
2.410256,-0.02090424790047109,-0.25096208,0.07939897924661636,-0.52,-0.96,0.5551773826702147,696,7424,237568
2.4495776,-0.02059674820397049,-0.113210276,0.08144104950129986,-0.84,-0.77,0.559198172414741,720,7680,245760
2.4925086,-0.021658302722498773,-0.1494629,0.07927382197231055,-0.76,-0.46,0.5233189488806804,744,7936,253952
2.4776103,-0.022490315325558185,-0.15752646,0.08152487959712744,-0.65,-0.9,0.552974811543209,768,8192,262144
2.4833868,-0.022287692930549382,-0.0011931191,0.0764440344274044,-0.27,-0.7,0.4454645052437809,792,8448,270336
2.488456,-0.0240013468824327,-0.0330924,0.0767084876447916,-0.2,-0.21,0.5071253193638974,816,8704,278528
2.4883502,-0.023663927419111132,-0.033337604,0.07941579967737197,-0.61,-0.58,0.48320370016194725,840,8960,286720
2.4743252,-0.024745891583152116,-0.06041903,0.07760131888091565,-0.47,-1.07,0.4956310868435263,864,9216,294912
2.4503198,-0.024480669405311347,-0.16098438,0.08352750204503537,-0.46,-0.51,0.5472459934903587,888,9472,303104
2.4245386,-0.024864356399048118,-0.111455046,0.08344327554106712,-0.16,-0.73,0.4563519740044225,912,9728,311296
2.4041543,-0.026581741895060986,-0.2662827,0.08986477129161358,-0.88,-0.81,0.4834672841958645,936,9984,319488
2.4363706,-0.026676699176896364,-0.1636596,0.08475651636719704,-0.11,-0.15,0.5710803171659158,960,10240,327680
2.3875196,-0.02729463631985709,-0.018333768,0.0796827493980527,-0.02,-0.45,0.4689913402994641,984,10496,335872
2.3742144,-0.027558685676194728,-0.0325876,0.08031431447714567,0.15,-0.95,0.4179052471843685,1008,10752,344064
2.3640954,-0.026120567345060408,0.12706833,0.07018636796623469,0.14,-0.34,0.4128832997125992,1032,11008,352256
2.3278322,-0.026388767063617705,-0.08937937,0.0676565421372652,0.33,0.16,0.47995688600035713,1056,11264,360448
2.2559962,-0.026424142997711897,-0.16815116,0.06676551055163145,0.14,0.65,0.43635731464155214,1080,11520,368640
2.3248248,-0.02718292816542089,0.14513582,0.06311512563377619,0.06,0.13,0.5137573223312182,1104,11776,376832
2.2984684,-0.027549050659872593,0.051688608,0.059534561596810816,0.43,0.38,0.5838832854746661,1128,12032,385024
2.2639933,-0.026636153715662657,0.0074683684,0.05964719444513321,0.53,-0.55,0.5923916443108432,1152,12288,393216
2.2598584,-0.02724510326050222,0.29931363,0.0661437776312232,-0.36,-0.03,0.6086065332869028,1176,12544,401408
2.3391542,-0.02736370278056711,0.1887636,0.06496463682502508,0.53,-0.07,0.5892127501895617,1200,12800,409600
2.2378356,-0.02566551578231156,0.12677267,0.06645853105932474,0.4,0.09,0.5195519013138441,1224,13056,417792
2.1192534,-0.02450338354334235,-0.062378455,0.06541231255978346,0.56,0.22,0.545306810036303,1248,13312,425984
2.1900454,-0.027114123706705868,0.07769634,0.05741761963814497,0.54,0.24,0.6839339561294229,1272,13568,434176
2.2051585,-0.02585711844265461,0.21292864,0.05834116965532303,0.53,-0.09,0.563965845341461,1296,13824,442368
2.1946883,-0.027153093824163078,0.23164372,0.06028058674186468,0.42,0.42,0.5586894316383777,1320,14080,450560
2.231252,-0.02636394281638786,0.33198985,0.06192149948328733,0.5,0.31,0.5939482511870255,1344,14336,458752
2.2587085,-0.026559842952992768,0.24377638,0.06475623205304146,0.76,0.45,0.4240326490572719,1368,14592,466944
2.2359767,-0.0265916259563528,0.11000105,0.06712664157152176,0.69,0.16,0.529276364302675,1392,14848,475136
2.1389074,-0.027548656680155544,0.3576674,0.065961724370718,0.64,0.23,0.5511980780499774,1416,15104,483328
2.199797,-0.02846301442477852,0.17799264,0.06595159787684679,0.65,0.07,0.5688868233055073,1440,15360,491520
2.198858,-0.02753691212274134,0.21607511,0.06441963199526071,1.04,0.75,0.5820207681579068,1464,15616,499712
2.1838975,-0.029601046242751183,0.20132105,0.06166884206235409,0.85,0.69,0.4441519850277953,1488,15872,507904
2.2144854,-0.029916820775251835,0.3487823,0.05997075442224741,0.61,0.75,0.5295671564452789,1512,16128,516096
2.2484756,-0.03137956413207576,0.23245466,0.055826682113111016,1.18,1.03,0.5874188429119347,1536,16384,524288
2.2224164,-0.030419808228034525,0.25399503,0.057695396356284616,1.01,1.32,0.4920602901692509,1560,16640,532480
2.2176914,-0.02895757304271683,0.34693104,0.05729469519108534,1.19,0.59,0.594025410099968,1584,16896,540672
2.2343428,-0.030022195717319847,0.21402764,0.05551601234823465,1.34,0.66,0.7146879480385505,1608,17152,548864
