average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer14,avg_frob_kernel_layer14,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.708037,-0.00015733482238526145,0.3963681,0.5263592495272557,0.005805404699631822,1.7302980322390795,83.29761904761905,-2.5833333,76.14942528735632,-1.9425287,-0.006654122668405815,836,24,1.0,256,8192
2.7075293,-0.00022076346795074642,0.20746651,0.33589193302517134,0.006826152963321874,1.729957406781614,85.15,-2.21,80.45,-2.48,-0.01017891505476376,846,48,2.0,512,16384
2.7078905,-0.0002681313457691835,0.022903843,0.27053841296583414,0.007226530788992136,1.7298194045200943,83.47,-1.73,84.52,-2.08,-0.0009037299742977734,846,72,3.0,768,24576
2.7073746,-0.000645065723801963,-0.13143043,0.23364319054720303,0.007254943841125794,1.729844574816525,86.94,-2.26,85.59,-2.82,-0.0015645049530168542,847,96,4.0,1024,32768
2.7012086,-0.0005966396210715175,-0.21718222,0.14967224188148975,0.007320935180487709,1.7298552116379142,83.19,-2.28,88.56,-2.5,0.002536752698118372,846,120,5.0,1280,40960
2.6872256,-0.0014453596342355014,-0.32032672,0.13951887026429177,0.007477358730119477,1.7297982981428504,79.16,-1.76,81.78,-2.74,0.0059978046587951805,842,144,6.0,1536,49152
2.6967568,-0.00188243190292269,-0.38148022,0.14153519362211228,0.007457219567278512,1.7298817412927747,84.88,-2.15,84.7,-2.75,0.0012053212070586294,845,168,7.0,1792,57344
2.687664,-0.0007759911520406604,-0.45155138,0.15179104618728162,0.008042207768204435,1.72982414085418,81.56,-2.28,77.99,-2.77,0.07660128706300573,840,192,8.0,2048,65536
2.6803706,-0.0012434607185423374,-0.5288166,0.1579238550364971,0.008982703406500292,1.729885284602642,82.09,-2.61,75.65,-2.19,0.1764611032236275,847,216,9.0,2304,73728
2.6810927,-0.0019475392252206803,-0.5095415,0.15501578286290169,0.01051374344567293,1.7297760559245945,87.82,-2.2,75.94,-2.11,0.23921625141915326,846,240,10.0,2560,81920
2.6817622,-0.0016885066591203212,-0.42240635,0.14649875625967979,0.011555054268521303,1.7297652587294579,83.5,-1.79,81.99,-2.27,0.24556919846803793,847,264,11.0,2816,90112
2.6788216,-0.0027547879610210655,-0.4602306,0.13677500456571579,0.012345456654696819,1.7301154851913452,78.0,-2.85,80.64,-1.75,0.42685087676570566,845,288,12.0,3072,98304
2.6714067,-0.0037129375687800347,-0.4815166,0.11699889391660691,0.013876505375139913,1.7302960932254792,80.52,-1.75,79.34,-2.08,0.5184670366703531,846,312,13.0,3328,106496
2.661088,-0.003536963027436286,-0.530853,0.100938800573349,0.014578814120363858,1.7305740047246219,77.16,-0.7,78.03,-1.94,0.5676376529000117,847,336,14.0,3584,114688
2.6418352,-0.004299118074122817,-0.35847008,0.09057443220168353,0.015070243189165921,1.7309750145301224,74.45,-1.26,72.71,-1.08,0.5815368537332422,838,360,15.0,3840,122880
2.6115568,-0.005013765518087894,-0.47556764,0.07734370246529579,0.01635660405904673,1.7313093598932028,78.25,-1.29,79.51,-1.41,0.6808009449705338,844,384,16.0,4096,131072
2.6196625,-0.005684311534278095,-0.33996418,0.07336272239685059,0.01734902237199094,1.731482082977891,81.64,-1.29,77.55,-1.55,0.5943843655098027,848,408,17.0,4352,139264
2.6329112,-0.006514752418734133,-0.28220215,0.06992956314235926,0.018268538855454607,1.7316101739183067,80.43,-0.93,77.97,-1.43,0.515569662032659,846,432,18.0,4608,147456
2.6212752,-0.007088411347940565,-0.21673226,0.07385415647178889,0.01960295999488153,1.7318259689956903,78.23,-1.37,77.53,-1.43,0.405944351953784,845,456,19.0,4864,155648
2.63035,-0.0077164080878719685,-0.09438426,0.07521453861147165,0.02094584642686641,1.7319525249302388,83.05,-0.98,76.73,-0.97,0.5727793921656601,846,480,20.0,5120,163840
2.6212227,-0.009238277110271156,-0.27306515,0.07103447332978248,0.022021457563914736,1.731915232539177,78.85,-0.68,71.95,-1.36,0.5588128171209241,845,504,21.0,5376,172032
2.6143804,-0.008123357775621115,-0.23737067,0.076050407551229,0.02293196905657169,1.7323120472952724,82.66,-1.26,79.69,-0.83,0.5175752551727953,844,528,22.0,5632,180224
2.6259184,-0.00935808568727225,-0.15073898,0.06989756058901549,0.024252205918446634,1.7325221175327896,81.63,-0.75,75.08,-0.75,0.4747878656379957,840,552,23.0,5888,188416
2.569783,-0.009775133016519248,-0.13827683,0.06902385402470827,0.025602912407293843,1.7324471324682236,74.81,-0.72,76.71,-0.71,0.46446851659974353,847,576,24.0,6144,196608
2.5183334,-0.010202778670936823,-0.09836041,0.06702071797102689,0.026729952109599255,1.7326084153726697,74.87,-0.43,77.96,-0.49,0.4726048897434576,846,600,25.0,6400,204800
2.5599456,-0.01128387862816453,-0.18998165,0.06120595369488001,0.02785535059488211,1.7327223427593708,76.88,-0.15,79.57,0.11,0.5464705544148265,846,624,26.0,6656,212992
2.5395076,-0.011296387715265154,0.034820113,0.05583805549889803,0.028705310076020396,1.7324938466772437,83.03,-0.31,76.76,-0.35,0.40007479854376116,845,648,27.0,6912,221184
2.597438,-0.012327760867774486,0.04062297,0.05391248300671578,0.029806288261534065,1.7324896886944772,78.7,-0.16,80.32,-0.41,0.4517047052122345,844,672,28.0,7168,229376
2.5987823,-0.011323714349418878,0.024254581,0.054479611068964005,0.03071998202035502,1.7326518081128597,79.94,-0.24,77.61,-0.7,0.42448972862099954,845,696,29.0,7424,237568
2.5911887,-0.011673711040057242,0.058270775,0.0557314807549119,0.031740167448379,1.732752780430019,79.53,-0.04,83.01,-0.34,0.46698583632839874,838,720,30.0,7680,245760
2.600237,-0.013061966062523425,0.2038799,0.06523949071764946,0.032670123033403796,1.7328353516757489,80.36,-0.24,79.96,-0.61,0.4427326032313196,844,744,31.0,7936,253952
2.5379183,-0.012972280448302627,0.12855285,0.06760805170983077,0.03337675188163303,1.732949280925095,80.39,-0.51,79.57,-0.51,0.40025899251335306,845,768,32.0,8192,262144
2.5452313,-0.014215387525036932,0.025337575,0.06837535802274942,0.034459600564241556,1.7331818908452987,86.5,-0.07,80.22,-0.56,0.4894959594975825,846,792,33.0,8448,270336
2.5543358,-0.013457401616033166,0.040443685,0.06755541641265154,0.035160037302011914,1.733268676698208,81.77,0.06,77.86,-0.49,0.4004648174167402,846,816,34.0,8704,278528
2.5199022,-0.014872445294167846,0.027878555,0.06475288759917021,0.03599966006299837,1.733216979727149,80.71,-0.06,78.63,-0.33,0.4621356727255107,846,840,35.0,8960,286720
2.5480514,-0.01563952510477975,0.090100236,0.05991615757346153,0.03728410812527727,1.7331253634765744,81.98,0.14,81.78,0.08,0.4356147103328051,844,864,36.0,9216,294912
2.5212524,-0.0146724670403637,0.0391471,0.0633401957154274,0.0382936349137708,1.7331008538603783,77.85,-0.02,81.65,-0.34,0.40514318282761586,835,888,37.0,9472,303104
2.5130494,-0.015695901499129833,0.1943378,0.06416364628821611,0.03896033932251157,1.7330389013513923,80.94,0.2,81.45,0.21,0.33285787886320883,846,912,38.0,9728,311296
2.4920337,-0.015591979953460395,0.03561708,0.07084695480763913,0.0398570054204356,1.7328113133087755,78.17,0.0,79.65,-0.23,0.38389476388899757,844,936,39.0,9984,319488
2.5074532,-0.015992221469059587,0.08930066,0.07082649864256382,0.04148546097385406,1.7326747169718146,80.8,0.06,81.49,-0.2,0.4019741342203387,845,960,40.0,10240,327680
2.5124469,-0.01744084776379168,0.018588807,0.07055790919810534,0.04247150891769706,1.7327192010357977,79.65,0.01,80.5,-0.1,0.4060294507608273,845,984,41.0,10496,335872
2.4866273,-0.01918274025898427,0.120764814,0.07310770150274039,0.04323515827691153,1.7326828472316265,78.79,0.27,81.66,0.07,0.3617364519565013,846,1008,42.0,10752,344064
2.5127623,-0.01971926288213581,0.08667344,0.0632222455739975,0.0438020404364579,1.732699260674417,82.97,0.67,83.86,0.07,0.4621349422840708,847,1032,43.0,11008,352256
2.5549302,-0.019495076974853875,0.18598084,0.061423753872513774,0.04458663801542571,1.7328754963353277,82.92,0.41,74.49,-0.2,0.5370723429032034,848,1056,44.0,11264,360448
2.5051334,-0.018722366207512095,0.07581346,0.059612414874136446,0.04551636976175359,1.7328174781054257,77.8,0.3,76.12,0.56,0.5284344171753883,846,1080,45.0,11520,368640
2.5260048,-0.019179788987385107,0.104931265,0.05228761982172728,0.046357799420366066,1.7327850803732872,79.57,0.56,84.12,0.44,0.45451828172600994,838,1104,46.0,11776,376832
2.470814,-0.01924335111049004,0.092284344,0.05329328157007694,0.04690233738328971,1.7326987696811558,85.18,0.77,77.82,0.54,0.48297968085143705,846,1128,47.0,12032,385024
2.4500253,-0.020834013071144,0.119959004,0.05397431094199419,0.047396282996305675,1.732607343606651,81.3,0.79,82.02,0.56,0.5231648239846483,848,1152,48.0,12288,393216
2.4365923,-0.02093669596593827,0.08170404,0.05541583377867937,0.04789421448349458,1.7326647255569696,83.62,0.54,79.12,0.52,0.4650612024837558,846,1176,49.0,12544,401408
2.4552162,-0.020994742796756328,0.25635755,0.05829618025571108,0.04843563464819454,1.7326301848515868,78.51,0.63,82.25,0.76,0.5124933037878991,846,1200,50.0,12800,409600
2.4510188,-0.020239103711210193,0.27009904,0.058777502253651616,0.04944743611231388,1.7324121406301856,81.41,0.43,80.12,0.11,0.48635460309284717,848,1224,51.0,13056,417792
2.4253852,-0.01966491692699492,0.07116882,0.06117034003138542,0.05023237327004608,1.7322613276541232,84.42,0.8,83.21,0.48,0.4945541821532665,845,1248,52.0,13312,425984
2.4572349,-0.020632686978206038,0.20381826,0.06190267201513052,0.0514173569083141,1.7322203287854792,85.93,0.73,80.1,0.67,0.5157411182517566,839,1272,53.0,13568,434176
2.4028375,-0.02233484978787601,0.26008025,0.06569307252764701,0.05237627180868003,1.732452990859747,79.54,0.17,80.56,0.76,0.536749948784413,847,1296,54.0,13824,442368
2.436995,-0.02233799431473017,0.17247044,0.06567795041948557,0.05346562551931129,1.7325149994343518,82.16,1.05,80.73,0.97,0.604178452460704,847,1320,55.0,14080,450560
2.457147,-0.02256908653303981,0.38740343,0.06695900324732065,0.054040048093156656,1.7325899992138147,81.61,0.97,81.95,0.78,0.6568201307253414,847,1344,56.0,14336,458752
2.4331043,-0.021866786046884953,0.32850695,0.06446511186659336,0.05486732850786211,1.7327062310650945,80.16,0.92,86.52,0.77,0.5817456462216795,848,1368,57.0,14592,466944
2.4598584,-0.021864239163696765,0.31675583,0.06162159286439419,0.05588488203538873,1.7327668230980635,86.53,1.2,86.7,0.83,0.6284835212856628,847,1392,58.0,14848,475136
2.4427147,-0.022510069906711578,0.21312149,0.060818543024361134,0.056811681161161684,1.7329640902578831,90.94,1.23,80.36,1.1,0.5502753022854303,845,1416,59.0,15104,483328
2.3909156,-0.023370426115579903,0.2858202,0.057678936906158926,0.057490762212182744,1.7330831784754992,78.62,1.32,82.28,0.55,0.655655339213348,847,1440,60.0,15360,491520
2.4204395,-0.02365882151760161,0.37650532,0.06260324865579606,0.05819927889660903,1.7333191161975265,85.63,1.14,87.9,1.13,0.5685489414022886,839,1464,61.0,15616,499712
2.435997,-0.02356510974466801,0.53556436,0.06742429841309786,0.05881801554787671,1.7333553547039628,88.49,0.76,83.45,0.43,0.5660215239884699,849,1488,62.0,15872,507904
2.4810307,-0.022491691033355892,0.4661302,0.0687342668324709,0.05905316110984131,1.733450936153531,88.74,1.04,87.55,1.01,0.6468181552966378,850,1512,63.0,16128,516096
2.4577305,-0.022799656400457023,0.33286768,0.07399630844593048,0.05935191527751158,1.7335940862074495,80.98,0.8,93.23,1.54,0.6079347731866268,849,1536,64.0,16384,524288
2.4512064,-0.022993760858662428,0.48049584,0.0727854434773326,0.06016791723086499,1.7337184801697731,83.04,1.01,95.68,1.51,0.6088160157139564,848,1560,65.0,16640,532480
2.4546435,-0.02294068155810237,0.46392548,0.07257477127015591,0.060849802571101466,1.7339006761088966,83.95,1.28,98.72,1.7,0.563584877903696,850,1584,66.0,16896,540672
2.4517944,-0.022478814008645712,0.65437514,0.06986693922430277,0.06143613453314174,1.7340277414768934,88.28,1.42,89.8,1.33,0.6939974298115061,850,1608,67.0,17152,548864
2.386857,-0.024409511773847044,0.623214,0.06569597736001015,0.06243061383793247,1.7338086429983377,91.67,1.53,96.59,1.22,0.7472406419567074,849,1632,68.0,17408,557056
2.416658,-0.02387418696656823,0.46300915,0.06614556577056646,0.06323766709538177,1.733818312548101,91.3,1.35,94.46,1.49,0.6849752096665799,839,1656,69.0,17664,565248
2.39227,-0.02393029205035418,0.7808245,0.06654365390539169,0.06406667518385803,1.7338200811296702,99.59,1.63,94.06,1.71,0.6988534939311724,845,1680,70.0,17920,573440
2.3722162,-0.02569281842559576,0.5678435,0.07327486205846072,0.06458771274265018,1.7337582271546126,89.99,1.58,104.58,2.08,0.6717627613715618,849,1704,71.0,18176,581632
2.3692338,-0.025073113720864057,0.45718306,0.07269716508686543,0.06495446461703977,1.7337828539311886,96.25,1.68,100.76,1.14,0.7515123190208681,847,1728,72.0,18432,589824
2.362355,-0.025971361885312946,0.601093,0.06986818365752696,0.06526837190685911,1.733932914957404,93.3,1.75,96.92,1.36,0.7455187807141929,848,1752,73.0,18688,598016
2.3853872,-0.026478838550392538,0.59870225,0.06717278681695461,0.06573761771724093,1.734043712541461,101.44,2.12,89.93,1.49,0.6440369980705781,846,1776,74.0,18944,606208
2.3038886,-0.025730526687111704,0.51019514,0.06294187091290951,0.06639052567625185,1.7341030390933156,105.68,2.12,95.16,1.73,0.7039294431087457,846,1800,75.0,19200,614400
2.3140986,-0.024617412833031267,0.77703,0.07058430030941963,0.06683528398280032,1.7341688856482507,102.54,1.9,102.88,2.18,0.657283659954365,839,1824,76.0,19456,622592
2.2909145,-0.025061688865534962,0.5152434,0.07255806155502796,0.06728448276116979,1.7342880127951503,106.79,2.15,99.31,1.74,0.7342986624155692,848,1848,77.0,19712,630784
2.2682366,-0.02505939797498286,0.58025855,0.0744683527201414,0.06778313972899923,1.7343493558466434,102.51,2.07,103.95,1.41,0.7255997425220254,849,1872,78.0,19968,638976
2.2415507,-0.025903189200907947,0.793315,0.07345771584659815,0.06845980530415545,1.7342666983604431,102.69,2.38,110.36,1.78,0.7664708014193273,848,1896,79.0,20224,647168
2.2594888,-0.026913884468376635,0.9071548,0.06890743553638458,0.0691733810439473,1.734319618344307,105.08,2.38,120.17,2.21,0.751362029658402,846,1920,80.0,20480,655360
2.2756698,-0.02493887774646282,0.8184219,0.06983155488967896,0.06993317477317759,1.734249653108418,110.2,2.7,117.41,2.59,0.7585224308732739,848,1944,81.0,20736,663552
2.2683346,-0.023609494185075165,0.75665957,0.07874510362744332,0.07059667096909834,1.7342041540890931,113.58,2.91,115.24,2.76,0.6987603294113833,846,1968,82.0,20992,671744
2.2720537,-0.023963399715721607,0.7826473,0.07904380217194557,0.0713632079467061,1.734047967195511,115.27,2.95,110.3,2.82,0.7557344157664151,849,1992,83.0,21248,679936
2.2214856,-0.02331640664488077,1.0063704,0.0819300415366888,0.0717977259962936,1.7339547963812947,106.23,2.48,127.09,2.88,0.7511555306859459,840,2016,84.0,21504,688128
