average_entropy,average_policy_loss,average_value,average_value_loss,eprewmean,eval_eprewmean,explained_variance,n_updates,steps,total_steps
2.7080498,-0.0001738126544902722,-0.01838517,0.20776633421579996,-1.4835165,-2.3563218,0.00012894010968989011,24,256,8192
2.7078452,-0.00032416706865963835,-0.15618277,0.19137236041327318,-1.96,-2.28,0.003953803568741754,48,512,16384
2.7066426,-0.000589568484833257,-0.31952637,0.17822221190565163,-2.59,-2.51,0.017785778252225493,72,768,24576
2.698676,-0.0005738488058947647,-0.40536678,0.1794256796129048,-2.55,-2.09,0.05903904922458625,96,1024,32768
2.6977706,-0.0007643591659143567,-0.45682946,0.16419141933321954,-2.42,-2.77,0.186757306563354,120,1280,40960
2.695819,-0.0009696690365672111,-0.42728686,0.15983207762241364,-3.12,-2.52,0.2376800646511782,144,1536,49152
2.6921358,-0.001389319400768727,-0.48833668,0.15189411364495753,-1.66,-2.83,0.3402485493001618,168,1792,57344
2.6885655,-0.0015823717531748115,-0.49434656,0.14360021315515042,-3.0,-2.12,0.37884690880782246,192,2048,65536
2.6835952,-0.004583649204578251,-0.47302812,0.13708711937069892,-1.77,-2.78,0.43850116105992076,216,2304,73728
2.6798298,-0.005324613030534237,-0.580562,0.1199922265857458,-1.71,-1.96,0.521002593748195,240,2560,81920
2.6851435,-0.00675207506865263,-0.49884504,0.11242426782846451,-1.64,-2.14,0.45148932590485114,264,2816,90112
2.6756096,-0.008882960444316268,-0.35264507,0.1001437758654356,-1.57,-1.8,0.4462440742176227,288,3072,98304
2.6708386,-0.010061893700622023,-0.36810762,0.09596008725464344,-1.45,-1.8,0.3966846992399238,312,3328,106496
2.665006,-0.010784098370932043,-0.21046048,0.09517192251980305,-1.48,-1.68,0.4784897158580834,336,3584,114688
2.6537364,-0.01270536612253636,-0.39932036,0.09599089168012143,-1.66,-0.98,0.44655568932664713,360,3840,122880
2.6464574,-0.013099365085363388,-0.34168947,0.09992703065276146,-1.61,-1.69,0.42697504617549575,384,4096,131072
2.6392798,-0.01418485819362104,-0.35169032,0.09237268224358558,-1.32,-1.99,0.5243067772789428,408,4352,139264
2.6279492,-0.01477221684763208,-0.3470781,0.09510459579527378,-1.4,-1.2,0.39897100178786027,432,4608,147456
2.5811958,-0.01577140232315287,-0.3360499,0.09061778079718351,-0.95,-1.3,0.5295606952480084,456,4864,155648
2.5867124,-0.016765723216813057,-0.30847767,0.08101229619234801,-0.81,-1.73,0.5736716352182559,480,5120,163840
2.5920732,-0.018016328832600265,-0.2533419,0.07913018189370633,-1.13,-1.16,0.546259931902795,504,5376,172032
2.5792208,-0.018640409195795654,-0.23206171,0.07135986845940351,-0.57,-0.88,0.4860775921618339,528,5632,180224
2.5879877,-0.01770025722682476,-0.15611407,0.06915138941258192,-0.39,-1.03,0.41632885819978116,552,5888,188416
2.554224,-0.01880217549391091,-0.12158078,0.07184869199991226,-1.37,-0.88,0.4959195937921864,576,6144,196608
2.547486,-0.01921538506168872,-0.1329353,0.06660133231431246,-0.28,-0.56,0.49860783583269086,600,6400,204800
2.5617287,-0.01927600516239181,-0.14312069,0.06481425870209932,-0.33,-0.78,0.4485990657093418,624,6656,212992
2.5663693,-0.020616679994855076,-0.05504438,0.06989792343229055,-0.69,-0.69,0.45374852952734235,648,6912,221184
2.534601,-0.020160816761199386,-0.09945552,0.0679830239713192,-0.74,-0.79,0.4140331550633881,672,7168,229376
2.5011203,-0.021322169329505414,-0.14125249,0.0669112914428115,-0.49,-0.78,0.45334352668574684,696,7424,237568
