average_entropy,average_policy_loss,average_value,average_value_loss,avg_frob_kernel_diff_layer11,avg_frob_kernel_layer11,eplenmean,eprewmean,eval_eplenmean,eval_eprewmean,explained_variance,fps,n_updates,num_ppo_update,steps,total_steps
2.708045,-0.00013971690592976907,0.30065435,0.32686506398022175,0.003977312542709899,1.7312702195718885,81.39024390243902,-1.8780488,82.84810126582279,-2.177215,0.0007238032793954741,1437,24,1.0,256,8192
2.7079809,-0.00011882050603162497,0.12010689,0.23488081774363914,0.004579392061459164,1.7311968198046088,82.82,-1.67,83.25,-1.82,-0.00022871878631058884,1508,48,2.0,512,16384
2.7078104,-0.00029330118882676796,-0.020841915,0.22471907176077366,0.005211328058139042,1.7311387080699205,82.81,-2.47,85.8,-2.3,0.0008962156619126693,1523,72,3.0,768,24576
2.7058704,-0.0006220532789787588,-0.16056357,0.2093010414391756,0.005356575811814579,1.7311125682666897,88.43,-2.34,90.78,-2.72,-0.002024416363177295,1510,96,4.0,1024,32768
2.6999955,-0.0006253095576539636,-0.2991871,0.1809788776934147,0.005494041143224748,1.7310753632336855,84.62,-2.81,80.78,-2.82,0.005687097026258914,1511,120,5.0,1280,40960
2.6971786,-0.0009483066340908408,-0.40176883,0.18165320992469788,0.005576431600734721,1.7310703894123436,89.19,-3.02,83.53,-2.87,-0.005426431864703263,1507,144,6.0,1536,49152
2.6911914,-0.0012550163920968772,-0.4381416,0.17820515766739844,0.005695765205751158,1.7310826903209091,86.38,-2.68,78.62,-1.54,0.004027437273592449,1522,168,7.0,1792,57344
2.67069,-0.002027003737166524,-0.55003136,0.17684595063328742,0.0059778386871633836,1.7311084968969226,83.26,-1.89,77.39,-2.38,0.0036397963863240568,1478,192,8.0,2048,65536
2.6502194,-0.0016161243617534638,-0.6294358,0.16458645179867745,0.006939992294433395,1.7310766827315092,85.37,-1.72,83.41,-2.58,0.039087242829947355,1502,216,9.0,2304,73728
2.662408,-0.001667691166512668,-0.48283526,0.15630817331373692,0.008208247425141379,1.7311024451628327,80.8,-2.42,83.97,-2.88,0.06930910643892818,1505,240,10.0,2560,81920
2.6751363,-0.0003548302873969078,-0.4669893,0.14680264733731746,0.009275336257092348,1.731249493919313,85.09,-1.9,84.52,-2.19,0.16592569472831975,1512,264,11.0,2816,90112
2.683658,-0.0015810961229726671,-0.42227954,0.144898626729846,0.010558211877292122,1.731327998265624,91.37,-2.61,89.69,-2.6,0.17487304008529292,1497,288,12.0,3072,98304
2.6926947,-0.0021813756320625544,-0.44537878,0.14210773572325708,0.011239601857419401,1.7314717901870609,78.64,-2.03,88.64,-2.79,0.24434123871505475,1512,312,13.0,3328,106496
2.68532,-0.0035339933889918028,-0.41721436,0.1327908356487751,0.01200852372290261,1.7315475292503835,89.27,-2.31,78.54,-2.27,0.39375619790005034,1516,336,14.0,3584,114688
